model,provider,task,item_id,latency_s,output_tokens,error,prompt_chars
claude-opus-5,anthropic,ornstein_scotus_sentiment,2893017337_2020-07-09T15:05:00.000Z,1.2552785000007134,16.0,,149
claude-opus-5,anthropic,ornstein_scotus_sentiment,42763353_2018-06-04T22:27:47.000Z,1.3349198329960927,40.0,,164
claude-opus-5,anthropic,osnabruegge_cross_domain_topic,osnabruegge_cross_domain_topic_296,1.1890662079968024,17.0,,237
claude-opus-5,anthropic,osnabruegge_cross_domain_topic,osnabruegge_cross_domain_topic_024,0.948789542002487,16.0,,1286
claude-opus-5,anthropic,osnabruegge_cross_domain_topic,osnabruegge_cross_domain_topic_413,1.554760041006375,16.0,,236
claude-opus-5,anthropic,plover_cameo_event,PLOVER-GSR01-CONSULT-0008,1.5022720830020262,16.0,,133
claude-opus-5,anthropic,plover_cameo_event,PLOVER-GSR01-DEMAND-0031,1.2339303750050021,16.0,,107
claude-opus-5,anthropic,plover_cameo_event,PLOVER-GSR01-PROTEST-0012,1.8441623329999857,16.0,,157
claude-opus-5,anthropic,politicause_causal_relation,politicause_train_11418,4.236576374998549,256.0,,254
claude-opus-5,anthropic,politicause_causal_relation,politicause_train_11682,3.275371791998623,213.0,,346
claude-opus-5,anthropic,politicause_causal_relation,politicause_test_15265,2.175479458004702,13.0,,97
claude-opus-5,anthropic,rheault_line_of_fire_incivility,rheault_line_of_fire_371,1.5366450419969624,12.0,,173
claude-opus-5,anthropic,rheault_line_of_fire_incivility,rheault_line_of_fire_055,1.2873017079982674,12.0,,133
claude-opus-5,anthropic,rheault_line_of_fire_incivility,rheault_line_of_fire_232,1.7228415830031736,64.0,,173
claude-opus-5,anthropic,theocharis_dynamics_incivility,8.708116931186115e+17,1.2428951670008246,12.0,,71
claude-opus-5,anthropic,theocharis_dynamics_incivility,8.395905785307628e+17,1.0924482499976875,12.0,,146
claude-opus-5,anthropic,theocharis_dynamics_incivility,8.131158632514519e+17,2.8665333749959245,12.0,,61
claude-opus-5,anthropic,toxicity_protests_es,303418,4.016288124999846,256.0,,94
claude-opus-5,anthropic,toxicity_protests_es,2007251,1.4004094170086319,11.0,,139
claude-opus-5,anthropic,toxicity_protests_es,648379,1.3841329169954406,11.0,,96
claude-opus-5,anthropic,twitcivility_impoliteness,test_796,1.1671597910026321,11.0,,146
claude-opus-5,anthropic,twitcivility_impoliteness,train_9031,1.2726391659962246,11.0,,248
claude-opus-5,anthropic,twitcivility_impoliteness,train_3088,1.3095148330030497,11.0,,87
claude-opus-5,anthropic,wesleyan_creative_ads_2022,x_806850550521220,1.1168607090075966,12.0,,1361
claude-opus-5,anthropic,wesleyan_creative_ads_2022,x_1278356639642733,1.5018524999904912,12.0,,930
claude-opus-5,anthropic,wesleyan_creative_ads_2022,x_5481685528587554,1.1963852920016507,12.0,,4139
claude-sonnet-5,anthropic,agoraspeech_criticism_agenda,agora_Tsipras_2023_06_21_Patra_p40,1.0659640829981072,20.0,,1615
claude-sonnet-5,anthropic,agoraspeech_criticism_agenda,agora_Androulakis_2023_06_19_Thessaloniki_p30,1.2027133329975186,21.0,,302
claude-sonnet-5,anthropic,agoraspeech_criticism_agenda,agora_Mitsotakis_2023_04_22_Chania_p38,0.8864634580095299,21.0,,320
claude-sonnet-5,anthropic,ballard_incivility,2492,0.9311630839947611,12.0,,147
claude-sonnet-5,anthropic,ballard_incivility,1053,0.8853525419981452,12.0,,148
claude-sonnet-5,anthropic,ballard_incivility,413,1.0211555419955403,12.0,,173
claude-sonnet-5,anthropic,bestvater_kavanaugh_stance,kavanaugh_1339,1.0188075000041863,17.0,,206
claude-sonnet-5,anthropic,bestvater_kavanaugh_stance,kavanaugh_1563,1.0253422079986194,22.0,,197
claude-sonnet-5,anthropic,bestvater_kavanaugh_stance,kavanaugh_1511,1.0495415829936974,17.0,,157
claude-sonnet-5,anthropic,bestvater_wm_stance,wm_7467,0.9088012499996694,15.0,,56
claude-sonnet-5,anthropic,bestvater_wm_stance,wm_16357,0.9673800000018673,15.0,,151
claude-sonnet-5,anthropic,bestvater_wm_stance,wm_11383,1.7899685000011232,15.0,,147
claude-sonnet-5,anthropic,brandt_gtd_attack_type,12853,1.0485720419965219,18.0,,374
claude-sonnet-5,anthropic,brandt_gtd_attack_type,35995,1.180209708007169,21.0,,214
claude-sonnet-5,anthropic,brandt_gtd_attack_type,12074,0.9151238339982228,21.0,,725
claude-sonnet-5,anthropic,brandt_political_relevance,232,0.7697895419987617,11.0,,1777
claude-sonnet-5,anthropic,brandt_political_relevance,122,0.8284996660077013,11.0,,1497
claude-sonnet-5,anthropic,brandt_political_relevance,84,2.0727308329951484,11.0,,1555
claude-sonnet-5,anthropic,burnham_covid_threat_minimization,covid_306,5.24144429199805,15.0,,247
claude-sonnet-5,anthropic,burnham_covid_threat_minimization,covid_280,1.2113704170042183,15.0,,259
claude-sonnet-5,anthropic,burnham_covid_threat_minimization,covid_315,1.2305947499989998,15.0,,186
claude-sonnet-5,anthropic,burnham_polnli_entailment,test_14480,1.334742292005103,10.0,,684
claude-sonnet-5,anthropic,burnham_polnli_entailment,test_3094,0.951885125003173,10.0,,170
claude-sonnet-5,anthropic,burnham_polnli_entailment,test_4478,0.9326763749995735,10.0,,279
claude-sonnet-5,anthropic,burnham_polnli_event_entailment,event_test_708,1.1538252500031376,10.0,,138
claude-sonnet-5,anthropic,burnham_polnli_event_entailment,event_test_547,0.9248821670043981,10.0,,191
claude-sonnet-5,anthropic,burnham_polnli_event_entailment,event_test_132,0.8654476249939762,10.0,,125
claude-sonnet-5,anthropic,burnham_trump_stance,trump_train_1101,0.9370079159998568,20.0,,146
claude-sonnet-5,anthropic,burnham_trump_stance,trump_test_1541,0.9493545409932267,18.0,,165
claude-sonnet-5,anthropic,burnham_trump_stance,trump_test_1653,0.9382785839989083,18.0,,207
claude-sonnet-5,anthropic,cap_crs_policy_topic,cap_crs_36635,1.1472502910037292,21.0,,69
claude-sonnet-5,anthropic,cap_crs_policy_topic,cap_crs_38667,0.9590367079945281,18.0,,52
claude-sonnet-5,anthropic,cap_crs_policy_topic,cap_crs_33788,0.995459916011896,18.0,,149
claude-sonnet-5,anthropic,cap_party_platform_policy_topic,cap_party_democratic_3246.0,1.0913380419951864,19.0,,162
claude-sonnet-5,anthropic,cap_party_platform_policy_topic,cap_party_democratic_10092.0,1.1471615830087103,18.0,,168
claude-sonnet-5,anthropic,cap_party_platform_policy_topic,cap_party_democratic_10958.0,1.099024916999042,21.0,,124
claude-sonnet-5,anthropic,chae_semeval_stance,semeval_156,0.997326458003954,20.0,,117
claude-sonnet-5,anthropic,chae_semeval_stance,semeval_125,1.150012500002049,20.0,,94
claude-sonnet-5,anthropic,chae_semeval_stance,semeval_278,0.97470649999741,20.0,,107
claude-sonnet-5,anthropic,dicocco_manifesto_populism,dicocco_150,0.849071874996298,10.0,,59
claude-sonnet-5,anthropic,dicocco_manifesto_populism,dicocco_4666,0.9991319170076167,10.0,,98
claude-sonnet-5,anthropic,dicocco_manifesto_populism,dicocco_6090,0.8702979590016184,10.0,,411
claude-sonnet-5,anthropic,douglass_icbe_sentence_event_type,473_25,1.081592709000688,14.0,,91
claude-sonnet-5,anthropic,douglass_icbe_sentence_event_type,197_13,0.9855264579964569,18.0,,187
claude-sonnet-5,anthropic,douglass_icbe_sentence_event_type,4_28,2.36416820899467,14.0,,155
claude-sonnet-5,anthropic,erlich_ati_topics,90,1.6031584580050549,68.0,,274
claude-sonnet-5,anthropic,erlich_ati_topics,802,1.8827805829932913,73.0,,268
claude-sonnet-5,anthropic,erlich_ati_topics,3183,1.2131997090036748,68.0,,132
claude-sonnet-5,anthropic,gilardi_relevance,1239555124076220416,1.1091607499984093,11.0,,181
claude-sonnet-5,anthropic,gilardi_relevance,1259441759496613889,0.9020292080094805,16.0,,295
claude-sonnet-5,anthropic,gilardi_relevance,1259250872778883072,0.8809171659959247,16.0,,295
claude-sonnet-5,anthropic,gilardi_stance,1341856271213838336,1.6847551669925451,13.0,,202
claude-sonnet-5,anthropic,gilardi_stance,1334624404521684994,0.8927931249927497,17.0,,117
claude-sonnet-5,anthropic,gilardi_stance,1367871491283488769,0.869833958990057,18.0,,105
claude-sonnet-5,anthropic,halterman_keith_bfrs,halterman_keith_bfrs_445,1.0071655409992673,38.0,,183
claude-sonnet-5,anthropic,halterman_keith_bfrs,halterman_keith_bfrs_102,1.8736457909981254,38.0,,325
claude-sonnet-5,anthropic,halterman_keith_bfrs,halterman_keith_bfrs_178,0.8981904170068447,15.0,,88
claude-sonnet-5,anthropic,halterman_keith_cmp,halterman_keith_cmp_060,0.8747189589921618,16.0,,115
claude-sonnet-5,anthropic,halterman_keith_cmp,halterman_keith_cmp_315,1.012394042001688,24.0,,78
claude-sonnet-5,anthropic,halterman_keith_cmp,halterman_keith_cmp_204,1.0277997919911286,16.0,,175
claude-sonnet-5,anthropic,haunss_papea_claims,SZ-20201102-SGIDZ-308_1,0.91179933300009,16.0,,42
claude-sonnet-5,anthropic,haunss_papea_claims,WESKU00020111006e7a600030_1,0.8858530419965973,15.0,,57
claude-sonnet-5,anthropic,haunss_papea_claims,StZ_20130613_DPHNA_372_1,0.8532499590073712,15.0,,59
claude-sonnet-5,anthropic,haunss_papea_fgz_forms,haunss_papea_fgz_forms_153,1.4085402080090716,22.0,,38
claude-sonnet-5,anthropic,haunss_papea_fgz_forms,haunss_papea_fgz_forms_494,1.0406628329947125,27.0,,39
claude-sonnet-5,anthropic,haunss_papea_fgz_forms,haunss_papea_fgz_forms_381,0.950578250005492,22.0,,45
claude-sonnet-5,anthropic,mellon_bes_mii_2024,15438_23,0.8659083750098944,13.0,,32
claude-sonnet-5,anthropic,mellon_bes_mii_2024,17269_21,0.9273188749939436,16.0,,27
claude-sonnet-5,anthropic,mellon_bes_mii_2024,47479_21,1.2007201249944046,16.0,,39
claude-sonnet-5,anthropic,muller_fujimura_campaign_policy_area,train_1996,1.0828982919920236,23.0,,44
claude-sonnet-5,anthropic,muller_fujimura_campaign_policy_area,train_1686,1.1441799580061343,18.0,,61
claude-sonnet-5,anthropic,muller_fujimura_campaign_policy_area,train_670,0.8846043749945238,24.0,,38
claude-sonnet-5,anthropic,ornstein_scotus_sentiment,16188864_2020-07-09T14:01:47.000Z,1.033807583997259,15.0,,166
claude-sonnet-5,anthropic,ornstein_scotus_sentiment,2893017337_2020-07-09T15:05:00.000Z,0.9849345839902526,21.0,,149
claude-sonnet-5,anthropic,ornstein_scotus_sentiment,42763353_2018-06-04T22:27:47.000Z,0.9762802079931134,15.0,,164
claude-sonnet-5,anthropic,osnabruegge_cross_domain_topic,osnabruegge_cross_domain_topic_296,1.1491456660005497,17.0,,237
claude-sonnet-5,anthropic,osnabruegge_cross_domain_topic,osnabruegge_cross_domain_topic_024,0.8776674580003601,16.0,,1286
claude-sonnet-5,anthropic,osnabruegge_cross_domain_topic,osnabruegge_cross_domain_topic_413,0.8649956250010291,16.0,,236
claude-sonnet-5,anthropic,plover_cameo_event,PLOVER-GSR01-CONSULT-0008,1.017178750000312,16.0,,133
claude-sonnet-5,anthropic,plover_cameo_event,PLOVER-GSR01-DEMAND-0031,0.8091704170074081,16.0,,107
claude-sonnet-5,anthropic,plover_cameo_event,PLOVER-GSR01-PROTEST-0012,1.0940802920085844,16.0,,157
claude-sonnet-5,anthropic,politicause_causal_relation,politicause_train_11418,0.8322840830078349,13.0,,254
claude-sonnet-5,anthropic,politicause_causal_relation,politicause_train_11682,0.7774803329957649,13.0,,346
claude-sonnet-5,anthropic,politicause_causal_relation,politicause_test_15265,0.8591813749953872,13.0,,97
claude-sonnet-5,anthropic,rheault_line_of_fire_incivility,rheault_line_of_fire_371,0.9536940830003005,12.0,,173
claude-sonnet-5,anthropic,rheault_line_of_fire_incivility,rheault_line_of_fire_055,0.9126759159989888,12.0,,133
claude-sonnet-5,anthropic,rheault_line_of_fire_incivility,rheault_line_of_fire_232,1.0478845839970745,12.0,,173
claude-sonnet-5,anthropic,theocharis_dynamics_incivility,8.708116931186115e+17,0.8572034169919789,12.0,,71
claude-sonnet-5,anthropic,theocharis_dynamics_incivility,8.395905785307628e+17,0.8593160000018543,12.0,,146
claude-sonnet-5,anthropic,theocharis_dynamics_incivility,8.131158632514519e+17,1.6978766249958426,12.0,,61
claude-sonnet-5,anthropic,toxicity_protests_es,303418,0.9547244999994291,11.0,,94
claude-sonnet-5,anthropic,toxicity_protests_es,2007251,1.0571042079973267,11.0,,139
claude-sonnet-5,anthropic,toxicity_protests_es,648379,1.2079004580009496,11.0,,96
claude-sonnet-5,anthropic,twitcivility_impoliteness,test_796,0.8926924170082202,11.0,,146
claude-sonnet-5,anthropic,twitcivility_impoliteness,train_9031,1.0729528340016259,11.0,,248
claude-sonnet-5,anthropic,twitcivility_impoliteness,train_3088,0.9435048330051359,11.0,,87
claude-sonnet-5,anthropic,wesleyan_creative_ads_2022,x_806850550521220,1.2083997080044355,12.0,,1361
claude-sonnet-5,anthropic,wesleyan_creative_ads_2022,x_1278356639642733,0.9601925409951946,12.0,,930
claude-sonnet-5,anthropic,wesleyan_creative_ads_2022,x_5481685528587554,1.4523766249913024,12.0,,4139
deepseek-v4-flash,deepseek,agoraspeech_criticism_agenda,agora_Tsipras_2023_06_21_Patra_p40,1.221235417004209,104.0,,1615
deepseek-v4-flash,deepseek,agoraspeech_criticism_agenda,agora_Androulakis_2023_06_19_Thessaloniki_p30,1.1670042089972412,59.0,,302
deepseek-v4-flash,deepseek,agoraspeech_criticism_agenda,agora_Mitsotakis_2023_04_22_Chania_p38,1.371838042003219,166.0,,320
deepseek-v4-flash,deepseek,ballard_incivility,2492,1.330639500010875,133.0,,147
deepseek-v4-flash,deepseek,ballard_incivility,1053,1.6258566250035074,184.0,,148
deepseek-v4-flash,deepseek,ballard_incivility,413,1.713554625006509,233.0,,173
deepseek-v4-flash,deepseek,bestvater_kavanaugh_stance,kavanaugh_1339,0.9548612499929732,81.0,,206
deepseek-v4-flash,deepseek,bestvater_kavanaugh_stance,kavanaugh_1563,1.15772483299952,55.0,,197
deepseek-v4-flash,deepseek,bestvater_kavanaugh_stance,kavanaugh_1511,1.0222986250009853,86.0,,157
deepseek-v4-flash,deepseek,bestvater_wm_stance,wm_7467,2.1314962079923134,256.0,,56
deepseek-v4-flash,deepseek,bestvater_wm_stance,wm_16357,0.9629867909970926,79.0,,151
deepseek-v4-flash,deepseek,bestvater_wm_stance,wm_11383,1.781975332996808,256.0,,147
deepseek-v4-flash,deepseek,brandt_gtd_attack_type,12853,1.7689990829967428,256.0,,374
deepseek-v4-flash,deepseek,brandt_gtd_attack_type,35995,0.8962840829917695,49.0,,214
deepseek-v4-flash,deepseek,brandt_gtd_attack_type,12074,0.886779624997871,57.0,,725
deepseek-v4-flash,deepseek,brandt_political_relevance,232,1.0934490419895155,45.0,,1777
deepseek-v4-flash,deepseek,brandt_political_relevance,122,1.0931582499906654,69.0,,1497
deepseek-v4-flash,deepseek,brandt_political_relevance,84,0.7479168329882668,37.0,,1555
deepseek-v4-flash,deepseek,burnham_covid_threat_minimization,covid_306,0.7546560409973608,47.0,,247
deepseek-v4-flash,deepseek,burnham_covid_threat_minimization,covid_280,0.919273167004576,67.0,,259
deepseek-v4-flash,deepseek,burnham_covid_threat_minimization,covid_315,1.0460780419962248,70.0,,186
deepseek-v4-flash,deepseek,burnham_polnli_entailment,test_14480,1.0088634169951547,69.0,,684
deepseek-v4-flash,deepseek,burnham_polnli_entailment,test_3094,1.2287429999996675,108.0,,170
deepseek-v4-flash,deepseek,burnham_polnli_entailment,test_4478,1.9300940840039402,256.0,,279
deepseek-v4-flash,deepseek,burnham_polnli_event_entailment,event_test_708,0.726872374987579,71.0,,138
deepseek-v4-flash,deepseek,burnham_polnli_event_entailment,event_test_547,1.006254457999603,41.0,,191
deepseek-v4-flash,deepseek,burnham_polnli_event_entailment,event_test_132,0.911877958002151,49.0,,125
deepseek-v4-flash,deepseek,burnham_trump_stance,trump_train_1101,1.5987359159917105,154.0,,146
deepseek-v4-flash,deepseek,burnham_trump_stance,trump_test_1541,0.9615344159974484,81.0,,165
deepseek-v4-flash,deepseek,burnham_trump_stance,trump_test_1653,1.120360291999532,118.0,,207
deepseek-v4-flash,deepseek,cap_crs_policy_topic,cap_crs_36635,1.9493397079932038,256.0,,69
deepseek-v4-flash,deepseek,cap_crs_policy_topic,cap_crs_38667,2.31727487500757,256.0,,52
deepseek-v4-flash,deepseek,cap_crs_policy_topic,cap_crs_33788,1.8584192499984056,195.0,,149
deepseek-v4-flash,deepseek,cap_party_platform_policy_topic,cap_party_democratic_3246.0,1.2746928749984363,114.0,,162
deepseek-v4-flash,deepseek,cap_party_platform_policy_topic,cap_party_democratic_10092.0,1.5322724580037175,135.0,,168
deepseek-v4-flash,deepseek,cap_party_platform_policy_topic,cap_party_democratic_10958.0,2.014277292008046,256.0,,124
deepseek-v4-flash,deepseek,chae_semeval_stance,semeval_156,1.9462343329942087,256.0,,117
deepseek-v4-flash,deepseek,chae_semeval_stance,semeval_125,0.99969912499364,88.0,,94
deepseek-v4-flash,deepseek,chae_semeval_stance,semeval_278,0.8717705000017304,69.0,,107
deepseek-v4-flash,deepseek,dicocco_manifesto_populism,dicocco_150,1.1507222079962958,86.0,,59
deepseek-v4-flash,deepseek,dicocco_manifesto_populism,dicocco_4666,1.2424948330008192,103.0,,98
deepseek-v4-flash,deepseek,dicocco_manifesto_populism,dicocco_6090,1.3949870409996947,149.0,,411
deepseek-v4-flash,deepseek,douglass_icbe_sentence_event_type,473_25,1.126031082996633,118.0,,91
deepseek-v4-flash,deepseek,douglass_icbe_sentence_event_type,197_13,2.048725667002145,256.0,,187
deepseek-v4-flash,deepseek,douglass_icbe_sentence_event_type,4_28,1.0042669590038713,118.0,,155
deepseek-v4-flash,deepseek,erlich_ati_topics,90,1.7135530410014326,256.0,,274
deepseek-v4-flash,deepseek,erlich_ati_topics,802,1.6277210830012336,256.0,,268
deepseek-v4-flash,deepseek,erlich_ati_topics,3183,1.525983957995777,203.0,,132
deepseek-v4-flash,deepseek,gilardi_relevance,1239555124076220416,1.2550322500028415,81.0,,181
deepseek-v4-flash,deepseek,gilardi_relevance,1259441759496613889,0.8749961249995977,66.0,,295
deepseek-v4-flash,deepseek,gilardi_relevance,1259250872778883072,0.8415708750108024,66.0,,295
deepseek-v4-flash,deepseek,gilardi_stance,1341856271213838336,1.8090793329902226,256.0,,202
deepseek-v4-flash,deepseek,gilardi_stance,1334624404521684994,0.9506962910090806,90.0,,117
deepseek-v4-flash,deepseek,gilardi_stance,1367871491283488769,1.560581584009924,150.0,,105
deepseek-v4-flash,deepseek,halterman_keith_bfrs,halterman_keith_bfrs_445,1.2907882080035051,74.0,,183
deepseek-v4-flash,deepseek,halterman_keith_bfrs,halterman_keith_bfrs_102,1.2429965420014923,93.0,,325
deepseek-v4-flash,deepseek,halterman_keith_bfrs,halterman_keith_bfrs_178,1.827436374995159,214.0,,88
deepseek-v4-flash,deepseek,halterman_keith_cmp,halterman_keith_cmp_060,1.221916374997818,104.0,,115
deepseek-v4-flash,deepseek,halterman_keith_cmp,halterman_keith_cmp_315,1.0050840829935623,89.0,,78
deepseek-v4-flash,deepseek,halterman_keith_cmp,halterman_keith_cmp_204,1.3453497089940356,81.0,,175
deepseek-v4-flash,deepseek,haunss_papea_claims,SZ-20201102-SGIDZ-308_1,0.6926030830072705,43.0,,42
deepseek-v4-flash,deepseek,haunss_papea_claims,WESKU00020111006e7a600030_1,1.016709332994651,53.0,,57
deepseek-v4-flash,deepseek,haunss_papea_claims,StZ_20130613_DPHNA_372_1,1.1334733750118176,92.0,,59
deepseek-v4-flash,deepseek,haunss_papea_fgz_forms,haunss_papea_fgz_forms_153,0.7479703749995679,12.0,,38
deepseek-v4-flash,deepseek,haunss_papea_fgz_forms,haunss_papea_fgz_forms_494,1.0572613340045791,41.0,,39
deepseek-v4-flash,deepseek,haunss_papea_fgz_forms,haunss_papea_fgz_forms_381,1.1704711670026882,87.0,,45
deepseek-v4-flash,deepseek,mellon_bes_mii_2024,15438_23,0.7767162090021884,40.0,,32
deepseek-v4-flash,deepseek,mellon_bes_mii_2024,17269_21,0.9766376670013415,32.0,,27
deepseek-v4-flash,deepseek,mellon_bes_mii_2024,47479_21,0.8649294580100104,36.0,,39
deepseek-v4-flash,deepseek,muller_fujimura_campaign_policy_area,train_1996,1.25729333399795,135.0,,44
deepseek-v4-flash,deepseek,muller_fujimura_campaign_policy_area,train_1686,1.2295068749954225,88.0,,61
