task,method,n_train,seed,headline_f1,accuracy,n_train_actual,note
ballard_incivility,tfidf,500,4.0,0.1794871794871795,0.872,500.0,
ballard_incivility,tfidf,1000,0.0,0.2077922077922078,0.878,1000.0,
ballard_incivility,tfidf,1000,1.0,0.1276595744680851,0.836,1000.0,
ballard_incivility,tfidf,1000,2.0,0.24489795918367346,0.852,1000.0,
ballard_incivility,tfidf,1000,3.0,0.19801980198019803,0.838,1000.0,
ballard_incivility,tfidf,1000,4.0,0.136986301369863,0.874,1000.0,
ballard_incivility,tfidf,2000,0.0,0.31932773109243695,0.838,2000.0,
ballard_incivility,tfidf,2000,1.0,0.3114754098360656,0.832,2000.0,
ballard_incivility,tfidf,2000,2.0,0.336283185840708,0.85,2000.0,
ballard_incivility,tfidf,2000,3.0,0.3185840707964602,0.846,2000.0,
ballard_incivility,tfidf,2000,4.0,0.2956521739130435,0.838,2000.0,
gilardi_stance,tfidf,50,0.0,0.40740740740740744,0.608,50.0,
gilardi_stance,tfidf,50,1.0,0.44531080788390726,0.658,50.0,
gilardi_stance,tfidf,50,2.0,0.4192213270940239,0.628,50.0,
gilardi_stance,tfidf,50,3.0,0.4545758766186527,0.672,50.0,
gilardi_stance,tfidf,50,4.0,0.5245945693226491,0.668,50.0,
gilardi_stance,tfidf,100,0.0,0.5491437709835707,0.708,100.0,
gilardi_stance,tfidf,100,1.0,0.4508113334579029,0.672,100.0,
gilardi_stance,tfidf,100,2.0,0.5599727905081052,0.702,100.0,
gilardi_stance,tfidf,100,3.0,0.475384358902631,0.696,100.0,
gilardi_stance,tfidf,100,4.0,0.5506548634990381,0.68,100.0,
gilardi_stance,tfidf,250,0.0,0.6012039630510372,0.78,250.0,
gilardi_stance,tfidf,250,1.0,0.6104715759951098,0.766,250.0,
gilardi_stance,tfidf,250,2.0,0.5635539767367659,0.788,250.0,
gilardi_stance,tfidf,250,3.0,0.6299191342714824,0.792,250.0,
gilardi_stance,tfidf,250,4.0,0.6034973798131692,0.782,250.0,
gilardi_stance,tfidf,500,,,,,remainder smaller than requested size
gilardi_stance,tfidf,1000,,,,,remainder smaller than requested size
gilardi_stance,tfidf,2000,,,,,remainder smaller than requested size
chae_semeval_stance,tfidf,50,0.0,0.45241261837173036,0.544,50.0,
chae_semeval_stance,tfidf,50,1.0,0.41026626157860674,0.494,50.0,
chae_semeval_stance,tfidf,50,2.0,0.28362202755397875,0.51,50.0,
chae_semeval_stance,tfidf,50,3.0,0.32023768048619977,0.518,50.0,
chae_semeval_stance,tfidf,50,4.0,0.45321910695742473,0.55,50.0,
chae_semeval_stance,tfidf,100,0.0,0.46523124870903904,0.504,100.0,
chae_semeval_stance,tfidf,100,1.0,0.46528837798858763,0.522,100.0,
chae_semeval_stance,tfidf,100,2.0,0.3789494798993169,0.52,100.0,
chae_semeval_stance,tfidf,100,3.0,0.4441167047138452,0.526,100.0,
chae_semeval_stance,tfidf,100,4.0,0.42765754943827056,0.512,100.0,
chae_semeval_stance,tfidf,250,0.0,0.46506061623226796,0.504,250.0,
chae_semeval_stance,tfidf,250,1.0,0.4916404858390259,0.522,250.0,
chae_semeval_stance,tfidf,250,2.0,0.5375997295469912,0.56,250.0,
chae_semeval_stance,tfidf,250,3.0,0.4979649223143647,0.544,250.0,
chae_semeval_stance,tfidf,250,4.0,0.5445143475206696,0.57,250.0,
chae_semeval_stance,tfidf,500,0.0,0.5453757279479305,0.556,500.0,
chae_semeval_stance,tfidf,500,1.0,0.5724713066822747,0.584,500.0,
chae_semeval_stance,tfidf,500,2.0,0.5447209604845072,0.56,500.0,
chae_semeval_stance,tfidf,500,3.0,0.55036798617951,0.57,500.0,
chae_semeval_stance,tfidf,500,4.0,0.5498866213151927,0.562,500.0,
chae_semeval_stance,tfidf,1000,0.0,0.5671836568401134,0.574,1000.0,
chae_semeval_stance,tfidf,1000,1.0,0.5798916076990944,0.59,1000.0,
chae_semeval_stance,tfidf,1000,2.0,0.5778748236624861,0.588,1000.0,
chae_semeval_stance,tfidf,1000,3.0,0.5783994862599756,0.584,1000.0,
chae_semeval_stance,tfidf,1000,4.0,0.5669309909915338,0.576,1000.0,
chae_semeval_stance,tfidf,2000,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,tfidf,50,0.0,0.3742998839790055,0.632,50.0,
ornstein_scotus_sentiment,tfidf,50,1.0,0.3865817228230976,0.628,50.0,
ornstein_scotus_sentiment,tfidf,50,2.0,0.33644669222611956,0.64,50.0,
ornstein_scotus_sentiment,tfidf,50,3.0,0.40054848013166633,0.648,50.0,
ornstein_scotus_sentiment,tfidf,50,4.0,0.3649142149016093,0.636,50.0,
ornstein_scotus_sentiment,tfidf,100,0.0,0.32739538913036625,0.622,100.0,
ornstein_scotus_sentiment,tfidf,100,1.0,0.43613079719219744,0.648,100.0,
ornstein_scotus_sentiment,tfidf,100,2.0,0.3900671479131051,0.62,100.0,
ornstein_scotus_sentiment,tfidf,100,3.0,0.4254845372492431,0.614,100.0,
ornstein_scotus_sentiment,tfidf,100,4.0,0.453431462854476,0.668,100.0,
ornstein_scotus_sentiment,tfidf,250,0.0,0.502334579682646,0.654,250.0,
ornstein_scotus_sentiment,tfidf,250,1.0,0.46318418240377596,0.63,250.0,
ornstein_scotus_sentiment,tfidf,250,2.0,0.4821973516165894,0.634,250.0,
ornstein_scotus_sentiment,tfidf,250,3.0,0.49013643239576893,0.624,250.0,
ornstein_scotus_sentiment,tfidf,250,4.0,0.48136701200004617,0.642,250.0,
ornstein_scotus_sentiment,tfidf,500,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,tfidf,1000,,,,,remainder smaller than requested size
ornstein_scotus_sentiment,tfidf,2000,,,,,remainder smaller than requested size
wesleyan_creative_ads_2022,tfidf,50,0.0,0.3311448841742599,0.722,50.0,
wesleyan_creative_ads_2022,tfidf,50,1.0,0.39321920821308654,0.736,50.0,
wesleyan_creative_ads_2022,tfidf,50,2.0,0.38632161347215116,0.736,50.0,
wesleyan_creative_ads_2022,tfidf,50,3.0,0.3196390785323591,0.73,50.0,
wesleyan_creative_ads_2022,tfidf,50,4.0,0.47515274121738,0.76,50.0,
wesleyan_creative_ads_2022,tfidf,100,0.0,0.4514119601328903,0.762,100.0,
wesleyan_creative_ads_2022,tfidf,100,1.0,0.43568846135725,0.758,100.0,
wesleyan_creative_ads_2022,tfidf,100,2.0,0.4493144379336176,0.754,100.0,
wesleyan_creative_ads_2022,tfidf,100,3.0,0.378270509977827,0.74,100.0,
wesleyan_creative_ads_2022,tfidf,100,4.0,0.42446755386072094,0.754,100.0,
wesleyan_creative_ads_2022,tfidf,250,0.0,0.43095216373201956,0.758,250.0,
wesleyan_creative_ads_2022,tfidf,250,1.0,0.48764051301638256,0.774,250.0,
wesleyan_creative_ads_2022,tfidf,250,2.0,0.47173393779857653,0.758,250.0,
wesleyan_creative_ads_2022,tfidf,250,3.0,0.4227513227513227,0.764,250.0,
wesleyan_creative_ads_2022,tfidf,250,4.0,0.48365903069970395,0.766,250.0,
wesleyan_creative_ads_2022,tfidf,500,0.0,0.487553547336156,0.766,500.0,
wesleyan_creative_ads_2022,tfidf,500,1.0,0.5332084085281016,0.802,500.0,
wesleyan_creative_ads_2022,tfidf,500,2.0,0.5073608227249503,0.782,500.0,
wesleyan_creative_ads_2022,tfidf,500,3.0,0.4749582603655127,0.788,500.0,
wesleyan_creative_ads_2022,tfidf,500,4.0,0.5536458774082537,0.8,500.0,
wesleyan_creative_ads_2022,tfidf,1000,0.0,0.5565186477926443,0.802,1000.0,
wesleyan_creative_ads_2022,tfidf,1000,1.0,0.5101988182535558,0.816,1000.0,
wesleyan_creative_ads_2022,tfidf,1000,2.0,0.5240080284082137,0.792,1000.0,
wesleyan_creative_ads_2022,tfidf,1000,3.0,0.5208432039001614,0.796,1000.0,
wesleyan_creative_ads_2022,tfidf,1000,4.0,0.5522957427450642,0.798,1000.0,
wesleyan_creative_ads_2022,tfidf,2000,0.0,0.5508285473664133,0.824,2000.0,
wesleyan_creative_ads_2022,tfidf,2000,1.0,0.5445917299520286,0.818,2000.0,
wesleyan_creative_ads_2022,tfidf,2000,2.0,0.5725426061899817,0.796,2000.0,
wesleyan_creative_ads_2022,tfidf,2000,3.0,0.5172646470287123,0.824,2000.0,
wesleyan_creative_ads_2022,tfidf,2000,4.0,0.5646407491235077,0.79,2000.0,
halterman_keith_bfrs,tfidf,50,0.0,0.3950661073412109,0.522,50.0,
halterman_keith_bfrs,tfidf,50,1.0,0.3162045227983467,0.484,50.0,
halterman_keith_bfrs,tfidf,50,2.0,0.32750534455345226,0.52,50.0,
halterman_keith_bfrs,tfidf,50,3.0,0.25850771434570635,0.462,50.0,
halterman_keith_bfrs,tfidf,50,4.0,0.232755929421089,0.448,50.0,
halterman_keith_bfrs,tfidf,100,0.0,0.3847927165096315,0.532,100.0,
halterman_keith_bfrs,tfidf,100,1.0,0.4047844660216862,0.592,100.0,
halterman_keith_bfrs,tfidf,100,2.0,0.42207822055020694,0.56,100.0,
halterman_keith_bfrs,tfidf,100,3.0,0.4512211536077935,0.582,100.0,
halterman_keith_bfrs,tfidf,100,4.0,0.41874053727659266,0.576,100.0,
halterman_keith_bfrs,tfidf,250,0.0,0.5120144024446718,0.642,250.0,
halterman_keith_bfrs,tfidf,250,1.0,0.4893233780093922,0.572,250.0,
halterman_keith_bfrs,tfidf,250,2.0,0.47737194503602165,0.612,250.0,
halterman_keith_bfrs,tfidf,250,3.0,0.5752892487083129,0.634,250.0,
halterman_keith_bfrs,tfidf,250,4.0,0.46100392947584146,0.624,250.0,
halterman_keith_bfrs,tfidf,500,0.0,0.518614884747023,0.63,500.0,
halterman_keith_bfrs,tfidf,500,1.0,0.5357335646491571,0.664,500.0,
halterman_keith_bfrs,tfidf,500,2.0,0.5349035470960524,0.632,500.0,
halterman_keith_bfrs,tfidf,500,3.0,0.5227677228979278,0.636,500.0,
halterman_keith_bfrs,tfidf,500,4.0,0.5952817201661186,0.66,500.0,
halterman_keith_bfrs,tfidf,1000,0.0,0.5890501634387294,0.67,1000.0,
halterman_keith_bfrs,tfidf,1000,1.0,0.559771622338847,0.64,1000.0,
halterman_keith_bfrs,tfidf,1000,2.0,0.5611752441796601,0.67,1000.0,
halterman_keith_bfrs,tfidf,1000,3.0,0.6124667080218766,0.638,1000.0,
halterman_keith_bfrs,tfidf,1000,4.0,0.60644902558667,0.648,1000.0,
halterman_keith_bfrs,tfidf,2000,0.0,0.6283585463539848,0.674,2000.0,
halterman_keith_bfrs,tfidf,2000,1.0,0.6650468562775306,0.68,2000.0,
halterman_keith_bfrs,tfidf,2000,2.0,0.6356343934985843,0.674,2000.0,
halterman_keith_bfrs,tfidf,2000,3.0,0.6123321021517365,0.66,2000.0,
halterman_keith_bfrs,tfidf,2000,4.0,0.6276296632491768,0.69,2000.0,
halterman_keith_cmp,tfidf,50,0.0,0.11703185837092563,0.256,50.0,
halterman_keith_cmp,tfidf,50,1.0,0.14432120898657022,0.312,50.0,
halterman_keith_cmp,tfidf,50,2.0,0.1133301424415439,0.306,50.0,
halterman_keith_cmp,tfidf,50,3.0,0.17288414136918268,0.312,50.0,
halterman_keith_cmp,tfidf,50,4.0,0.1507921012075016,0.296,50.0,
halterman_keith_cmp,tfidf,100,0.0,0.23010726565475062,0.288,100.0,
halterman_keith_cmp,tfidf,100,1.0,0.17507834712608475,0.268,100.0,
halterman_keith_cmp,tfidf,100,2.0,0.19636393964360058,0.28,100.0,
halterman_keith_cmp,tfidf,100,3.0,0.19541990096728498,0.242,100.0,
halterman_keith_cmp,tfidf,100,4.0,0.2098731803431304,0.26,100.0,
halterman_keith_cmp,tfidf,250,0.0,0.23548790052431465,0.288,250.0,
halterman_keith_cmp,tfidf,250,1.0,0.2919021640720998,0.346,250.0,
halterman_keith_cmp,tfidf,250,2.0,0.26756637722923626,0.298,250.0,
halterman_keith_cmp,tfidf,250,3.0,0.2729524614471095,0.33,250.0,
halterman_keith_cmp,tfidf,250,4.0,0.27730583075003906,0.33,250.0,
halterman_keith_cmp,tfidf,500,0.0,0.3353582697368892,0.372,500.0,
halterman_keith_cmp,tfidf,500,1.0,0.3179363144846996,0.35,500.0,
halterman_keith_cmp,tfidf,500,2.0,0.35254684116209584,0.388,500.0,
halterman_keith_cmp,tfidf,500,3.0,0.31527749806502586,0.354,500.0,
halterman_keith_cmp,tfidf,500,4.0,0.320501946962571,0.364,500.0,
halterman_keith_cmp,tfidf,1000,,,,,remainder smaller than requested size
halterman_keith_cmp,tfidf,2000,,,,,remainder smaller than requested size
mellon_bes_mii_2024,tfidf,50,0.0,0.4035725135178155,0.784,50.0,
mellon_bes_mii_2024,tfidf,50,1.0,0.38231251821601164,0.748,50.0,
mellon_bes_mii_2024,tfidf,50,2.0,0.39135903467219774,0.78,50.0,
mellon_bes_mii_2024,tfidf,50,3.0,0.3857690157497816,0.782,50.0,
mellon_bes_mii_2024,tfidf,50,4.0,0.406174663498866,0.798,50.0,
mellon_bes_mii_2024,tfidf,100,0.0,0.4052702305985438,0.806,100.0,
mellon_bes_mii_2024,tfidf,100,1.0,0.40884977091969577,0.822,100.0,
mellon_bes_mii_2024,tfidf,100,2.0,0.4025530908154787,0.812,100.0,
mellon_bes_mii_2024,tfidf,100,3.0,0.4256771251785784,0.798,100.0,
mellon_bes_mii_2024,tfidf,100,4.0,0.39945622941635933,0.782,100.0,
mellon_bes_mii_2024,tfidf,250,0.0,0.501134299219261,0.874,250.0,
mellon_bes_mii_2024,tfidf,250,1.0,0.4506097276972766,0.826,250.0,
mellon_bes_mii_2024,tfidf,250,2.0,0.45981896207298456,0.848,250.0,
mellon_bes_mii_2024,tfidf,250,3.0,0.4696406758499098,0.848,250.0,
mellon_bes_mii_2024,tfidf,250,4.0,0.4620098785453973,0.84,250.0,
mellon_bes_mii_2024,tfidf,500,0.0,0.5071463044396884,0.872,500.0,
mellon_bes_mii_2024,tfidf,500,1.0,0.5071463044396884,0.872,500.0,
mellon_bes_mii_2024,tfidf,500,2.0,0.5071463044396884,0.872,500.0,
mellon_bes_mii_2024,tfidf,500,3.0,0.5071463044396884,0.872,500.0,
mellon_bes_mii_2024,tfidf,500,4.0,0.5071463044396884,0.872,500.0,
mellon_bes_mii_2024,tfidf,1000,,,,,remainder smaller than requested size
mellon_bes_mii_2024,tfidf,2000,,,,,remainder smaller than requested size
osnabruegge_cross_domain_topic,tfidf,50,0.0,0.209394352802314,0.346,50.0,
osnabruegge_cross_domain_topic,tfidf,50,1.0,0.17484149741346833,0.306,50.0,
osnabruegge_cross_domain_topic,tfidf,50,2.0,0.14997103042332177,0.276,50.0,
osnabruegge_cross_domain_topic,tfidf,50,3.0,0.14236971391878567,0.278,50.0,
osnabruegge_cross_domain_topic,tfidf,50,4.0,0.18698644220267924,0.288,50.0,
osnabruegge_cross_domain_topic,tfidf,100,0.0,0.22195000481092064,0.298,100.0,
osnabruegge_cross_domain_topic,tfidf,100,1.0,0.18726780747207175,0.27,100.0,
osnabruegge_cross_domain_topic,tfidf,100,2.0,0.2441946181176462,0.366,100.0,
osnabruegge_cross_domain_topic,tfidf,100,3.0,0.18083056890146018,0.242,100.0,
osnabruegge_cross_domain_topic,tfidf,100,4.0,0.1742996121564109,0.32,100.0,
osnabruegge_cross_domain_topic,tfidf,250,0.0,0.289132701709034,0.394,250.0,
osnabruegge_cross_domain_topic,tfidf,250,1.0,0.30102348965828624,0.392,250.0,
osnabruegge_cross_domain_topic,tfidf,250,2.0,0.2633504807722442,0.354,250.0,
osnabruegge_cross_domain_topic,tfidf,250,3.0,0.37619798750390154,0.374,250.0,
osnabruegge_cross_domain_topic,tfidf,250,4.0,0.2575508874005591,0.338,250.0,
osnabruegge_cross_domain_topic,tfidf,500,0.0,0.37880978588287706,0.43,500.0,
osnabruegge_cross_domain_topic,tfidf,500,1.0,0.3314311750253882,0.386,500.0,
osnabruegge_cross_domain_topic,tfidf,500,2.0,0.3166870888502094,0.374,500.0,
osnabruegge_cross_domain_topic,tfidf,500,3.0,0.36919466839605786,0.408,500.0,
osnabruegge_cross_domain_topic,tfidf,500,4.0,0.34527296246131045,0.406,500.0,
osnabruegge_cross_domain_topic,tfidf,1000,0.0,0.3635235930713705,0.43,1000.0,
osnabruegge_cross_domain_topic,tfidf,1000,1.0,0.4040759944271981,0.442,1000.0,
osnabruegge_cross_domain_topic,tfidf,1000,2.0,0.37796058280373085,0.426,1000.0,
osnabruegge_cross_domain_topic,tfidf,1000,3.0,0.35690424333119114,0.402,1000.0,
osnabruegge_cross_domain_topic,tfidf,1000,4.0,0.3600239220863969,0.404,1000.0,
osnabruegge_cross_domain_topic,tfidf,2000,0.0,0.39008020200409993,0.424,2000.0,
osnabruegge_cross_domain_topic,tfidf,2000,1.0,0.3992556779192941,0.432,2000.0,
osnabruegge_cross_domain_topic,tfidf,2000,2.0,0.3838415144718047,0.422,2000.0,
osnabruegge_cross_domain_topic,tfidf,2000,3.0,0.3907630870147339,0.432,2000.0,
osnabruegge_cross_domain_topic,tfidf,2000,4.0,0.377145093273454,0.41,2000.0,
rheault_line_of_fire_incivility,tfidf,50,0.0,0.034482758620689655,0.888,50.0,
rheault_line_of_fire_incivility,tfidf,50,1.0,0.0,0.886,50.0,
rheault_line_of_fire_incivility,tfidf,50,2.0,0.0,0.886,50.0,
rheault_line_of_fire_incivility,tfidf,50,3.0,0.0,0.886,50.0,
rheault_line_of_fire_incivility,tfidf,50,4.0,0.0,0.886,50.0,
rheault_line_of_fire_incivility,tfidf,100,0.0,0.06349206349206349,0.882,100.0,
rheault_line_of_fire_incivility,tfidf,100,1.0,0.0,0.884,100.0,
rheault_line_of_fire_incivility,tfidf,100,2.0,0.03278688524590164,0.882,100.0,
rheault_line_of_fire_incivility,tfidf,100,3.0,0.0,0.886,100.0,
rheault_line_of_fire_incivility,tfidf,100,4.0,0.058823529411764705,0.872,100.0,
rheault_line_of_fire_incivility,tfidf,250,0.0,0.05063291139240506,0.85,250.0,
rheault_line_of_fire_incivility,tfidf,250,1.0,0.14492753623188406,0.882,250.0,
rheault_line_of_fire_incivility,tfidf,250,2.0,0.031746031746031744,0.878,250.0,
rheault_line_of_fire_incivility,tfidf,250,3.0,0.06349206349206349,0.882,250.0,
rheault_line_of_fire_incivility,tfidf,250,4.0,0.08955223880597014,0.878,250.0,
rheault_line_of_fire_incivility,tfidf,500,0.0,0.18421052631578946,0.876,500.0,
rheault_line_of_fire_incivility,tfidf,500,1.0,0.0967741935483871,0.888,500.0,
rheault_line_of_fire_incivility,tfidf,500,2.0,0.225,0.876,500.0,
rheault_line_of_fire_incivility,tfidf,500,3.0,0.31683168316831684,0.862,500.0,
rheault_line_of_fire_incivility,tfidf,500,4.0,0.08955223880597014,0.878,500.0,
rheault_line_of_fire_incivility,tfidf,1000,0.0,0.297029702970297,0.858,1000.0,
rheault_line_of_fire_incivility,tfidf,1000,1.0,0.36893203883495146,0.87,1000.0,
rheault_line_of_fire_incivility,tfidf,1000,2.0,0.16216216216216217,0.876,1000.0,
rheault_line_of_fire_incivility,tfidf,1000,3.0,0.25,0.832,1000.0,
rheault_line_of_fire_incivility,tfidf,1000,4.0,0.21052631578947367,0.85,1000.0,
rheault_line_of_fire_incivility,tfidf,2000,0.0,0.39344262295081966,0.852,2000.0,
rheault_line_of_fire_incivility,tfidf,2000,1.0,0.36666666666666664,0.848,2000.0,
rheault_line_of_fire_incivility,tfidf,2000,2.0,0.432,0.858,2000.0,
rheault_line_of_fire_incivility,tfidf,2000,3.0,0.4166666666666667,0.86,2000.0,
rheault_line_of_fire_incivility,tfidf,2000,4.0,0.3300970873786408,0.862,2000.0,
haunss_papea_fgz_forms,tfidf,50,0.0,0.4518725309472612,0.68,50.0,
haunss_papea_fgz_forms,tfidf,50,1.0,0.49745602351222373,0.724,50.0,
haunss_papea_fgz_forms,tfidf,50,2.0,0.483599224906635,0.708,50.0,
haunss_papea_fgz_forms,tfidf,50,3.0,0.5542419815903891,0.75,50.0,
haunss_papea_fgz_forms,tfidf,50,4.0,0.3880711338133996,0.654,50.0,
haunss_papea_fgz_forms,tfidf,100,0.0,0.5468538275368401,0.73,100.0,
haunss_papea_fgz_forms,tfidf,100,1.0,0.5126324293886056,0.724,100.0,
haunss_papea_fgz_forms,tfidf,100,2.0,0.5536818772699171,0.732,100.0,
haunss_papea_fgz_forms,tfidf,100,3.0,0.5500910030026496,0.736,100.0,
haunss_papea_fgz_forms,tfidf,100,4.0,0.5345954622447538,0.734,100.0,
haunss_papea_fgz_forms,tfidf,250,0.0,0.5506186581541466,0.732,250.0,
haunss_papea_fgz_forms,tfidf,250,1.0,0.645985089268365,0.788,250.0,
haunss_papea_fgz_forms,tfidf,250,2.0,0.600994022622035,0.75,250.0,
haunss_papea_fgz_forms,tfidf,250,3.0,0.5689809484355001,0.75,250.0,
haunss_papea_fgz_forms,tfidf,250,4.0,0.5295573480050001,0.728,250.0,
haunss_papea_fgz_forms,tfidf,500,0.0,0.6991285024732338,0.804,500.0,
haunss_papea_fgz_forms,tfidf,500,1.0,0.6886950964654602,0.81,500.0,
haunss_papea_fgz_forms,tfidf,500,2.0,0.6396351021174065,0.8,500.0,
haunss_papea_fgz_forms,tfidf,500,3.0,0.6354960848677449,0.782,500.0,
haunss_papea_fgz_forms,tfidf,500,4.0,0.699506933354914,0.798,500.0,
haunss_papea_fgz_forms,tfidf,1000,0.0,0.7414485711084488,0.846,1000.0,
haunss_papea_fgz_forms,tfidf,1000,1.0,0.7553506323935059,0.844,1000.0,
haunss_papea_fgz_forms,tfidf,1000,2.0,0.7076193587358868,0.826,1000.0,
haunss_papea_fgz_forms,tfidf,1000,3.0,0.71744047269176,0.842,1000.0,
haunss_papea_fgz_forms,tfidf,1000,4.0,0.726642976606322,0.834,1000.0,
haunss_papea_fgz_forms,tfidf,2000,0.0,0.7646488697640983,0.858,2000.0,
haunss_papea_fgz_forms,tfidf,2000,1.0,0.7780682897368462,0.86,2000.0,
haunss_papea_fgz_forms,tfidf,2000,2.0,0.7410760549615409,0.846,2000.0,
haunss_papea_fgz_forms,tfidf,2000,3.0,0.7397088394425398,0.848,2000.0,
haunss_papea_fgz_forms,tfidf,2000,4.0,0.7580833954148286,0.858,2000.0,
douglass_icbe_sentence_event_type,tfidf,50,0.0,0.254152376338732,0.322,50.0,
douglass_icbe_sentence_event_type,tfidf,50,1.0,0.22382135836479441,0.304,50.0,
douglass_icbe_sentence_event_type,tfidf,50,2.0,0.25340866350272845,0.326,50.0,
douglass_icbe_sentence_event_type,tfidf,50,3.0,0.21855569200267314,0.348,50.0,
douglass_icbe_sentence_event_type,tfidf,50,4.0,0.23481760359023934,0.336,50.0,
douglass_icbe_sentence_event_type,tfidf,100,0.0,0.30727525239000136,0.346,100.0,
douglass_icbe_sentence_event_type,tfidf,100,1.0,0.28809328564757103,0.352,100.0,
douglass_icbe_sentence_event_type,tfidf,100,2.0,0.31700552360141576,0.366,100.0,
douglass_icbe_sentence_event_type,tfidf,100,3.0,0.309366517977897,0.354,100.0,
douglass_icbe_sentence_event_type,tfidf,100,4.0,0.29577452127251697,0.338,100.0,
douglass_icbe_sentence_event_type,tfidf,250,0.0,0.35332284324377444,0.426,250.0,
douglass_icbe_sentence_event_type,tfidf,250,1.0,0.37346388958827176,0.41,250.0,
douglass_icbe_sentence_event_type,tfidf,250,2.0,0.3626536732070276,0.406,250.0,
douglass_icbe_sentence_event_type,tfidf,250,3.0,0.38884112818327754,0.428,250.0,
douglass_icbe_sentence_event_type,tfidf,250,4.0,0.37362448629334366,0.404,250.0,
douglass_icbe_sentence_event_type,tfidf,500,0.0,0.4416660738684561,0.482,500.0,
douglass_icbe_sentence_event_type,tfidf,500,1.0,0.42741381003142875,0.46,500.0,
douglass_icbe_sentence_event_type,tfidf,500,2.0,0.4195019158388941,0.46,500.0,
douglass_icbe_sentence_event_type,tfidf,500,3.0,0.40787391754559915,0.456,500.0,
douglass_icbe_sentence_event_type,tfidf,500,4.0,0.4129382573804007,0.458,500.0,
douglass_icbe_sentence_event_type,tfidf,1000,0.0,0.42905741947646536,0.46,1000.0,
douglass_icbe_sentence_event_type,tfidf,1000,1.0,0.4506725391834149,0.518,1000.0,
douglass_icbe_sentence_event_type,tfidf,1000,2.0,0.46062386887396833,0.512,1000.0,
douglass_icbe_sentence_event_type,tfidf,1000,3.0,0.42748369116192003,0.468,1000.0,
