source_id,target,description,comment,annotation_1,annotation_2,annotation_3,votes_FAVOR,votes_AGAINST,votes_NONE,n_votes,vote_share_majority,gt_stance
alia_12,Abolición del calendario festivo religioso ,"Dia festivo de los discapacitados  De la mujer De gays lesbianas bixesuales transexuales Etc Personas y grupos que han y luchan en la sociedad por la igualdad y el amparo o apoyo y que han sido discriminados  apaleados perseguidos encarcelados maltratados socialmente y asesinados o ejecutados. O dias festivos para personalidades inportantes que hayan hecho cosas heroicas o admirables por y o para españa o madrid etc. Y los religiosos y de momento los católicos que celebren sus fiestas de forma particular y no con dinero de los impuestos que pagamos todos.  Aparte de todo el gran capital que nos ahorraríamos en sueldos para obispos, cardenales, curas etc. Y en ayudas para ninguna religión. Que sus feligreses marquen la casilla de su religión en su declaración de la renta y les den donativos que al parecer son muchos. Pero la religion catolica ni ninguna otra no merecen este protagonismo en el calendario festivo oficial del Estado sino todo lo contrario. Ni por lo que hicieron por el pueblo ni por lo que hacen. Fue y es vergonzoso y  ahora ademas patetico. Además de que no todos somos cristianos y menos todavia católicos ni en España ni Madrid etc. Y los no practicantes solo les interesa por no tener que trabajar el dia festivo religioso,  pues esto seguiria igual .Además que el que no practica una religión y no cumple con sus mandamientos y preceptos , no es de ninguna religión aunque diga que si lo és pero no la practica eso es igual que matricularse en una carrera y no acudir a clase o aprobar algún año pero no los cinco y luego vas por la vida de abogado que no ejerces. Eso es creer en Dios y en la Justicia.",Oigan esto no es un portal ni sitio de partido politicos como PODEMOS ni es un debate político. Lo digo porque he notado cierta obsesión e inquina por ese partido político y demás entonces busquense su lugar donde llevar a cabo toda esa polémica y conflicto y desahogo que buscan y necesitan visto y notado su sufrimiento. Pero que aqui no van a encontrar la guerra que buscan sino ABOLICION DEL CALENDARIO FESTIVO RELIGIOSO ¿si o no? O sobre el tema y nada más. Que os mejoreis,against,against,neutral,0,2,1,3,0.6666666666666666,AGAINST
alia_13,Abolición del calendario festivo religioso ,"Dia festivo de los discapacitados  De la mujer De gays lesbianas bixesuales transexuales Etc Personas y grupos que han y luchan en la sociedad por la igualdad y el amparo o apoyo y que han sido discriminados  apaleados perseguidos encarcelados maltratados socialmente y asesinados o ejecutados. O dias festivos para personalidades inportantes que hayan hecho cosas heroicas o admirables por y o para españa o madrid etc. Y los religiosos y de momento los católicos que celebren sus fiestas de forma particular y no con dinero de los impuestos que pagamos todos.  Aparte de todo el gran capital que nos ahorraríamos en sueldos para obispos, cardenales, curas etc. Y en ayudas para ninguna religión. Que sus feligreses marquen la casilla de su religión en su declaración de la renta y les den donativos que al parecer son muchos. Pero la religion catolica ni ninguna otra no merecen este protagonismo en el calendario festivo oficial del Estado sino todo lo contrario. Ni por lo que hicieron por el pueblo ni por lo que hacen. Fue y es vergonzoso y  ahora ademas patetico. Además de que no todos somos cristianos y menos todavia católicos ni en España ni Madrid etc. Y los no practicantes solo les interesa por no tener que trabajar el dia festivo religioso,  pues esto seguiria igual .Además que el que no practica una religión y no cumple con sus mandamientos y preceptos , no es de ninguna religión aunque diga que si lo és pero no la practica eso es igual que matricularse en una carrera y no acudir a clase o aprobar algún año pero no los cinco y luego vas por la vida de abogado que no ejerces. Eso es creer en Dios y en la Justicia.","Cuando trabajes tu en semana santa, el día de navidad, año nuevo y reyes, lo suprimimos.",against,against,against,0,3,0,3,1.0,AGAINST
alia_14,Abolición del calendario festivo religioso ,"Dia festivo de los discapacitados  De la mujer De gays lesbianas bixesuales transexuales Etc Personas y grupos que han y luchan en la sociedad por la igualdad y el amparo o apoyo y que han sido discriminados  apaleados perseguidos encarcelados maltratados socialmente y asesinados o ejecutados. O dias festivos para personalidades inportantes que hayan hecho cosas heroicas o admirables por y o para españa o madrid etc. Y los religiosos y de momento los católicos que celebren sus fiestas de forma particular y no con dinero de los impuestos que pagamos todos.  Aparte de todo el gran capital que nos ahorraríamos en sueldos para obispos, cardenales, curas etc. Y en ayudas para ninguna religión. Que sus feligreses marquen la casilla de su religión en su declaración de la renta y les den donativos que al parecer son muchos. Pero la religion catolica ni ninguna otra no merecen este protagonismo en el calendario festivo oficial del Estado sino todo lo contrario. Ni por lo que hicieron por el pueblo ni por lo que hacen. Fue y es vergonzoso y  ahora ademas patetico. Además de que no todos somos cristianos y menos todavia católicos ni en España ni Madrid etc. Y los no practicantes solo les interesa por no tener que trabajar el dia festivo religioso,  pues esto seguiria igual .Además que el que no practica una religión y no cumple con sus mandamientos y preceptos , no es de ninguna religión aunque diga que si lo és pero no la practica eso es igual que matricularse en una carrera y no acudir a clase o aprobar algún año pero no los cinco y luego vas por la vida de abogado que no ejerces. Eso es creer en Dios y en la Justicia.",Le parece entonces que tengo para ofrecer? Yo  se lo he tenido que dar picadito todo para que lo haya podido ver  .Y no me ha respondido a todo . No se preocupe ya se lo recuerdo. Por qué merece la religion dias festivosen el calendario de todos? Y con tantos feligreses no le debe hacer falta tanto capital para gastos de la iglesia y pague el ibi.vamos que se las ventile con sus feligreses y no molesten a los demas.,favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_15,Abonos mensuales de 20 Para todos los usuarios del transporte público  ,"Según  lo anterior: Propongo  que si se le  ha dado la facilidad a los jóvenes  menores de 26 años a un abono mensual  al precio de 20.  El por qué también  sería  igual de económico  para todos los demás usuarios de transporte. Y  así se evitaría coger el coche en la ciudad, se utilizaria mucho más los transporte y se contaminaria  mucho menos nuestras ciudades.  RESPIRAS VIDA...RESPIRAS AIRE...",Siempre que esa bajada de ingresos sea a costa de subir el impuesto a los vehículos a motor contaminante.,favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_16,Abonos mensuales de 20 Para todos los usuarios del transporte público  ,"Según  lo anterior: Propongo  que si se le  ha dado la facilidad a los jóvenes  menores de 26 años a un abono mensual  al precio de 20.  El por qué también  sería  igual de económico  para todos los demás usuarios de transporte. Y  así se evitaría coger el coche en la ciudad, se utilizaria mucho más los transporte y se contaminaria  mucho menos nuestras ciudades.  RESPIRAS VIDA...RESPIRAS AIRE...","Es cierto que a un precio ""popular"" aumentaría la cantidad de gente que deja el coche en detrimento del transporte publico, por lo cual no creo que bajaran los ingresos finales, ya que la cantidad de usuarios regulares aumentaría. Yo sin ir mas lejos dejaría de coger el coche todos los días.",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_17,Abonos mensuales de 20 Para todos los usuarios del transporte público  ,"Según  lo anterior: Propongo  que si se le  ha dado la facilidad a los jóvenes  menores de 26 años a un abono mensual  al precio de 20.  El por qué también  sería  igual de económico  para todos los demás usuarios de transporte. Y  así se evitaría coger el coche en la ciudad, se utilizaria mucho más los transporte y se contaminaria  mucho menos nuestras ciudades.  RESPIRAS VIDA...RESPIRAS AIRE...","Lo que no tiene ningún sentido es que todos y cada uno de jubilados paguen lo que pagan por el abono cuando muchos de ellos tienen una situación económica que ya nos gustaría a muchos de nosotros.
Sin embargo yo que tengo 27 y estoy desempleada cada vez que salgo en busca de trabajo a  entregar currículos, me dejo un dineral en transporte.
Si no puede haber un abono barato para todos yo estaré encantada de pagar 50 euros  cuando esté empleada, pero mientras, que paguen más los que tengan ingresos.
",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_18,Abonos mensuales de 20 Para todos los usuarios del transporte público  ,"Según  lo anterior: Propongo  que si se le  ha dado la facilidad a los jóvenes  menores de 26 años a un abono mensual  al precio de 20.  El por qué también  sería  igual de económico  para todos los demás usuarios de transporte. Y  así se evitaría coger el coche en la ciudad, se utilizaria mucho más los transporte y se contaminaria  mucho menos nuestras ciudades.  RESPIRAS VIDA...RESPIRAS AIRE...","ademas los abonos de tercera edad valen 12 euros,y los parados sin ingresos tienen que pagar eso por un billete de 10 viajes o la tarifa normal por el abono normal,que minimo es 56 euros la zona a ,un robo",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_19,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.",Apoyo la apertura de la avenida saiz de oiza ya que se trata de una calle terminada y solo se usa para ciertos eventos que a los vecinos no benefician ... Hay muchos vecinos entre ellos me encuentro yo que tenemos que dar la vuelta entera al parque de valdebebas para ir a sanchinarro!!! Espero que esta avenida se abra pronto y podamos disfrutarla todos ,favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_20,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","Un barrio nuevo como Valdebebas con familias que en un 95% llevan a sus niños al colé en Sanchinarro necesita atención y apoyo de este acto. Lo de La calle cerrada clama al cielo, hacemos 4 veces mas km que si fuéramos por la calle cerrada. No existen autobuses de Sanchinarro a Valdebebas que faciliten la ida y vuelta a estos colegios, no abren el cercanías. Creo que 8000 vecinos y creciendo se merecen ser escuchados y respetados. Nosotros pagamos nuestro descomunal, IBI tal y como se nos requiere, ¿que hace el ayuntamiento por nosotros? #aperturasainzdeoizaya #aperturacercanias #ampliacionautobuses",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_21,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","Es  necesario ya que no tenemos servicios en el barrio (transporte, colegios. institutos) por lo menos que nos faciliten la salida.",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_22,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","segun alguno gobierno anterior, no es rentable abrirlo, lo del cobre para la iluminacion creo que es un cuento chino, ya que el parquecito pegado a dicho calle, cerrado a los usuarios, si que está iluminado por lo cual si no hubiera cobre estaria toda la seccion de la calle a oscuras incluidos los parques.... igual que el cercanias ( no es rentable??) no es rentable gastarse cientos de  en construirla para tenerlo cerrrada, bueno no es retanble no, mas bien diria que es despilfarrar el dinero, que como no es vuestro es facil de gastar, #aperturasainzdeoiza, #aperturacercaniasya",favor,against,against,1,2,0,3,0.6666666666666666,AGAINST
alia_23,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","No entiendo que una calle que lleva más de un año terminada no esté abierta aún... y más todavía cuando para actos, carreras... si que se abre. La gente del barrio tenemos que dar vueltas para entrar y salir del barrio sin sentido. Ya va siendo hora de abrirla.",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_24,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","Creo q pagamos mas ibi que la media del resto de madrid para no tener las infraestructuras prometidas y los servicios minimos cubiertos, por lo menos, facilitarnos la vida con cosas ya ejecutadas como abrir una calle completamente terminada, o q pare un cercanias en una estacion finalizada. Gracias",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_25,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","Deberíamos insistir también en la construcción de una salida directa a la M40 por la calle Luis Martinez Feduchi, es tan solo menos de50 metros de calzada usando la salida de la R2.",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_26,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","No es que me considere un rebelde (si acaso todo lo contrario; padre de familia tranquilo, trabajador de banca...) pero creo esta situación absurda merece que si el ayuntamiento no abre la calle de inmediato, convoquemos un acto de desobediencia civil y lo hagamos nosotros mismos. Total, es cortar unos candados y abrir unas puertas.",favor,favor,favor,3,0,0,3,1.0,FAVOR
alia_27,Abrir el tramo restante Av Sainz de Oiza,"Soy una vecina del barrio madrileño de Valdebebas y creo muy necesario la apertura del trozo restante de la Av Sainz de Oiza que conecta el norte de Valdebebas con Sanchinarro. Es una vía que se encuentra completamente acometida, a falta de la iluminación, que según parece fue sustraida. Esta vía lleva finalizada un año y nos ahorraría a los vecinos un trayecto de unos 8km cada vez que vamos hacia el norte (ya sea Sanchinarro o hacia la A1) con el consiguiente ahorro en tiempo y dinero. Me parece bastante absurdo que se mantenga cerrada (excepto para eventos como carreras o beatificaciones en las que se abre) con el consiguiente perjuicio que nos causa a todos los vecinos, cuando es sólo cuestión de tiempo que se acabe abriendo. Muchas gracias.","Totalmente de acuerdo con este debate. Desde que la junta de compensación de valdebebas cedió competencias al ayuntamiento de Madrid, valdebebas ha empeorado bastante. El único acceso que hay  para ir a Sanchinarro es el triple de tiempo, kilometros y acumulación de tráfico. ¿A qué esperan para abrir la avenida Sainz de Oiza??? Me parece un sin sentido, y más aún con el IBI que nos han hecho pagar...",favor,favor,favor,3,0,0,3,1.0,FAVOR
