text,target,gt_stance,target_short,votes_FAVOR,votes_AGAINST,votes_NONE,n_votes,vote_share_majority
"I'm 72 yrs old and ever since I was 6 yrs old I wanted to live long enough to see a woman President - Jim from Monticello, IA",Hillary Clinton,AGAINST,Clinton,1.0,5.0,2.0,8.0,0.625
What Are We Believing in?  BELIEVE IN VICTORY. Go for  #VICTORY2016,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
"The federal government did not create the states, the states created the federal government. Ronald Reagan #Federalism",Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
@tracieeeeee @Irishsmiles1966 @Chloecat317 @weknowwhatsbest THINK POSITIVELY! #OiP #Cruz2016 #MakeDCListen #NoRINOs #NoLibProgs,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
"Congratulations to our Women Soccer Team for just winning the World Cup against Japan 5-2, women rule ! #freeallfour",Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
Team USA  showed the world what American women are capable of! Is Hillary next? #WWC2015,Hillary Clinton,AGAINST,Clinton,3.0,5.0,0.0,8.0,0.625
"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H",Hillary Clinton,AGAINST,Clinton,3.0,5.0,0.0,8.0,0.625
@deeceejazz Do we really want to know what's under those pantsuits? Besides the black heart of evil.,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
@HillaryClinton FUCK OFF CROTCH ROT BITCH  WE ALL KNOW WHAT YOU THINK ABOUT WOMEN AND RAPED GIRLS #HILLARYCLINTON #USA,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"Beware of #Kochtrolls bashing our candidates. I will not bash #Hillary. She's my plan B, for gosh sakes. #Bernie2016",Hillary Clinton,AGAINST,Clinton,3.0,5.0,0.0,8.0,0.625
"@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other",Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
@nolyklibs Awww does #Killary think posing for that pic will make her look like a real human? @jlconnell66 #Benghazi #Shillary,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
@danmericaCNN @GenGSPatton @danamericaIt looked like they were the ones tying the knots. @jlconnell66 #Killary,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
RT @hamackey: RT @SlyDude3677: @msnbc  Republican Menu...pic.twitter.com/z4PH6VTJFl,Hillary Clinton,NONE,Clinton,1.0,2.0,5.0,8.0,0.625
The press needs to get out of the way so the peasants can get a glimpse of her Highness. #morningjoe,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
@dougshelton749 @realDonaldTrump  #HRC would be an even bigger threat to America than #Obummer.   #WakeUpAmerica,Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE,Hillary Clinton,AGAINST,Clinton,1.0,6.0,1.0,8.0,0.75
@dougshelton749   Let's hope her campaign unravels before Dec.  We can't have this liar as next President.,Hillary Clinton,AGAINST,Clinton,1.0,6.0,1.0,8.0,0.75
"@dougshelton749  If @realDonaldTrump finds evidence, he will expose #HRC as the horrible candidate she is.",Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
@dougshelton749 @realDonaldTrump  I'd be happy if that scandal brings her down.  There will be others...,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
RT @CattyHipster: Live today like it's your last day. But pay bills and dress appropriately just in case it isn't. #420,Hillary Clinton,NONE,Clinton,0.0,2.0,6.0,8.0,0.75
@TheJackOBrien @instapundit BOOM! I believe the 6th 'reporter' from the left has forgotten her mittens. #MediaStiffArmed,Hillary Clinton,NONE,Clinton,0.0,2.0,6.0,8.0,0.75
"That's true, as long as one works hard, has a record of accomplishment and deserves it. @HillaryClinton NOT",Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
"AKA Depends Day ""It all depends"" and Owebama's positions make you fill your Depends. @jjauthor @weknowwhatsbest",Hillary Clinton,NONE,Clinton,0.0,2.0,6.0,8.0,0.75
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
@WashTimes This is indefensible! One of the dumbest things I have ever seen a campaign do. Even the left was outraged by this.,Hillary Clinton,NONE,Clinton,0.0,3.0,5.0,8.0,0.625
@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
@tiffiwestcott  I got mine and I love it.,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
Education should not be a debt sentence! -Former State Representative Patricia Harper  #FellowsIA,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
Hillary Clinton is a devious & deceitful career politician. She is the Richard Nixon of our time.,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"HRC is a war monger, every bit as bad as any Republican in the race, and probably worse than some.",Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
It's interesting how many liberals are so brainwashed and anxious to mindlessly support a woman who isn't even liberal,Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
The young Skinheads from yesterday's Aryan Nations has grown up to become the Tea Party of today. Same exact doctrine @msnbc,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
"If it's been 80+ days since you've done an interview,  can we assume you're not really running for president?",Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
"@peddoc63 @Fr3333dom Seems the way we're going. Lord, I hope Bilderbergs don't pay for Hitlery like they did O.",Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
I dislike our idiots as much as I dislike theirs.,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
Take care of your finances. Spend sensibly. Save for a rainy day. Live within your means. Resist greed. #Greece,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
@politicalmath @BoboFromTexas doesn't matter. Nobody cares if the Clintons make mistakes as long as the checks keep coming.,Hillary Clinton,AGAINST,Clinton,3.0,5.0,0.0,8.0,0.625
I don't know how well a socialist is gonna play with southern democrats. #BernieSanders,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA",Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
Barrack Obama doesn't care about his own town! Where do you live? Think he cares about you?   #TheFive #NoSanctuaryCities #2A,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
The recent comments of #HillaryClinton sounded like it was #Netanyahu speaking. Doesn't bode well.,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama,Hillary Clinton,FAVOR,Clinton,7.0,1.0,0.0,8.0,0.875
"@PantanoLaw Thanks for the follow, may God bless you and your family.  #freeallfour",Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
Dana made this shirt w/ lots of #glitter! #awesome #decoration,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
"@Camilian1Sabel Amen to that, everybody has to pay their way, no welfare either.  #freeallfour",Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
"Wait...... you said ""BILL COSBY?""  Oh, I'm sorry, I thought you said ""BILL CLINTON!""  #uniteblue #ReadyForHillary",Hillary Clinton,FAVOR,Clinton,6.0,1.0,1.0,8.0,0.75
Rhodham Hood: It takes a village to  community organize wealth redistribution Obama-style.,Hillary Clinton,NONE,Clinton,2.0,1.0,5.0,8.0,0.625
I just don't think we need an old white guy in the #WH - Who would his #VP be? voting for,Hillary Clinton,NONE,Clinton,2.0,0.0,6.0,8.0,0.75
SO ANYWAYS WHAT DID HE SAY? ANYTHING ABOUT VOTING FOR ME? #OBAMA #ISIS #ISIL,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
"WHAT IS ""THE THREAD OF VIOLIN EXTREMISM?"" #OBAMA #ISIS #ISIL #tcot #Elocution",Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
Right now every liberal in America is feeling hopeful. We have GREAT Prez candidates. #UniteBlue #FeelTheBern,Hillary Clinton,NONE,Clinton,2.0,0.0,6.0,8.0,0.75
"@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton",Hillary Clinton,FAVOR,Clinton,6.0,2.0,0.0,8.0,0.75
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
@AdamSmith_USA Nice video. GOOD Luck WITH it.,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
@HillaryClinton @HillaryforNH hope to see her in NC soon,Hillary Clinton,FAVOR,Clinton,7.0,0.0,1.0,8.0,0.875
I'm going to miss the 5pm interview so I'm depending on you all to live tweet it. Haha,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
"While I like Bernie as much as the next liberal, if we nominate him we could actually lose to some RWNJ",Hillary Clinton,NONE,Clinton,1.0,1.0,6.0,8.0,0.75
Wondering if my Hilary 2016 sticker will affect my popularity at the shooting range... #firstdate,Hillary Clinton,FAVOR,Clinton,6.0,1.0,1.0,8.0,0.75
@AdamSmith_USA because clearly @HillaryClinton is a champion for us all.,Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@SenSanders bashes Obama job numbers.Calling it a lie. #istandwithPresidentObama #VoteBlue2016 #HillaryClinton #Democrats,Hillary Clinton,FAVOR,Clinton,5.0,0.0,3.0,8.0,0.625
just saw ad about @marcorubio being tough on #iran it made my brain hurt #Election2016 #politics,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
"@MarkSoveign won't happen again. Hillary's coattails will help all democrats. Take back senate, Keep WH! Make history again!",Hillary Clinton,FAVOR,Clinton,7.0,1.0,0.0,8.0,0.875
"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment",Hillary Clinton,AGAINST,Clinton,1.0,6.0,1.0,8.0,0.75
"Tea Party Nation, Tea Party group listed by Southern Poverty Law Center as hate group. The Tea Party is The NEW Aryan Nations",Hillary Clinton,NONE,Clinton,1.0,0.0,7.0,8.0,0.875
"It's time that we move from good words to good works, from sound bites to sound solutions.--@HillaryClinton #ReadyForHillary",Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
.@politicoroger It is 2015. You and the other high minded media are not more important than then story. Have a seat.,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
"@irritatedwoman She lied under oath before, why trust her to speak the truth now?",Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
"True Christians follow Mathew, Mark, Luke and John. GOP-Tea Party anti-Christians follow Hannity Limbaugh, O'Reilly and Palin",Hillary Clinton,NONE,Clinton,1.0,1.0,6.0,8.0,0.75
@HillaryClinton the @DalaiLama speaks of women in leadership roles bringing about a more compassionate world. #potus,Hillary Clinton,FAVOR,Clinton,7.0,0.0,1.0,8.0,0.875
@HillaryforNV Many thanks for the follow!,Hillary Clinton,FAVOR,Clinton,7.0,0.0,1.0,8.0,0.875
@gabriellahope_ @HillaryClinton Does the general public trust her enough to be President? Don't think so.,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"Based on the long lines, I thought it was free burrito day at Pancheros but it was actually Hillary! #ReadyForHillary",Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
"I've been called many things, quitter is not one of them -@HillaryClinton in Iowa City Public Library #HillaryforIA",Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@HillaryClinton condemns anti-Israel boycotts as 'counter-productive',Hillary Clinton,AGAINST,Clinton,1.0,5.0,2.0,8.0,0.625
Have full faith in @HillaryClinton's campaign. #strategy #politics,Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
"Amazing, inspiring speech&question session in Iowa City from @HillaryClinton .Her answers on education&health care were clear.",Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect?,Hillary Clinton,NONE,Clinton,1.0,0.0,7.0,8.0,0.875
Anyone who knows or whiteness bigotry & does nothing is just as guilty 4 not doing anything morningjoe #UniteBIue,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
"@trayNTP Why doesn't he run as a Socialist? Then he can hit Obama anytime he wants. Otherwise, it's just not done. #Bernie",Hillary Clinton,NONE,Clinton,1.0,0.0,7.0,8.0,0.875
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
My whole day is revolving around @HillaryClinton 's interview with @brikeilarcnn on @CNN and I'm okay with that!,Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@LeighAnnKopans can I get your pattern for this cross stitch? I want to make my own! #pride,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
Hillary Clinton Accomplishment of the Day: extended full military health benefits to reservists and National Guard members.,Hillary Clinton,FAVOR,Clinton,7.0,0.0,1.0,8.0,0.875
"If @HillaryClinton becomes president I'm not leaving the country I will just go ""undocumented.",Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
7 years ago this month #POTUS released his groundbreaking First Americans tribal policy platform. You're up #Election2016,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
@kwrcrow Probably for the same reason bho has not ...& @SpeakerBoehner is one of them @GOP @HouseGOP @seanhannity  #StopBush,Hillary Clinton,NONE,Clinton,1.0,0.0,7.0,8.0,0.875
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"@HillaryClinton is plain amazing, humble, smart and confident! Let's get it Mrs. President! #HillaryClinton",Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@thehill Great now Hillary knows how the american people feel about the majority of politicians including her,Hillary Clinton,AGAINST,Clinton,2.0,5.0,1.0,8.0,0.625
"She's smarter and works harder . Empty accusations,inferences,gossip and rumors are rubbish.",Hillary Clinton,FAVOR,Clinton,7.0,0.0,1.0,8.0,0.875
"@MedvedSHOW   wow.  So shrill. Hating Hillary as badly as you hate homeless, transgenders, and people who ride trains",Hillary Clinton,AGAINST,Clinton,2.0,6.0,0.0,8.0,0.75
@kasie I do! And I had an invitation to their beta test before they even officially launched. #HillaryLies,Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
@CNN @jimsciutto Good i'view #Brianna. #Hillary NOT responsible 4 slander/libel-lies r indefensible. WILL be next #POTUS.,Hillary Clinton,AGAINST,Clinton,2.0,5.0,1.0,8.0,0.625
"Either way, @HillaryClinton rises above the media chatter every time. That's one reason why I admire and respect her so much.",Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
"Obama is 'opportunist,' Hillary Clinton no different just 'more militant' - Chomsky #TruthBeTold #notmypresident",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
@USATODAY @HillaryClinton how about finding her a #pathtoJAIL #DONOTPASSGO do collect any Any more of #WeThePeople s,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
Trying 2 unfollow every twit who isn't going 2 vote if their candidate doesn't make it to the general.  #FeelTheBern   #SCOTUS,Hillary Clinton,NONE,Clinton,0.0,2.0,6.0,8.0,0.75
ROFLMAO! 2012 @GOP couldnt kiss enough of #DonaldTrump ass! Now GOP cant run fast enough. #tcot #uniteblue #Bernie2016,Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
@HillaryClinton made me proud today!  Nothing like reinforcing what I already knew!,Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@N_Fatale @bayareahausfrau ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY AND GOOD FOR OUR CHILDREN #tcot,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
@HillaryClinton great job on @CNN interview today.  Fuck stupid MSM. Go,Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
Hillary upset GOP candidates didn't respond to Trump's illegal imm comments immediately-yet we're still waiting for her emails.,Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
@HillaryClinton Many of us r near ruin! #SaveTheMiddleClass #PresidentHillaryClinton #StopOutSourcing,Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
America has no tolerance for cheaters and liars in the White House. #NoBillary #Women4GOP #PresidentialElection2016,Hillary Clinton,AGAINST,Clinton,0.0,6.0,2.0,8.0,0.75
@HillaryClinton Will #BillClinton assault #MonicaLewinsky on her birthday? #liberals #HillaryClinton,Hillary Clinton,AGAINST,Clinton,2.0,5.0,1.0,8.0,0.625
If Hillary wins next year it'll be the first time two presidents have had sex with each other,Hillary Clinton,NONE,Clinton,0.0,2.0,6.0,8.0,0.75
President Jimmy Carter:  There's no doubt Hillary will get the nomination. And when she does I'll be happy to support her,Hillary Clinton,FAVOR,Clinton,8.0,0.0,0.0,8.0,1.0
@StarCoreOne02 @DrMartyFox Is it still 1992? We must be watching Back To The Future 10.0,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
.@thehill umm.  Yyyeaaaaah. Sure they do.,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
@JedediahBila u must be counting the lies like sheep .....,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
Technology has exposed more bad politicians than bad cops....Where Is Our Server Hillary? #CNN,Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
Free and Equal in dignity and rights.,Hillary Clinton,NONE,Clinton,1.0,0.0,7.0,8.0,0.875
@CheerUpKaci @tmacGA70 It's the Clinton history of scandalous behavior.  #Integrity knows no sex. #HillaryonCNN,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
"Entire campaign platform for @HillaryClinton seems to be... ""I'm Hillary Clinton"".  #norecord #nosubstance #tcot #PJNET",Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
Imagine @JoeBiden runs for POTUS. Without a doubt a strong & popularly likable candidate against the Clinton. -------,Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
A lot of #GOPHaters for #Hillary - so funny because she is beating them all at 40%,Hillary Clinton,FAVOR,Clinton,6.0,2.0,0.0,8.0,0.75
"SUCCESS:  @HillaryClinton said she's receiving a constant barrage of attacks from ""the Right.""  Great job, guys. Keep it up!",Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
Do you Progressives know how dangerously close you are to suppressing free speech? Stop it.   #inners  #readyforhillary,Hillary Clinton,FAVOR,Clinton,6.0,1.0,1.0,8.0,0.75
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Hillary Clinton,AGAINST,Clinton,2.0,5.0,1.0,8.0,0.625
@CNNPolitics @PoliticalAnt @moody this is beautiful #oops,Hillary Clinton,NONE,Clinton,0.0,0.0,8.0,8.0,1.0
"#NoHillary2016 & her #PredatorRat, too. MT ""@steve0423: We need to get these stickers up nationwide! #tcot #RedNationRising",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
"@forewit @HillaryClinton is a degenerate liar who will do, say, cheat, delete, anything to get another squat at 1600 Penn Ave.",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
@Reince Hardly a hard-hitting interview like with GOP candidates. Did CNN preclear its questions with her campaign in advance??,Hillary Clinton,NONE,Clinton,0.0,2.0,6.0,8.0,0.75
Democrats want power for themselves. Republicans will give YOU the power! #Election2016,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
Dad while watching the news:  Politics is just show business for ugly people #HowAboutNo,Hillary Clinton,NONE,Clinton,0.0,3.0,5.0,8.0,0.625
.@thedailybeast such a waste of space #CrackingCeilings,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
@KrownRoyaleNY @jjauthor Bad for her is good for the U.S. @jlconnell66 #Killary,Hillary Clinton,AGAINST,Clinton,0.0,5.0,3.0,8.0,0.625
"RT @JohnFugelsang: They should just make the GOP primaries a reality game show called ""Who Wants To Get Beat Up By A Girl?",Hillary Clinton,FAVOR,Clinton,5.0,1.0,2.0,8.0,0.625
@csham21 @EstadodeSats Thank you so much for supportive #Freedom4Cuba RTs! #WakeUpAmerica #Cuba #TodosMarchamos,Hillary Clinton,NONE,Clinton,0.0,1.0,7.0,8.0,0.875
"Can't #UniteBlue, RT LindaSuhler: Hillary:People Trust Me, Blames 'Constant Barrage of Attacks' By the Right #delusional #WakeUpA...",Hillary Clinton,AGAINST,Clinton,0.0,7.0,1.0,8.0,0.875
@M_E_Adams if a Demonrat were to win I'd prefer Sanders over Killary.,Hillary Clinton,AGAINST,Clinton,1.0,7.0,0.0,8.0,0.875
@jschau11 wow!!! i can halp too!! #OBAMASUCKS #BLOWUPISIS #NOIRS #NOSHARIAUSA #NOAMNESTY #DAMNTHAT140  #USARULES...#ILOVETHIS #(:),Hillary Clinton,NONE,Clinton,0.0,3.0,5.0,8.0,0.625
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops",Hillary Clinton,AGAINST,Clinton,0.0,8.0,0.0,8.0,1.0
@DesireeAaron @HillaryClinton  Sheets Clinton Ya got to love it #HillaryonCNN #HillaryClinton,Hillary Clinton,FAVOR,Clinton,6.0,2.0,0.0,8.0,0.75
