status_id,text,gt_uncivil
1877,"Beyond all the other problems with the #GOPTaxPlan, it would blow a huge hole in the deficit. So what do they do when the numbers don't add up? Keep shopping for an economic model that says 2 + 2 = 5. https://t.co/BaF9offXin",0
1366,So far the pundits have been all wrong about @JoeBiden. Listen here: https://t.co/E652QduRzM https://t.co/PS4KSilZmw,0
1820,"A year after 58 died in the deadly shooting, Las Vegas offers somber tributes and dimmed lights.  And the Republican Congress?  It continues to offer nothing to make Americans safer.  Nothing.",0
2662,"While Florida suffers horrific gun violence, its governor takes millions from the NRA and weakens gun safety laws. #enough! https://t.co/ofUORzD4Hw",0
1930,Do you doubt that Trump has reason to favor the Saudis in international affairs?  Would just one example of 500 hotel rooms at $768 per night help sway your opinion?  Do you think they helped sway Trump's?  https://t.co/rUuKhMpUUO,0
819,"GOP blames disastrous increase in wildfires on everything but climate change, just like they blame school shootings on everything but guns. https://t.co/fgJ0B979iy",0
785,Elizabeth Warren fails her own purity tests again https://t.co/U2nFFMrN78,0
1094,Prefers cricket and socialism --&gt; https://t.co/SZq80grcru,0
94,(the out-of-focus and the crappy-framing are the proof) https://t.co/Fn8TsfpxwY,1
1923,"Define """"""""function properly""""""""?


Does it mean:


*pass 1000s of pgs piece of legislation


*that has violated every promise


? https://t.co/CjJxfiIZCe",0
1042,"Obama showed last night that you can't defend the indefensible, but that hasn't stoped Gary McDowell from trying #MI01 #MIJobs",0
2209,"Our economy is stagnate under this administration. Over the next weeks, I'll be talking about getting it back on track http://t.co/jzDs31Gi",0
2578,Thousands of Mississippians will suffer if @SenateGOP passes #Trumpcare. We must act now to prevent this catastrophe. #ProtectOurCare https://t.co/tVf6eQCpds,0
2198,"On #Fridaythe13th we ask, what is the scariest thing to Trump and the Koch Brothers? #Grassroots activists turning out the vote in #CA, #CA07, and making this #BlueWave a reality in the #Midterms2018. RT if you agree! https://t.co/oJiAxUmGBX",0
211,"This is 2016. I can understand school boys in the third grade making stupid remarks, not somebody whos running for president.",1
27,"If anyone thinks that corporate America gives a damn about the average American you are mistaken.

If they can save 5 cents they will ship jobs to China. #DemDebate",1
1566,"We are going to create a government that works for the middle class and not Sheldon Adelson, Donald Trump and the billionaires.",0
318,"This is 2016. I can understand school boys in the third grade making stupid remarks, not somebody whoâs running for president.",1
906,"If you sit this election out and Trump wins by a few votes, many people are going to be dealing with that reality for their entire lives.",0
726,"Charter schools are led by unaccountable, private bodies, and their growth has drained funding from the public school system. When we are in the White House we will ban for-profit charter schools. https://t.co/LGY3ZaWiVm",0
2185,"Nothing will fundamentally change unless we build a movement to take on the greed of the fossil fuel industry, Wall Street, the insurance industry, drug companies and the military-industrial complex.

That is exactly what we are going to do. https://t.co/nqqlwRBsxV",0
1400,The American people understand that establishment politics is not working for the middle class. - #IDPJJ Rally https://t.co/HyteXJ6N19,0
2026,"I believe that we need a political revolution. The same old, same old just isn't going to do it. We have to be bold. https://t.co/B0SIOR9lSw",0
1587,"We should treat these families with the compassion, dignity and respect they deserve  not lock up mothers for over 100 days. #ShutDownBerks",0
1588,"We will not defeat Donald Trump unless we give millions of working people and young people a reason to vote and believe that politics is relevant to their lives.

We cannot go back to the old ways. We have to go forward with a new and progressive agenda.",0
2102,It makes a lot more sense to me for cities and states to establish banks that invest in local communities instead of handing over taxpayer dollars to Wall Street banks whose business model is fraud. https://t.co/QqCz8h83dN,0
218,"Two years after passing a $2 trillion tax cut for corporations and the wealthiest Americans, Trump wants to take food away from 3 million human beings under the guise of caring about deficits. This is an attack on those who need help most. We need to fight for them. https://t.co/fdFflFdxTf",0
385,"If Trump?s defenders in Congress succeed, we will be a democracy in name only. A nominal republic, ruled by strongmen and thugs.",1
828,Great to see the President correct this past discrimination and honor the service of these deserving veterans. http://t.co/PyOgsBwcik,0
96,".@SenateGOP is playing Russian roulette with Americans' health care, trying to decide how many million to hurt. https://t.co/DSh61rY0MT",0
877,"I strongly support the LHHS funding bill. Im pleased the bill rejects the presidents request to eliminate @NationalService, and calls on CNCS to stop implementation of its transformation plan -- which its Inspector General said will increase fraud, waste, &amp; abuse.",0
1733,"?If EPA won't let me tell about how children are being poisoned, I'll just tell the mothers and fathers directly. I have that right, whether or not EPA wants me on their staff.? ? Dr. Etzel, on her dismissal from the Office of Children's Health Protection https://t.co/FT7L5twUjI",0
537,".@AFTunion, the voice of 1.6 million educators, strongly opposes @HouseGOP's #RxForDisaster health care bill. https://t.co/5YYKR5FqmH",0
896,ICYMI: I'm co-sponsoring a bill to remove Stephen Bannon from @realDonaldTrump's National Security Council <U+2192> https://t.co/mSjA3tHrD0,0
2561,"This is good news, but the fight isn't over. Americans must keep making our voices heard to stop #Trumpcare. https://t.co/Yt6uVqY3Zb",0
956,JUST IN: @HouseGOP votes to raise taxes on working Minnesotans to fund a giveaway to the wealthiest Americans. https://t.co/Q9RP8s7dCj,0
1759,@HouseGOP Learn more about just how badly @HouseGOP proposes to cut protection of our natural and cultural resources <U+2192> https://t.co/wS3SF16qkf,0
1139,Republicans should stop the sabotage and instead get to work with @HouseDemocrats on solutions that improve the ACA. https://t.co/IZPlsX8mai,0
348,@EPAScottPruitt @AP Personally attacking a reporter and obscuring the facts to create a misleading impression is an inappropriate use of taxpayer resources.,1
296,"RT @repmarkpocan: Kids like Owen rely on the ACA for affordable &amp; guaranteed health care, but the #GOPTaxScam would threaten their families",1
1609,"While todays omnibus is a positive step in the right direction, @realDonaldTrumps budget for next fiscal year would undo much of the progress we have made. In the coming months, Ill work across the aisle to come up with a better, smarter budget.",0
2531,"The Trump admin is enforcing its #TitleX gag rule, restricting doctors at federally-funded clinics from even being able to refer patients elsewhere for abortion services. We must trust women?s decisions. Gov?t should not come between a woman &amp; her doctor. https://t.co/cYBKZrmFzv",0
824,"Governor candidate to Trump: Call out racists, or quit https://t.co/82SmBAdcjR",0
2498,"The federal government will run up a $1.5 trillion deficit this year?11 times the ten-year """"savings"""" claimed in the health care bill",0
990,Massachusetts: ObamaCare's Ugly Preview http://bit.ly/bktsEJ #latcot #tcot #tweetcongress,0
261,"Isnât destroying evidence illegal? Reasons never to trust Hillary.  #Election2016





https://t.co/rrGGeeOlkK",1
1573,We have an opportunity to help millions. If we repeal #obamacare and #ReplaceNow no one will lose their coverage. https://t.co/oLhnmxn0xC,0
1927,DHS says it won't investigate possible H-1B visa abuses? That is their responsibility. They need to do their job. http://t.co/LVbQTQH5ma,0
434,RT @SenBillCassidy: Enough with the delays. Its time to #ConfirmJudgeKavanaugh and bring Washington Democrats shameful smear campaign to,1
2573,"This week Dems voted against my bill that would create 280,000 new jobs. They wonder why they lost the election? https://t.co/00oQwAYBAQ",0
1628,"WSJ: Obama Admin predicted  #moratorium would kill 23k jobs, imposed it anyway http://j.mp/cHViUv #louisiana #tcot #latcot",0
1358,Senator Landrieu was the deciding vote on Obamacare and the reality is that the law is hurting Louisiana families. #LASEN,0
978,Letâs ground âAir Maryâ and end her taxpayer funded private jet flights forever. Take Action: http://t.co/W9VX8bWJSY http://t.co/UogEnjFXCa,0
1132,Repealing health law lets Congress keep gov-subsidized coverage after they retire-a benefit they lost under health law http://t.co/lWWe2XwS.,0
1072,Owens Votes to Impose Sanctions on Iran http://t.co/1lBU6K4L,0
319,This is fascism in the flesh. This is the language of a fanatic that could be lifted from a tyrant's playbook. This is not a warning but an incitement. Unless we stand united against it. https://t.co/BUHOBL9auz,1
2309,"RT @HudsonDems: This administration is going after #TransRights and seeking to erode them.
Your vote matters. We need to stand up to this b?",0
2445,"Scott was late to a meeting and found a creative way to cross the Hudson - a good reminder that if we don't get the Gateway project done, we'll all be up a creek without a paddle. We must hold Trump accountable, and that won't happen with Bob Hugin. https://t.co/PirvsqoWKz",0
1215,"RT @HudsonDems: This administration is going after #TransRights and seeking to erode them.
Your vote matters. We need to stand up to this b",0
1191,RT @EricKipnis1: .@BobHugin is woefully unprepared for this debate and by extension to be our  senator. He appears not to be clear about wh,0
1160,"RT @ATNJ07: Bob Hugin supports #Kavanaugh on the Supreme Court. 

@SenatorMenendez opposes him. 

Want more of the evil and cruel policy pl",0
1365,"Smith's Tea Party Agenda Will Privatize Social Security, Dismantle Medicare and Give Tax Breaks to the Wealthy http://t.co/LR2AyGla",0
2340,RT @NancyPelosi: The #GOPBudget is showing the GOP?s true colors: cut taxes for the rich &amp; pass the bill to America?s hard-working families?,0
1553,Voted against House #GOP's latest attempt to sabotage #Obamacare. Full statement here:  http://t.co/tcEYUChP7T,0
2389,RT @RepRoybalAllard: .@HouseGOP actions to start #ACA repeal could devastate millions who have ACA-covered mental health care. https://t.co,0
188,"RT @RepTimWalz: 2 million people will have their access to food threatened if the @HouseGOP passes their hyper-partisan #FarmBill.





Thats",0
1244,RT @NancyPelosi: The #GOPBudget is showing the GOPs true colors: cut taxes for the rich &amp; pass the bill to Americas hard-working families,0
1059,"One vote short on #Medicaid expansion in 2014. Now,its time for the voters to make it right. @UnicamUpdate https://t.co/eqv3QHgAS3",0
492,"""""Politicians are dishonest to get elected bc unless they get elected, they cant be honest"""" Let's end this game &amp; focus on solutions #OMA13",0
2318,RT @jjcomaha: The current U.S. Congress is the most fiscally irresponsible in our entire history. Without serious change this accumulated d,0
1224,"RT @keithellison: Huge numbers of Americans are NOT saving enough to retire, yet Republicans want to mess with your 401k. Dont letm. http",0
2203,"One vote short on #Medicaid expansion in 2014. Now,it?s time for the voters to make it right. @UnicamUpdate https://t.co/eqv3QHgAS3",0
2060,"If Congress can't do it's job of running a functioning government, then they don't deserve their pay. I have long pledged that if the government was to shutdown, I would not take my paycheck as a member of Congress.  What about you @RepDonBacon? #NE02  https://t.co/q8fxRkPQrM",0
1220,RT @jjcomaha: The current U.S. Congress is the most fiscally irresponsible in our entire history. Without serious change this accumulated dâ¦,0
2262,RT @Ann_Ashford: In Nebraska both parties come together to stand against family separation. D.C. this is how it?s done. Thank you to @SenMc?,0
805,"First the comments from Ralph Northam on infanticide &amp; now this.

One of the most horrific statements I've ever heard coming from a Democratic representative on abortion. The barbaric embrace of murder from the Dems is despicable. Every life is precious &amp; worth fighting for. https://t.co/nY298wyRi0",0
400,"Now this is RICH coming from @HillaryClinton. Here?s the answer: NO ONE is above the law in the United States, and that includes Hillary with regards to her actions as Secretary of State. https://t.co/FTcQO7CxuI",1
32,"Medicare-for-All would be devastating for the American people. The Democrats want to ABOLISH your private healthcare, implement a government-run system, and RAISE your taxes to pay for it. #DemDebate https://t.co/yeXKeKIIsZ",0
678,"Americans suffer when members of Congress fail to respect local control, limited government, and personal freedom. #COPolitics",0
1229,"RT @lynn_bartels: """"Folks, this country is a mess."""" 1st priority is fixing fiscal crisis. @BuckforColorado #copolitics",0
2342,"RT @NCRTL: @Burrforsenate's pro-life voting record of the past 6 years. Scored by @nrlc
More info at https://t.co/zHRV5kjsPt https://t.co/q?",0
468,Today's revote on the #GOPTaxScam shows yet again that this hastily-prepared bill promises an unknown number of hidden tax giveaways to corporations.,1
1388,"The #GOPbudget jeopardizes @MedicareGov, #Medicaid, #SNAP, and Pell Grants  all of which many #MD02 families rely on to makes ends meet. https://t.co/9bN9VLPaRo",0
1859,"As Democrats obstruct &amp; resist, Republicans are working hard to deliver results. Sign up to to help with voter contact efforts during the National Week of Action starting 7/27 We need your help to cut the bull out of politics.  Register here <U+2192> https://t.co/pyNf8qIsfH #leadright https://t.co/5zlHzCU7Lj",0
984,"Looking forward to this talk tomorrow w/ @SteveKornacki, @Grace4NY &amp; @TeamJeffries about the 2018 midterms &amp; what it is going to take for the Dems to flip the House &amp; the NY State Senate. #BlueWave

https://t.co/YKeqFxC0rK",0
2463,"Special Counsel Mueller was appointed in response to bipartisan pressure and it's going to take bipartisan pressure to protect that investigation. 





GOP, what will it be? Country or Party?",0
1770,@Mumbojimbo I couldn?t agree more &amp; and have been leading the fight against these outrageous bills. https://t.co/QjOPMFYTxU,0
1719,.@RedTRaccoon is a #veteran who served in Iraq from 06-07 and suffers from #PTSD. 3 Million Veterans have healthcare outside the #VA. #ACA repeal would impact 400K #Veterans currently on #Medicaid. #StopKavanaugh <U+2B07> #WhatsAtStake https://t.co/4Amr1JZFdN,0
1851,Another sign of the ugliness of 2016.  https://t.co/MU4a1tKpiP,0
191,"RT @thehill: ?Let?s call this what it is: unpatriotic. The Kentucky Republican is, arguably more than any other American, doing Russian Pre?",0
2330,"RT @melisa_diaz: In Juli?n Castro's presidential bid, Latinos see one of their own, defying stereotypes https://t.co/2cRCzGyP7I via @nbcnews",0
2524,The Senate should do its job and take up the #SCOTUS vacancy. #nvsen,0
2401,RT @ScottFreeFLA: The story of Rick Scott?s false jobs promises isn?t pretty: http://t.co/T47MCvEMy7,0
1645,"""""Democratic women are leading the way forward against the GOP war on women and families."""" @emilyslist @Schriock1 http://t.co/ce3ZpXt",0
818,"Good time to remind everyone that NRCC Chair @tomemmer still refuses to join my @dccc pledge to prohibit the use hacked or stolen materials in our campaigns.

Do Washington Republicans support foreign meddling with our democracy if it benefits them?
https://t.co/25YIvT4bfH",0
719,"By 2022, #Trumpcarewill cause 58,000 Delawareans will lose coverage. Delawareans need a better plan. #NetDE",0
1854,Arbitrarily preventing grandparents &amp; refugees from entering our country is cruel &amp; contrary to the Supreme Court's order on the #travelban,0
2597,"Trump's #budget would threaten our security, our economy, our environment &amp; our global leadership. I'll fight against this shortsightedness.",0
2155,"Mr. President, your travel ban will only make us less safe. It is discriminatory and unconstitutional. https://t.co/z7HQEUwcmE",0
2153,"Morning read @washingtonpost: Former Pentagon chiefs to Congress: If you're serious about defense, don't pass curre https://t.co/DPwtWbRiKJ",0
2525,"The situation in Lebanon is eerily similar to Ukraine: the Trump administration is illegally holding up congressionally appropriated aid with no explanation.

Fresh off my trip to Beirut, I'm going to be pressing the administration for answers. https://t.co/ETFYw9gNFy",0
217,Turn on C-SPAN - I'm on the Senate floor now talking about the #GOPTaxScam. And I am fired up.,1
2457,"So let?s be honest - there is a war going on between Saudi Arabia and the Houthis. The Saudis are bombing and shooting at the Houthis everyday, with our help. What we should probably be doing is working to end the war, not expecting that one side will unilaterally stop fighting. https://t.co/CW9MdZ317O",0
1846,"And for the record, the Ryan budget would make 8 wks seem timely. Why would we choose to make these kids lives even worse?",0
235,"2/ Obama reasonably believed military force would make Syria worse. #MuslimBan reverses decades of policy based on illogical, racist fear.",1
1935,"Don't sugar coat this. Call it what it is. It is a """"Russian invasion"""". Not a """"separatist rebellion"""". #Ukraine",0
481,"Yesterday I talked with @wherewelive about how the Trump administration is sabotaging the health care system and throwing 130 million Americans with pre-existing conditions under the bus. 
https://t.co/7v4CPxmnMx",1
1866,At Greenwich Bar Assoc talking abt the destructive effect of the mccutcheon ruling &amp; our broken campaign finance laws http://t.co/pOAlHOy3OQ,0
2219,"Play on repeat for next 3 months.

GOP budget cuts Medicare to fund tax cuts for rich.

GOP budget cuts Medicare to fund tax cuts for rich.",0
936,It's pretty simple - when the government spends taxpayer money we should be buying American-made products. It's time to fix our aging roads and bridges and grow American jobs in the process. #BuyAmerica https://t.co/14k2vCBDdW,0
2592,"Tom Price wants to repeal the ACA w no replacement, throwing the entire health care system into chaos. What a terrible choice for HHS.",0
752,Dear House Republicans - this is not a game. This is people's jobs. This is people's lives. This is real life.,0
973,"Let's not lose track of the fact that Republicans are mad at Mulvaney because he didn't do a good enough job at covering up the truth. He's on """"wobbly ground"""" because he accidentally said what actually happened. https://t.co/3nJk5GRasT",0
829,Great to talk with @ShuttleCDRKelly and @resp_solutions about how we can work to close loopholes in our nation's gun laws.,0
1247,"RT @NewsHour: """"This is a very short-sighted budget,"""" Senator @ChrisVanHollen says of President Trump's budget proposal. He joins @JudyWoodr",0
720,"By holding debt limit hostage, @SpeakerBoehner is playing chicken w/a fragile economy. Pol. brinksmanship at its worst. http://t.co/K9SR4Anc",0
325,We cant sit back &amp; watch another sham investigation spread misinformation &amp; feed extreme ideology. #StandWithPP https://t.co/hVapeM0Geb,1
922,"Instead of the GOP talking about jobs, theyre debating inhumane hunting practices that are needlessly cruel to our wildlife.",0
637,131ppl Orange City TM issues: drug$$$ health care ethanol farm bill filibusters clemency DACA Guns Medicaid morality Puerto Rico relief natl debt the media tax bill etc #99countymeetings,0
1375,Sure happy I voted agst car/clunker bill now that Obama is suspending bill bc it is not administrable. He ought to rethink govt run health,0
1542,Under Senate rules a cmte cant meet 2hrs after going in session w/out Senate consent Im sorry 2say ystrday the Democrats made objection to the Judiciary Cmte mtg bc of the 2hr rule so at 2pm I had to immediately stop judic mtg Dont blame me blame Schumer/Dems for obstruction,0
905,If u just saw CBS 60minutes abt ripoff H1B visa program is replacing AmWorkers u shld know my/Durbin bill will correct this injustice,0
1679,#SequesterThis: Millions in waste in CONGRESS including sleep and relaxation classes for staffers and... http://t.co/JWEndVMiWL,0
2272,"RT @cdm0325: @ColinAllredTX 
@UnseatPete
@JulianCastro 
Blockwalking on a cloudy day. Get out the vote.
If not you, who? https://t.co/rkC9S?",0
1707,".@PeteSessions has shown us what his priorities are: (1) taking healthcare away from 23M Americans, (2) blocking renewal of CHIP, which provides healthcare to 9M kids, and (3) raising taxes on the middle class to fund tax cuts for his billionaire donors. #PetePriorities",0
1046,"Obamacare isn't collapsing, in spite of Washington's best efforts. We need to build on this success and expand coverage to all. https://t.co/sfk76j8l8E",0
490,"""""Lets focus on the more pressing issues facing our nation instead of these hurtful anti-women attacks. http://t.co/7GmV1xk1LF",0
1445,The Trump administration is giving a free pass to corporate polluters to contaminate the air in our neighborhoods #PeopleNotPolluters #EarthDay2018,0
341,.@HouseGOP pushing bill to gut consumer protection rule and shield big banks from legal recourse - shameful act on behalf of Wall St &amp; CEOs,1
89,#EnviroWackos have been manipulating climate data for years. Yet another scandal lends proof this is #BigGov agenda http://t.co/hPf92eRD5D,1
339,.@BarackObama is talking about paid leave  something he knows a lot about. Would this include golf? #SOTU,1
1535,Tune in to the Mark Levin show @ 7:30 PM CT - I'll discuss my opposition to the three-week CR: http://bit.ly/8LKHRp #tcot #debt #prolife,0
979,"Life is winning again in America. @VP @MarchForLife  @Prolife @LifeNewsHQ 


https://t.co/pHlcCbTsE9",0
2614,"Under @BarackObama?s rule, he has burdened our children and grandchildren with $7.45 TRILLION in debt. #SOTU #middleclasseconomics",0
223,When will Obama give American families the break from #ObamaScare he is giving to business? http://t.co/HWhdupuwn4,1
1087,Political pundits across the nation are looking at my race as a measure of Nancy Pelosi's power. Help me fight back. http://bit.ly/das77W,0
1905,"Common Core is a rotten idea. SIGN if you agree! 
https://t.co/65iov9gxWJ https://t.co/mjVeRMRqxc",0
1307,RT @SpeakerBoehner: Here's the latest on the House's investigation into the grisly practices embraced by #PlannedParenthood: http://t.co/YZâÃÂ¶,0
487,"""""Fewer plans to be on biggest Obamacare exchange in 2016"""" Fewer choices /Bigger monopolies /Higher costs = Obamacare https://t.co/nC8F92CWLK",0
872,I just intro an amend to strike the Fed Gov Ins Exchange from the Bill that would end in a Gov monopoly. Less Choice/ Higher Cost #rs #tcot,0
71,"Two days away from the latest round of impeachment hearings and @JudiciaryGOP committee members  and the American people  are once again left in the dark.

This sham is absurd, unjust, and beg's the question, what else are they concealing? https://t.co/If1yuWUxx2",1
401,"One of @RepAdamSchiff's star witnesses perjured herself over a simple question about whether she had been in communication with Democrat staff.

If @HouseDemocrats are really seeking the truth, they'll hold their witnesses accountable when they lie under oath.

#StopTheSchiffShow https://t.co/6IEFZJPKmF",1
2571,This still seems surreal but Im going to do everything I can to prevent it from happening. There is no justification for making it harder for working families to save for retirement. https://t.co/30ItPgNHnO,0
1482,This still seems surreal but Iâm going to do everything I can to prevent it from happening. There is no justification for making it harder for working families to save for retirement. https://t.co/30ItPgNHnO,0
222,"We need bipartisan cooperation to improve our health care system, not threats that put politics ahead of people. https://t.co/PoTeqhPFZj",0
1461,This decision by Republicans on the Committee tells us everything we need to know to assess whether this memo is about the facts or political attacks on the FBI. https://t.co/qnWyqU4OSP,0
119,"As a father, I am outraged that this Administration is prolonging the separation of families. We need to stop the trauma now. Children should be with their parents. #ReunifyFamilies https://t.co/QPcm1vSIzj",0
603,@kilo_romeo23 Not sure what u mean. The NBA and MLB pay taxes. Why does the NFL have tax exempt status. Why are u subsidizing them?,0
704,Be careful with that question. I got the beat down from my twitter friends with all the evidence RT @JonWhite17: whats wrong with diet soda?,0
1747,@crock30383 The way we draw congressional districts is wrong and should be changed.,0
2123,Just bout every major NJ city had 2. But Nwk has hired back &amp; will hire more RT @Cocoamocogood: Never understood cities vote to lay off cops,0
