source_row,source_tweet_id,source_created_at,source_uncivil_raw,text,gt_uncivil
21,8.435452684484444e+17,Sun Mar 19 19:30:38 +0000 2017,no,"@SpeakerRyan @POTUS You act like its so hard to get health care,all you need to do is repeal ACA. We all purchase car Ins without Gov help..",0
22,8.708608154730988e+17,Sat Jun 03 04:32:52 +0000 2017,no,@RepAdamSchiff @POTUS Trump doesn't care. He doesn't see the big picture. He only cares about himself- it's as if h… https://t.co/Tt4yQtAPFL,0
23,8.587410213159158e+17,Sun Apr 30 17:53:08 +0000 2017,yes,@RepShimkus You and your GOP apparently missed the memo of what He expects from you. If you can still look in the mirror you have no soul.,1
24,8.265214048078438e+17,Tue Jan 31 20:03:53 +0000 2017,no,"@TGowdySC This statement is why Congressman Gowdy would have been the greatest choice for AG. Fair, honest, respected and compassionate.",0
25,7.982590548668948e+17,Mon Nov 14 20:19:24 +0000 2016,no,"@RepBillFlores Please don't vote for Paul Ryan for Speaker. He has his own agenda. He didn't support Trump, and he almost let Hillary win.",0
26,8.951206599274988e+17,Wed Aug 09 03:12:50 +0000 2017,yes,"@jasoninthehouse Look forward to the headline of Chaffetz enlisting and fighting in North Korea...oh wait, you have bone spurs too?",1
27,8.533123693967688e+17,Sat Apr 15 18:21:37 +0000 2017,no,@PeterRoskam @GOP @realDonaldTrump ARE YOU LISTENING? Release your taxes! Democracy = Transparency #ACCOUNTABLE #NOW https://t.co/yWOHc7eglR,0
28,8.605159885378232e+17,Fri May 05 15:26:13 +0000 2017,no,"@RepShimkus @cathymcmorris When a person CAN'T AFFORD basic healthcare, the decision is MADE FOR THEM. No coverage.… https://t.co/9by20Fazo6",0
29,9.212183842636063e+17,Fri Oct 20 03:35:52 +0000 2017,no,@RepWilson nice we now see that your Soros backed,0
30,8.774748274556518e+17,Wed Jun 21 10:34:36 +0000 2017,no,@SenJohnMcCain Obama helped that out. Less money for military and fake muller investigation. Russia has won.… https://t.co/o5Q4xsHMAM,0
31,9.005174672436347e+17,Thu Aug 24 00:37:49 +0000 2017,no,"@SenJohnMcCain Dear Senator McCain, I am fighting for my life as well &amp; sincere love, prayers for you. I grieve&amp; pray for fixing ACA. Tears.",0
32,8.813617288854569e+17,Sun Jul 02 03:59:45 +0000 2017,no,@RepAdamSchiff @Lordmchaggis @realDonaldTrump He doesn't give two fucks,0
33,9.0047882389615e+17,Wed Aug 23 22:04:16 +0000 2017,no,"@NancyPelosi @NatlParkService well, Nancy @NancyPelosi ... I'm sure the NPS woulda denied their permit if they had… https://t.co/Ygvf5kiG1k",0
34,8.396327454165197e+17,Thu Mar 09 00:23:40 +0000 2017,no,@Jim_Jordan @realDonaldTrump Stick to your guns sir! We The People would rather wait &amp; have healthcare bill done right! We are with you! 👏🇺🇸,0
35,8.373774809105859e+17,Thu Mar 02 19:02:03 +0000 2017,no,"@SenSchumer get real!after clinton&amp;holder,your kidding,right?resign-really?a joke,like fake tears.this is your legacy,really sad for Dems!",0
36,8.382654958790943e+17,Sun Mar 05 05:50:43 +0000 2017,no,"@SpeakerRyan @POTUS I'm just gonna leave this here for you and your ""so called"" president. Thanks for the empowerme… https://t.co/9n4JAKv1Sl",0
37,8.900531684065812e+17,Wed Jul 26 03:36:26 +0000 2017,yes,"@farenthold @Oceana @RepEdRoyce @repblumenauer You racist, sexist fat pig. Karma is coming for that fat Ass. https://t.co/9KjcpwpRhM",1
38,8.363349667074826e+17,Mon Feb 27 21:59:29 +0000 2017,yes,@MaxineWaters YOU are a joke and the poster child for term limits.. I just hope the good people in you district wak… https://t.co/kOmZr0rNqq,1
39,8.761169110289203e+17,Sat Jun 17 16:38:43 +0000 2017,no,@RepDonBeyer Yes we do and not wedding planners,0
40,8.707568136748605e+17,Fri Jun 02 21:39:36 +0000 2017,no,@NancyPelosi NOW CHECK OUT ANY #FOX #FAUXnews COMMENT SECTION ON THE PARIS WITHDRAWL... #AWAG AMERICA WAS ALREADY G… https://t.co/t0LpjzT8Kc,0
41,7.949279548160778e+17,Sat Nov 05 15:42:48 +0000 2016,no,"@SpeakerRyan: ""We'll replace Obamacare"". With what? After TEN years @GOP won't say. They'll take health ins away from 65mil Americans #AMJoy",0
42,8.368026319767634e+17,Wed Mar 01 04:57:49 +0000 2017,no,@RepJerryNadler I want to thank you from the bottom of my heart. Your perseverance is required to fight for our democracy. Sleep well.,0
43,8.629804718518559e+17,Fri May 12 10:39:12 +0000 2017,no,@NancyPelosi @POTUS Apologies? Save it fo Satan. Kate Rich. Very very Rich.,0
44,8.396510845661676e+17,Thu Mar 09 01:36:33 +0000 2017,no,@SpeakerRyan @TuckerCarlson @FoxNews will you two be holding hands and making eyes at each other? I bet you will!,0
45,8.298500369598464e+17,Fri Feb 10 00:30:41 +0000 2017,no,"@SenSchumer @MSNBCChris - Pres is going to stew about this and by Fri AM, betting the tweet machine will be running… https://t.co/NAVFObUDRE",0
46,9.212021850604093e+17,Fri Oct 20 02:31:30 +0000 2017,yes,@RepWilson @realDonaldTrump Your a truly sick person,1
47,9.113032941648814e+17,Fri Sep 22 18:56:51 +0000 2017,no,@SenJohnMcCain I'm so happy you will support our open border policy. These new voters won't forget you!,0
48,9.121157205483848e+17,Mon Sep 25 00:45:08 +0000 2017,no,@RosLehtinen Y los que estan aqui ya seran deportados ?,0
49,9.137364340367442e+17,Fri Sep 29 12:05:16 +0000 2017,no,@SanfordBishop has the 3rd most economically distressed congressional district https://t.co/ExFowMrdb0 #ColumbusGA https://t.co/nkQvqbY9hc,0
50,8.254603142925025e+17,Sat Jan 28 21:47:29 +0000 2017,no,@SpeakerRyan stop the #MuslimBan this is not what the American people want. We are a country of acceptance not a country of hate.,0
51,8.73150875853783e+17,Fri Jun 09 12:12:45 +0000 2017,no,@RepAlGreen haven't you embarrassed yourself enough Al? Time to fade back into obscurity https://t.co/8TtRCUnCGw,0
52,8.416728466193981e+17,Tue Mar 14 15:30:18 +0000 2017,no,@NancyPelosi Sorry to say that Obamacare isn't progress. It's an infringement on freedom of choice and failing badly. GOP is our only hope!,0
53,8.015490194828206e+17,Wed Nov 23 22:12:32 +0000 2016,no,@SenShelby You would be against the working man getting paid overtime. You work for corporations.,0
54,8.257685124131103e+17,Sun Jan 29 18:12:10 +0000 2017,no,"@SpeakerRyan, history will judge you. Your condoning the president's actions is cowardly and shameful.",0
55,8.540158722094776e+17,Mon Apr 17 16:57:05 +0000 2017,no,@SenSchumer Christian values? https://t.co/zI9zJztGrI,0
56,8.255654461286932e+17,Sun Jan 29 04:45:15 +0000 2017,no,@repjohnlewis @WabKinew Absolutely.,0
57,8.136268910432788e+17,Tue Dec 27 06:05:41 +0000 2016,no,"@keithellison you are not a liberal, you are a progressive. liberals=liberty progressives=authoritarian polar opposites nice try tho",0
58,9.170381999473992e+17,Sun Oct 08 14:45:19 +0000 2017,no,@RepCummings read this patriots work. Very compelling. https://t.co/o2X5ySDpGD,0
59,8.373588044675072e+17,Thu Mar 02 17:47:51 +0000 2017,no,@MaxineWaters https://t.co/1lqNUEA2hC,0
60,7.94471648502186e+17,Fri Nov 04 09:29:36 +0000 2016,no,@jasoninthehouse Sit down when you read the breaking news from Newsweek article. Rudy Giuliani leaking FBI info Russia backing Trump.,0
61,8.899600291719741e+17,Tue Jul 25 21:26:20 +0000 2017,no,"@ChuckGrassley You voted against Iowa's elderly, against Iowans with pre-existing conditions, and against Iowa's healthcare providers.",0
62,8.287093978913178e+17,Mon Feb 06 20:58:11 +0000 2017,yes,@PattyMurray @SenateDems Thank for your stand for US and our children against this ugly Trump agenda. Stay strong.,1
63,8.976901318382346e+17,Wed Aug 16 05:23:00 +0000 2017,yes,@SenJohnMcCain u r a traitor. u can't swallow that Trump won against 17 opponents &amp; u lost to a loser abama,1
64,7.903210447750636e+17,Sun Oct 23 22:36:35 +0000 2016,no,@SpeakerRyan With Hillary all we'll get is scandal after scandal and a very corrupt federal justice department! Enough is enough!,0
65,9.112923319026033e+17,Fri Sep 22 18:13:17 +0000 2017,no,@SenJohnMcCain @HotlineJosh Thank you for putting people's lives above politics,0
66,8.111661348588708e+17,Tue Dec 20 11:07:31 +0000 2016,no,@SenBlumenthal political bs. The NRA and Republicans have won big time. The only alternative is to arm everyone so we can protect ourselves,0
67,8.209898990463508e+17,Mon Jan 16 13:43:39 +0000 2017,no,@repjohnlewis disrespects Trump by boycotting Inauguration &amp; whining Standard set! Chanting #LockHerUp when Hillary enters is now OK,0
68,8.338443489198858e+17,Tue Feb 21 01:02:39 +0000 2017,no,@RepLanceNJ7 Wake up Lenny! Get behind your country not your party - which btw is no longer the party Reagan made… https://t.co/F7Oq6bAJsc,0
69,9.149137031531192e+17,Mon Oct 02 18:03:19 +0000 2017,no,@MarkAmodeiNV2 are you going to #DoSomething ?,0
70,8.668145746449326e+17,Tue May 23 00:34:33 +0000 2017,no,@jasoninthehouse @GOPoversight Frankly he shouldn't be allowed before giving testimony. But this appears to be the… https://t.co/N7YdgfmWO3,0
71,8.206355822799135e+17,Sun Jan 15 14:15:44 +0000 2017,no,@marcorubio @SenJohnMcCain @LindseyGrahamSC @SpeakerRyan https://t.co/V83m3d8Cpa,0
72,8.949473153871708e+17,Tue Aug 08 15:44:01 +0000 2017,no,@RepDavidEPrice @danpfeiffer @JaredHuffman Just a little too late for your legislation.,0
73,9.164036548145603e+17,Fri Oct 06 20:43:51 +0000 2017,no,"@NancyPelosi @POTUS birth control isn't in the constitution but the right to bear arms is, which you liberals want to take so badly",0
74,8.449378312188887e+17,Thu Mar 23 15:44:11 +0000 2017,no,@MaxineWaters Excellent summary of what's going on.,0
75,8.38136766548824e+17,Sat Mar 04 21:19:11 +0000 2017,no,"@RepWebster, another one killed by guns in Daytona Beach today. What will you do about it? https://t.co/Xb469rGbjp #shootatweet",0
76,9.123800036099237e+17,Mon Sep 25 18:15:18 +0000 2017,no,@SpeakerRyan I want to believe in you and Mitch McConnell you both know or should know we the people are not stupid get it done.,0
77,8.367735539157156e+17,Wed Mar 01 03:02:16 +0000 2017,no,"@NancyPelosi @realDonaldTrump fact,go Trump",0
78,8.734257316777165e+17,Sat Jun 10 06:24:56 +0000 2017,yes,@SenJohnMcCain @Dbacks Maybe you should retire after 30yrs of raping taxpayers &amp; embarrassing yourself while stutte… https://t.co/HBcbbMa7nZ,1
79,8.644754012419809e+17,Tue May 16 13:39:31 +0000 2017,yes,@MaxineWaters. You filthy Russian💩 greedy 💩money💩 gathering pig🐖...glass houses will be crashing down on the libera… https://t.co/DupONpzDS1,1
80,8.438872222145946e+17,Mon Mar 20 18:09:27 +0000 2017,no,@JeffFortenberry Thank you for supporting a legal workforce. Vote for returning worker exemption #SaveH2b,0
81,8.436386515988808e+17,Mon Mar 20 01:41:43 +0000 2017,no,@SpeakerRyan You must be so proud of yourself. https://t.co/sP2AqYt8cp,0
82,8.496714245539635e+17,Wed Apr 05 17:13:48 +0000 2017,no,"@SpeakerRyan I rip on you for lots of things, but I'm giving you props this time. Thank you, for not blaming Pres O… https://t.co/mAhtOXLhY3",0
83,8.401001395449324e+17,Fri Mar 10 07:20:56 +0000 2017,no,@RepNewhouse @SpeakerRyan @HouseGOP it's worse than Obamacare .. fix it or leave it alone!!,0
84,8.454042265745203e+17,Fri Mar 24 22:37:29 +0000 2017,yes,@WalshFreedom @SpeakerRyan Growing Pains - dude you been in Congress how long?!,1
85,8.318753418493911e+17,Wed Feb 15 14:38:31 +0000 2017,no,@jasoninthehouse when will you do your job? investigate @realDonaldTrump for his ties to Russia. please protect our democracy.,0
86,8.527594260919828e+17,Fri Apr 14 05:44:25 +0000 2017,yes,@SpeakerRyan Federal funds can't be used for abortions in the first place. This just shows how little you know about your own job.,1
87,8.290214137721119e+17,Tue Feb 07 17:38:02 +0000 2017,no,@SenSchumer @ImpactDemocracy @MikePenceVP That's what happens when you donate to half the GOP senate. How could Sessions vote anyway?,0
88,8.335545359562424e+17,Mon Feb 20 05:51:02 +0000 2017,no,"@SenJohnMcCain Best to talk out your grievances with the President personally than broadly with the Media. ""Maverick"" behavior not helpful.",0
89,8.891091814285763e+17,Sun Jul 23 13:05:22 +0000 2017,no,@SenSchumer @SenateDems @HouseDemocrats https://t.co/dK2AupEfgO,0
90,9.109658029536664e+17,Thu Sep 21 20:35:47 +0000 2017,no,"@RepMcClintock Ca will lose $78 billion for healthcare if Graham-Cassidy gets passed. You don't want your state to lose that, do you?",0
91,8.964827855731794e+17,Sat Aug 12 21:25:26 +0000 2017,no,"@RepAdamSchiff @POTUS Rep. Schindler, you are an honorable man. Please know that Donald J. Trump will never,EVER c… https://t.co/OsCgoSrNpc",0
92,8.199644871303782e+17,Fri Jan 13 17:49:02 +0000 2017,no,"@RepMoBrooks Israel building settlements on the East Bank to ""push-out"" Palestinians is just wrong!",0
93,8.31844978204799e+17,Wed Feb 15 12:37:52 +0000 2017,no,"@RepScottPerry @SenToomey @SenBobCasey If you all don't fix this, and root out the corruption, we *WILL* root out you",0
94,9.106449644423576e+17,Wed Sep 20 23:20:53 +0000 2017,no,@RepAdamSchiff How would Puerto Rico suffer further should the Graham/-Cassidy pass? This is dialysis disastrous!,0
95,8.290701478350275e+17,Tue Feb 07 20:51:41 +0000 2017,no,@Raul_Labrador what could possibly go wrong? https://t.co/r0UgzkyrtF,0
96,8.989790004118651e+17,Sat Aug 19 18:44:30 +0000 2017,yes,@RepMimiWalters This is the BS we're paying you for? How about focusing on your bigoted leader and denouncing him?… https://t.co/h0EbpYu4fi,1
97,8.420213576469422e+17,Wed Mar 15 14:35:10 +0000 2017,yes,@SpeakerRyan It took you and your goons an entire year to come up with this crap? Lord help us.,1
98,8.300916102726574e+17,Fri Feb 10 16:30:36 +0000 2017,no,@jasoninthehouse is a #handmaiden and #collaborateur. #ImpeachTrump https://t.co/Y4aSh5LUsI,0
99,9.145782022023988e+17,Sun Oct 01 19:50:10 +0000 2017,no,@SenJohnMcCain @MeghanMcCain @bobschieffer @FaceTheNation https://t.co/wSaxsFihBt,0
100,9.148843489518469e+17,Mon Oct 02 16:06:41 +0000 2017,yes,@SpeakerRyan That's BS. You aren't shocked. You don't pray and you're fulla shit.,1
101,9.1524382284152e+17,Tue Oct 03 15:55:06 +0000 2017,no,"@RepJoeKennedy @trumpsgottago @SpeakerRyan is due ZERO respect. But you are, Joe. Thank you!",0
102,8.628334688159334e+17,Fri May 12 00:55:04 +0000 2017,no,@RepKevinBrady Please have an independent investigation into Trump/Putin connections! Stand up or go down with liar in the WH!!,0
103,8.210459199279596e+17,Mon Jan 16 17:26:16 +0000 2017,no,"@RepSchrader,Over 21 Million #Biafrans will hit PortHarcourt on 20/1/2017 in solidarity Support to Donald Trump https://t.co/CSDl6VCLr3",0
104,8.247273943219118e+17,Thu Jan 26 21:15:08 +0000 2017,yes,@SpeakerRyan .@SpeakerRyan what's it like knowing you can never sexually stimulate your wife since you only fuck as if you're planking?,1
105,9.211353544465368e+17,Thu Oct 19 22:05:57 +0000 2017,yes,@RepWilson @BarackObama You are a bottom feeder. https://t.co/qgiz4wrvUa,1
106,8.987580234468966e+17,Sat Aug 19 04:06:25 +0000 2017,no,@RepTedLieu @POTUS @realDonaldTrump Tell us about how u we're paying the Awan's salaries!,0
107,8.495007986398536e+17,Wed Apr 05 05:55:48 +0000 2017,yes,@GerryConnolly @RepEliotEngel @davidcicilline @HFACDemocrats Nunes shouldn't be recused. He should be repealed and replaced. #Russiagate,1
108,8.494426944515604e+17,Wed Apr 05 02:04:54 +0000 2017,no,@SpeakerRyan @SenateGOP I'll be the first in line getting my tea when this bites you in the ass. https://t.co/0Q4wXvKv6z,0
109,8.642509770959995e+17,Mon May 15 22:47:44 +0000 2017,no,@SenJohnMcCain H.R. McMaster “At no time were any intel sources or methods discussed &amp; no military ops disclosed th… https://t.co/zXkmi0N49E,0
110,8.699924285848822e+17,Wed May 31 19:02:13 +0000 2017,yes,@NancyPelosi Let's make no mistake #Obamacare is your disaster that was bad for all Americans.,1
111,8.696330523470725e+17,Tue May 30 19:14:11 +0000 2017,yes,"@DarrellIssa I'd laugh if this weren't so fucking pathetic and cowardly. Do your job, or get out of the way. https://t.co/NTWepdMuC0",1
112,9.113066857041347e+17,Fri Sep 22 19:10:19 +0000 2017,no,@lisamurkowski @SenateGOP @SpeakerRyan @realDonaldTrump @SenateMajLdr @SenJohnMcCain @BillCassidy @LindseyGrahamSC https://t.co/vrwaaUskAJ,0
113,8.373925740338545e+17,Thu Mar 02 20:02:02 +0000 2017,no,"@RepJuanVargas lol, I see what you did there...well played sir",0
114,8.46749990013694e+17,Tue Mar 28 15:45:04 +0000 2017,no,@TGowdySC @TechCrunch this bot is perfectthis bot is perfectthis bot is perfectthis bot is perfectthis bot is perfectthis bot is perfect,0
115,8.690488129706803e+17,Mon May 29 04:32:37 +0000 2017,no,@SpeakerRyan Raise minimum age to marry so that isn't used to escape rape charge,0
116,8.352152551395738e+17,Fri Feb 24 19:50:09 +0000 2017,no,@SpeakerRyan what does that even mean?!,0
117,7.909187195685028e+17,Tue Oct 25 14:11:31 +0000 2016,no,@Clyburn The UN says the Assad regime kills so many people it amounts to an 'extermination' https://t.co/5zITJwUq4L,0
118,8.899389133427466e+17,Tue Jul 25 20:02:25 +0000 2017,no,@SenJohnMcCain https://t.co/jhmntAVUd3,0
119,8.964876266177577e+17,Sat Aug 12 21:44:40 +0000 2017,no,@SenBennetCO @POTUS Is there something the Senate can do to remove white supremacist influence from government? I'd… https://t.co/4iTdZSRUDl,0
120,9.149896488368333e+17,Mon Oct 02 23:05:06 +0000 2017,no,@RepSwalwell You either support sensible gun reform or you live with blood stained hands. There is no middle ground… https://t.co/dZSHaLaVCb,0
121,8.416542197068841e+17,Tue Mar 14 14:16:17 +0000 2017,no,@SpeakerRyan Paul Ryan: Paul Ryan Must Resign - Sign the Petition! https://t.co/Q53YgjwNQE via @Change,0
122,8.261422340598702e+17,Mon Jan 30 18:57:12 +0000 2017,no,@SpeakerRyan Stand by your rejection of using Religious Test for entering this country. Denounce this Executive Order. #nomuslimban,0
123,8.617336708556063e+17,Tue May 09 00:04:52 +0000 2017,no,"@MaxineWaters Lady you are a complete goofball! You refuse to state any facts.I would love to hear you repeat ""ther… https://t.co/Ob4a4mrDIb",0
124,8.417923536775455e+17,Tue Mar 14 23:25:11 +0000 2017,no,"@SenatorTimScott @BarbaraComstock not all of our constituents are Christian. In fact, @RepComstock , many of yours are not.",0
125,8.490512805721088e+17,Tue Apr 04 00:09:34 +0000 2017,no,"@USRepRodney ""each representative is elected to a two-year term serving the people of a specific congressional dist… https://t.co/h3Zd0YUeQX",0
126,8.815577460084572e+17,Sun Jul 02 16:58:39 +0000 2017,no,@RepAdamSchiff @POTUS https://t.co/tPykQj9I53,0
127,8.073849337191219e+17,Sat Dec 10 00:42:23 +0000 2016,no,@SenSchumer @SenWarren @SenSanders @SenFeinstein @timkaine @SenSherrodBrown @NancyPelosi @MaxineWaters… https://t.co/L55No9EwoK,0
128,8.750520890592707e+17,Wed Jun 14 18:07:30 +0000 2017,no,@NancyPelosi @MaxineWaters @kathygriffin @SenSanders Please for America's sake stop your threats and start governing. Please show respect!,0
129,9.112040629845934e+17,Fri Sep 22 12:22:32 +0000 2017,no,@SpeakerRyan @SenMajLdr This site is for you https://t.co/qbudW1CnAN,0
130,8.594537868421693e+17,Tue May 02 17:05:25 +0000 2017,no,@SpeakerRyan Verified by who?,0
131,8.453725583210947e+17,Fri Mar 24 20:31:38 +0000 2017,no,@SenJohnMcCain @forestservice there is still a Forest Service. Not cut yet? Give @realDonaldTrump time.,0
132,8.780200366229012e+17,Thu Jun 22 22:41:04 +0000 2017,yes,@RepAdamSchiff @POTUS They also dont have any purple unicorns. Do you want proof of non-existance of those too?,1
133,8.365771035335107e+17,Tue Feb 28 14:01:38 +0000 2017,yes,"@LamarSmithTX21 You swore to GOD to defend the Constitution. Don't betray Him, it or us. Vote YES on investigating. #TrumpRussia #ΩΩ",1
134,8.627453125024604e+17,Thu May 11 19:04:46 +0000 2017,no,@SenSchumer Do you know how FBI runs Just because one person leaves things don't stop it continues what if someone… https://t.co/UepnkQvg8C,0
135,8.594016265405276e+17,Tue May 02 13:38:09 +0000 2017,no,@RepSwalwell i hope you are being literal with the working on it part.,0
136,8.326164145276314e+17,Fri Feb 17 15:43:17 +0000 2017,no,@SusanWBrooks so where are your town hall meetings/,0
137,8.384561537722941e+17,Sun Mar 05 18:28:19 +0000 2017,no,@RepAdamSchiff will be in studio tomorrow on @OnPointRadio. https://t.co/3AtljIXuhN,0
138,8.465281358142341e+17,Tue Mar 28 01:03:29 +0000 2017,no,@repjohnconyers @realdonaldtrump HB676 is more what we're want except those who want no insurance because they think they will never need it,0
139,8.460945657864233e+17,Sun Mar 26 20:20:38 +0000 2017,no,@Jim_Jordan Chris Wallace's adversarial interview with you on 3/26 convinced me that the Freedom Caucus did America a favor. Thanks.,0
140,8.406808259181691e+17,Sat Mar 11 21:48:22 +0000 2017,yes,"@HerreraBeutler How hypocritical of Jaime since she and GOP wants prenatal care coverage axed in #Trumpcare, among many other reductions.",1
141,9.002270269379502e+17,Wed Aug 23 05:23:43 +0000 2017,yes,@SpeakerRyan @SenateMajLdr HOW can you stay SILENT on Trump any longer?He is destroying our country. You should be… https://t.co/7RvXcMckq5,1
142,8.96031035590402e+17,Fri Aug 11 15:30:20 +0000 2017,no,@SenSchumer Who paying for these logos?,0
143,8.317127164778537e+17,Wed Feb 15 03:52:18 +0000 2017,no,@SenJohnMcCain you know he is detrimental to our country PLEASE take the lead to remove this buffoon @realDonaldTrump,0
144,8.207762578560819e+17,Sun Jan 15 23:34:43 +0000 2017,no,@jasoninthehouse why are you wasting taxpayer money on this when you should be investigating Trump's conflicts esp… https://t.co/q9h6yEahOB,0
145,8.180915685906514e+17,Sun Jan 08 13:46:44 +0000 2017,yes,@ChuckGrassley Take action vs guns! #gunsense @MomsDemand,1
146,7.918039156709868e+17,Fri Oct 28 00:48:59 +0000 2016,yes,@pnehlen @SpeakerRyan He's a democrat in the republican party! Ryan is in over his head! #MAGA #CrookedHillary #draintheswamp @hannity,1
147,8.751261367952671e+17,Wed Jun 14 23:01:44 +0000 2017,yes,@SenJohnMcCain @DuffelBlog John see WaPo story... do you really think Cindy should work for him...I know you want the money but honestly !!!,1
148,8.625186790275809e+17,Thu May 11 04:04:12 +0000 2017,no,@SenJohnMcCain Hey nut job. Did you get the message? https://t.co/DGBXuftMs6,0
149,8.215092061340017e+17,Wed Jan 18 00:07:12 +0000 2017,yes,@SpeakerRyan and what do u call what your boy Trump is doing!! Putin's puppet lover boy😠. GOP..FBI..all responsible for Russian involvement!,1
150,8.264891198659912e+17,Tue Jan 31 17:55:36 +0000 2017,yes,@SenSchumer voted no for Chao because he's racist!!!!!! How dare he! She's qualified and got majority of the votes only 5 no!!!,1
151,8.815494752648192e+17,Sun Jul 02 16:25:47 +0000 2017,no,@RepSwalwell .guess you are really a RUSSIAN SPY huh..helped Hillary? tell the truth to save your soul,0
152,8.055299752857764e+17,Sun Dec 04 21:51:26 +0000 2016,no,@TGowdySC Why is this even being considered? https://t.co/Bj86HPqBUf,0
153,8.395248309070971e+17,Wed Mar 08 17:14:51 +0000 2017,no,@RepLoBiondo @Transport Noice. Then get to the CIA leaks when you are done,0
154,8.992588763647181e+17,Sun Aug 20 13:16:38 +0000 2017,no,@keithellison https://t.co/L2CaGDamKI,0
155,8.605027359926108e+17,Fri May 05 14:33:34 +0000 2017,yes,"@cathymcmorris You know that $8 billion aint gonna be enough, right? Or can you not do the math? &amp; you are wealthy… https://t.co/ie3fb9vihI",1
156,8.525602789569167e+17,Thu Apr 13 16:33:04 +0000 2017,no,@SenatorBurr @AdamSchiffCA @SenateGOP @SenateDems INDEPENDENT PROSECUTOR The American people deserve some answers! https://t.co/WHNcFDVs24,0
157,8.262366709241774e+17,Tue Jan 31 01:12:27 +0000 2017,no,"@SenatorBurr you owe it to our students and teachers to set them up for success, not failure. #VoteNoDevos",0
158,8.186182423318036e+17,Tue Jan 10 00:39:32 +0000 2017,no,@SpeakerRyan I’m insured through the ACA &amp; very afraid of you taking away my insurance,0
159,8.754007196748595e+17,Thu Jun 15 17:12:50 +0000 2017,no,@SenatorIsakson https://t.co/ldBIFk4IGh,0
160,8.391311017172009e+17,Tue Mar 07 15:10:19 +0000 2017,no,"@SpeakerRyan New healthcare plan benefits healthier, wealthier patients. Not a surprise given that Republicans created it. #Trumpcare",0
