text,gt_policy_domain
We will also ensure that environmental assessments include an analysis of upstream impacts and greenhouse gas emissions resulting from projects under review.,Welfare and Quality of Life
"encouraging GPs to work together in federations, and allowing people more choice.",Welfare and Quality of Life
Stephen Harper has fought long and hard for Senate reform.,Freedom and Democracy
not by a Westminster government that doesn’t prioritise Wales.,Political System
"We will: Work to deepen the EU single market in the energy sector,",External Relations
- Reduce primary school class sizes so that within 5 years no child between 5 and 11 I will need to be in a class of more than 30.,Welfare and Quality of Life
But we cannot go it alone.,Welfare and Quality of Life
The next franchise in Wales should include the introduction of a Welsh transport Smart Card compatible with other forms of transport.,Economy
Saving for retirement is major priority for Canadians.,Social Groups
A re-elected Conservative Government will support economic development in these communities by establishing an enhanced Mining Exploration Tax Credit for northern and remote mining projects.,Economy
and will work with all parties to recommend and bring about these changes.,Freedom and Democracy
"ending the discrimination against mental health which has existed for too long,",Welfare and Quality of Life
and engage in humanitarian intervention.,External Relations
- Introduce fair and workable child support legislation.,Fabric of Society
We will ensure that protecting the natural environment becomes a core commitment of every government department and agency.,Welfare and Quality of Life
with tailored in-work careers and job search advice.,Social Groups
"Improve housing needs assessments to ensure they respond to demand, including through price signals, rather than simply need,",Economy
and permitting swimming in open bodies of water.,Freedom and Democracy
"Unfortunately, these industries have been under attack during the Harper decade, hit by funding cuts that have made it harder for Canadian artists to share Canadian stories, here in Canada and around the world.",Political System
"Building on this progress, we will: Complete implementation of the new rules to separate retail banking from investment banking, working with the financial services industry to promote integrity, accountability and value across the sector.",Economy
"Require the Sports Ground Safety Authority to prepare guidance under which domestic football clubs, working with their supporters, may introduce safe standing areas.",Economy
Ensure the full implementation of the 20 Year Strategy for Irish which we assisted in developing during our time in government.,Fabric of Society
"and humanitarian aid, delivering for the first time on the 40 year old UN ambition for developed countries to spend 0.7% of national income as Official Development Assistance.",External Relations
Initiate a programme of reform in the delivery of services within the Department of Social Protection so that the dignity and rights of customers receiving the services are fully respected.,Political System
But that does not mean that the institutions and policies of the European Union are perfect and do not need reform.,External Relations
"We admire their tradition of commitment to their communities, and want to encourage a new generation of Canadians to take up their banners.",Fabric of Society
Promote international recognition of same sex marriages and civil partnerships as part of a comprehensive International LGBT Rights Strategy that supports the cause of decriminalising homosexuality in other countries.,Freedom and Democracy
We will immediately review Canada's environmental assessment processes,Welfare and Quality of Life
- Invest £200 million each year to recruit more staff for front-line patient care.,Welfare and Quality of Life
"10) Lesbian, Gay, Bisexual, Transgender and Intersexual (LGBTI);",Social Groups
sabotaging businesses,Political System
"2) The EFF Government will subsidise housing finance for middle income earners, and pass laws which will lead to reduction of 20 to 30 years housing loans to a maximum of 10 years.",Welfare and Quality of Life
"Despite the numbers of students who graduate at Senior Certificate level, the South African post-1994 government has not massively invested in the expansion of the post-secondary training and education capacity.",Welfare and Quality of Life
"This will not mean more tax, it will mean taxing differently.",Economy
We will make Statistics Canada fully independent.,Political System
"Over the past ten years, Stephen Harper has steadily shifted aid away from the world's poorest countries, particularly in Africa.",Political System
"Pollution does not respect national borders, and wildlife and ecosystems are not constrained by political boundaries.",External Relations
"5) The EFF Government will ensure that all communities have a Youth Information and Advisory Centre which will inform, educate and guide young people on possible career paths and educational opportunities available in South Africa.",Political System
Start by providing 15 hours a week of free childcare to the parents of all two-year olds.,Welfare and Quality of Life
"Better access to care in GP surgeries and closer to home is better for patients and will also help reduce pressure on hospitals, A&E departments and ambulances.",Welfare and Quality of Life
"Other communities will be served by next generation wireless and satellite technologies, with average data rates more than 20 times higher than most users of these technologies experience today",Economy
A re-elected Conservative Government will modernize the definition of High Treason to include fighting against the Canadian Armed Forces alongside jihadist terror groups.,Fabric of Society
and work with the provinces and territories on ways to combine online access.,Political System
"Over the next decade, we will invest almost $20 billion more in Canada's social infrastructure.",Welfare and Quality of Life
"Introduce Minimum Unit Pricing for alcohol, subject to the outcome of the legal challenge in Scotland,",Economy
more money helping the children who need it most;,Welfare and Quality of Life
"We also supported the development and improvement of the St Fagans National History Museum, so that it remains one of Europe’s foremost heritage attractions and continues its vital role in explaining Welsh history.",Welfare and Quality of Life
"Permit humanist weddings and opposite sex civil partnerships, and liberalise the rules about the location, timing and content of wedding ceremonies.",Welfare and Quality of Life
"EFF’s progressive commitment is to build a better South Africa, Africa and global world where all people share equitably in the wealth and opportunities that collectively we are able to offer.",Welfare and Quality of Life
Prioritise investment in public transport over roads by a ratio of 3:1.,Economy
"To systematically eradicate poverty and raise the standard of living of all South Africans, COPE is aware that all our people want to participate in economic activity to generate the necessary incomes to improve their standard of living and quality of life and that this is central to their dignity.",Economy
And we'll provide $210 million through the Canada 150 Fund to support community initiatives that leave a legacy for the future.,Fabric of Society
"Our plan for affordable, responsible homeownership is working.",Political System
"- Give government back to the people, by decentralising power to the nations, regions and communities of the United Kingdom.",Political System
The Green Party will also ensure that the Dáil should sit for a fixed five year term.,Freedom and Democracy
"Businesses create jobs and opportunities that make our economy stronger, and the new products and ideas that make our lives better.",Economy
Budgets don't balance themselves.,Political System
and seek over a Parliament to increase the Welsh block grant to an equitable level.,Political System
Our strength in research and development remains one of the key attraction points for foreign companies.,Economy
A re-elected Conservative Government will fund a new lobster branding initiative to be carried out in co-operation with the Lobster Council of Canada.,Social Groups
"To restore access to the support that veterans are due, we will re-open the nine Veterans Affairs service offices closed by Stephen Harper,",Welfare and Quality of Life
Or both.,Political System
"As much of the rest of the world continues to struggle with the fallout from the recent global financial recession, Canada has emerged in a position of relative strength.",Political System
"Although we want to support people to remain independent as long as possible, many people will eventually need to rely on the care system.",Welfare and Quality of Life
"And we believe in encouraging Canadians to save, which is why we've expanded significantly their ability to do so.",Social Groups
and launching the contruction of the John G. Diefenbaker polar icebreaker.,External Relations
We will continue to press for the closure of the un-necessary second European Parliament in Strasbourg that costs £120m per year to operate,External Relations
Repealing our important reforms that have strengthened Canadian citizenship and reaffirmed Canadian values.,Political System
"We will aim to raise the status of work often carried out by women and promote women’s access to careers in science, technology, engineering, mathematics andother careers where women are under-represented, providing mentors and support networks.",Welfare and Quality of Life
"The Gillard Labor Government will develop a new senior qualification, the Australian Baccalaureate",Welfare and Quality of Life
A re-elected Conservative Government will commit to completing the devolution of land and resource powers to the Government of Nunavut over the next four years.,Political System
"John G. Diefenbaker was a tireless advocate for freedom and human rights, and an early and powerful champion for Canada's North and Northern peoples.",Fabric of Society
Target Investment in Adult Education including measurable accredited training – leading to self sufficiency.,Welfare and Quality of Life
New Help to Rent tenancy deposit loans to help young people get into their first place,Welfare and Quality of Life
"4) Free quality education,",Welfare and Quality of Life
Putting important programs like health care and education at risk as a result of their reckless and irresponsible spending.,Political System
"A Bill of Rights will be introduced to limit the power of government and safeguard the individual against the invasion of rights and liberties, especially in respect to modern bugging devices and computer data banks.",Freedom and Democracy
as well as conservation and stewardship programs to support the long-term sustainability of the industry.,Welfare and Quality of Life
"An additional $6. 9 million will fund implementation, including the development of a specific training course for principals on leading and managing a more autonomous school, the development of innovative governance models and a longitudinal evaluation",Welfare and Quality of Life
By devolving this support we can ensure help and training are more tailored to local employment markets and better integrated with other services.,Social Groups
"Plaid Cymru recognises the importance of rural life, and the different challenges faced by our rural communities.",Welfare and Quality of Life
Literacy and numeracy performance,Welfare and Quality of Life
"The Gillard Labor Government’s vision is to make every school a great school – because in the 21st century, a great school and a great education are the keys that unlock an individual’s potential and the nation’s future",Welfare and Quality of Life
We condemn Hamas’ rocket attacks and other targeting of Israeli civilians.,External Relations
"The review panel, led by the Honourable David Emerson, will provide recommendations to the government later this year.",Economy
Our Conservative Government shares the pride all Canadians feel in living in the greatest country in the world.,Fabric of Society
It is also vital we invest in research to develop new treatments and find new ways of delivering innovative treatments in affordable ways.,Welfare and Quality of Life
We will phase out the Assisted Places Scheme,Welfare and Quality of Life
"The Gillard Labor Government will drive improved student performance and outcomes by giving principals, parents and each school community greater power to determine how their local school is run – including greater responsibility for school budgets, determining the right mixture of staff, and setting local priorities",Welfare and Quality of Life
and enable Ofcom to set down conditions to prevent the reach of any media company damaging the public interest.,Freedom and Democracy
And we can't have real security if we don't have the means to pay for our law enforcement agencies or our military.,Economy
"Plaid Cymru wants to get more people in Wales into work, with better pay and conditions.",Social Groups
"We will give local authorities the power to improve the co-ordination of local bus services and to reopen closed railway stations, in co-operation with Railtrack.",Economy
Liberal Democrats are internationalists because we respect the rights of human beings wherever they live and understand that by working together countries can achieve more than they can alone.,External Relations
That security starts with a strong and stable pension program.,Welfare and Quality of Life
and make it easier to register to vote in schools and colleges.,Freedom and Democracy
The Green Party supports the retention of our current level of corporation tax.,Economy
(b) co-operative ventures,Social Groups
We will review the law in order to reduce the use of animals in scientific experiments and seek the development of alternatives.,Fabric of Society
or promoting positive images of young people by celebrating their successes: Liberal Democrats are on the side of the next generation.,Welfare and Quality of Life
"We will work together to establish national emissions-reduction targets,",Political System
We will protect our communities from the challenges of climate change and grow our economy by making significant new investments in green infrastructure.,Welfare and Quality of Life
"The Junior Canadian Rangers program, in which Canadian youths aged 12-18 learn camping, navigation and firearms training as well as a greater appreciation of traditional Northern culture and lifestyles, is approaching its 20th anniversary.",External Relations
"Canadians see this as a betrayal of our most deeply held values and, indeed, as an attack on all of us.",Fabric of Society
This would be a key issue for our proposed Constitutional Convention to address.,Freedom and Democracy
We secured agreement from the Welsh Government for a review after a year of the truancy tax.,Political System
"As part of new, ten-year investments in social infrastructure and green infrastructure, we will prioritize investment in affordable housing",Welfare and Quality of Life
State and Territory Governments also provide substantial funding in this area,Fabric of Society
Reform that fundamentally changes Britain's place in Europe should only proceed if it has the explicit support of Britain's people.,External Relations
We will encourage engagement by lowering the voting age to 16 and introducing compulsory citizenship classes in schools and colleges.,Freedom and Democracy
"We've protected more than 4,500 square kilometres of land and sea in Nunavut, by creating three national Wildlife Areas.",Welfare and Quality of Life
and consult on introducing a right to make regular patterns of work contractual after a period of time.,Social Groups
We're the only party that respects the jurisdiction of provinces,Political System
"To better allocate research funding, we will establish a transparent process that involves food producers.",Political System
Stephen Harper has done neither.,Political System
"The global arms trade fuels conflicts, hinders prosperity and robs the world's poor of resources.",External Relations
"Our ''tax lock'' legislation will back our low-tax commitment – to families, seniors, workers and small businesses – with the force of the law for the next four years.",Economy
A re-elected Conservative Government will:   Renew the National Action Plan to Combat Human Trafficking when it reaches the end of its current mandate in 2016.,Fabric of Society
Replace the culling of badgers with more effective and humane methods of control.,Welfare and Quality of Life
"community-type maternity hospitals,",Welfare and Quality of Life
A minimum net weekly income which provides a good standard of living for the single income family will be assured.,Social Groups
"Young Canadians who get involved in criminal gangs risk seeing the recklessness of youth become a wasted adulthood in our prison system, if they survive at all.",Fabric of Society
"The needs of urbanised Polynesians will be met by experimentation with new culturally-oriented, housing designs,",Fabric of Society
"The reserves are also an important part of our communities; they're the pride of more than 100 cities, towns and villages from coast to coast to coast.",External Relations
"A re-elected Conservative Government will amend the Criminal Code to make any financial fraud over $5,000, with multiple victims, carry a mandatory minimum sentence of two years in prison, unless the offender makes full and complete restitution to his or her victims.",Fabric of Society
and give coastal communities more say in managing the resources around them.,Political System
"Social Credit recognises the importance of forests and trees to the community in a wide variety of ways - timber, recreation, protection of animals, shelter, control of erosion and pollution ...",Social Groups
We will promote film production in Britain.,Welfare and Quality of Life
- Protect the rights of older people.,Social Groups
We will work with other orders of government,Political System
and review the Broad Rental Market Areas to ensure they fit with realistic travel patterns.,Welfare and Quality of Life
National Trade Cadetship - Pre-Apprentice which will focus on specific trade or occupation area,Economy
"They generate a staggering $34 billion in economic activity in Canada and the United States, and support more than 200,000 good, stable jobs.",Economy
and that court and tribunal fees will not put justice beyond the reach of those who seek it.,Freedom and Democracy
and prepare South African citizens for a better future.,Economy
"As the anchor to our cultural and creative industries, CBC/Radio-Canada is a vital national institution that brings Canadians together, promotes and defends our two official languages, and supports our shared culture.",Welfare and Quality of Life
"The Australian Baccalaureate will be a new voluntary qualification that provides senior students with access to a credential of international standing – similar to national certificates like the British ‘A’ Levels and French Baccalaureate, the German and Finnish Arbitur, and the certificates of Australia’s regional neighbours",Welfare and Quality of Life
"Retaining these baselines will ensure any efforts undertaken by a business now to cut pollution will be rewarded, because it will mean they will be required to purchase fewer permits in a future market to limit pollution",Economy
Cancel the boundary review due to report in 2018.,Freedom and Democracy
The Prime Minister has been leading the world on this important initiative.,Political System
"Because this benefit will operate as a refundable tax credit, all educators who have purchased educational materials qualify, regardless of their income level.",Welfare and Quality of Life
"Only the Liberal Democrat plan will keep the UK on track, balancing the books in 2017/18",Economy
"We will improve Welsh town centres by attracting people back to the highstreet, improving public transport and bringing back essential local services, such as medical centres, to town centres.",Economy
"Plaid Cymru will create a fuel duty regulator to prevent sudden spikes in fuel prices, helping households and businesses to manage their bills.",Economy
"A South Africa bedevilled by crisis levels of poverty and access to basic services, needs an urgent programme to deliver quality and sustainable services.",Economy
A new Mortgage Arrears Resolution Process (MARP) which will oblige all lenders to consider alternative payment arrangements for those in arrears.,Economy
Ensure that Ireland will deliver on the commitment that our overseas development aid should reach 0.7% of GNP and will publish a plan of year-by-year increases to achieve this.,External Relations
- Strengthen the criminal justice system.,Fabric of Society
"The results of our low-tax, balanced budget plan for Canada's seniors are clear.",Political System
Explore the possibility of introducing a multi-agency centre to provide a central point for the development of expertise and cooperation in relation to the trafficking of human beings similar to the the United Kingdom Human Trafficking Centre [UKHTC].,Fabric of Society
"and finding ways to mitigate the regular flooding of the Millette, Bettez, and Lacerte rivers.",Welfare and Quality of Life
The EFF Government will support Small and Medium Enterprises to play an active role in the economy by building and supporting 1 million enterprises between 2014 and 2019 which employ a minimum of 5 people each.,Economy
We will also work across the UK and European Union to prevent modern slavery and to support those subjected to such experiences.,Economy
Stephen Harper's changes to the Canada Elections Act make it harder for Indigenous Peoples to exercise their right to vote.,Political System
We will use accurate data to make good decisions.,Political System
Reform prisons to focus on turning offenders away from a life of crime,Fabric of Society
"Encourage the growth of anaerobic digestion to produce biogas for heat and transport, and sustainable fertiliser,",Economy
empower and develop the youth to realise their full potential and play their rightful role in society;,Social Groups
"We want a vibrant and exciting scene, full of quality, innovation and originality, helping to create and represent all facets of Welsh life.",Welfare and Quality of Life
"Plaid Cymru will encourage alternative company models to the limited company/plc model, and will consider the benefits of establishing a Welsh Institute of Employee Ownership to encourage the creation of companies which are owned or controlled by employees.",Social Groups
We will implement tougher rules on shipping safety and bring forward the designation of marine high risk areas.,Welfare and Quality of Life
Countries must work together if the world's environment is to be protected.,External Relations
"stimulating private sector demand with our new Electricity Demand Reduction market,",Welfare and Quality of Life
"Significantly improving immigration security screening through the adoption of a biometric visa requirement, electronic travel authorization for visa-exempt nationals, an entry-exit information system,",Fabric of Society
We will ensure that Wales always has enough food and will support the sector to stand on its own two feet.,Social Groups
"and support market access for Canadian farmers, based upon the recommendations of the transportation review.",Social Groups
"To counter the growing deficit in language skills, Plaid Cymru will ensure that modern foreign languages are taught from an early age,",Welfare and Quality of Life
that those of modest means can bring applications for judicial review of allegedly unlawful government action,Freedom and Democracy
"When it comes to leaders' debates, the focus should be on educating and engaging Canadians, not on twisting the rules for political advantage.",Freedom and Democracy
"seniors' facilities,",Welfare and Quality of Life
"With an increase in in-work poverty, child poverty will be best tackled through better-paid and full-time work rather than simply finding a job.",Social Groups
and will improve access to necessary prescription medications.,Welfare and Quality of Life
and working towards a shorter working week and more leisure time.,Social Groups
"protection of infant and existing industries through subsidies,",Economy
Expand grants for families with disabled children,Welfare and Quality of Life
Work to raise the amount you can earn before losing Carer’s Allowance from £110 to £150 a week.,Welfare and Quality of Life
"We understand the financial pressure that families face, and we're focused on helping these families make ends meet.",Welfare and Quality of Life
"5) The EFF Government will provide quality sanitation for all, and ensure that all households have access to decent toilets",Economy
"Participating schools will receive a start up grant of between $40,000 and $50,000, as well as support and training, so they can effectively undertake these new responsibilities",Welfare and Quality of Life
"With our unique geographical, climatic and human-capital advantages, this move will send a very clear signal to the global community that the direction of public policy in Ireland is unambiguous and that Ireland is a prime location for long-term investment opportunities",Welfare and Quality of Life
work to secure women’s rights to education,Freedom and Democracy
We will ensure that cold-winter payments are based on accurate local temperatures.,Welfare and Quality of Life
The recent Islamist extremist attacks on journalists in Europe are a sharp reminder of the need to protect freedom of speech and belief internationally.,Freedom and Democracy
and grow our economy by making significant new investments in green infrastructure.,Welfare and Quality of Life
We will reform the procedures and facilities of the House of Commons to make them more accommodating to women and families.,Social Groups
"Canada continues to stand with Ukraine in the face of Russian provocation and aggression,",External Relations
d) Better salaries and working conditions in mines because state-owned mines will increase the mining wage and improve compliance with occupational health and safety standards.,Social Groups
"Even in cash terms, short-term profits from exploiting the environment carry a longer-term penalty in squandered resources, clear-up costs and the impact on health.",Economy
and expand the use of public competitions to encourage innovation in public services.,Fabric of Society
- Tackle the concentration of media power.,Economy
We oppose top-up fees for tuition.,Economy
A legally enforceable Conservation Code will ensure that all commercial and industrial development conserves our natural resources and protects them against exploitation.,Welfare and Quality of Life
"Ensure judicial authorisation is required for the acquisition of communications data which might reveal journalists’ sources or other privileged communications, for any of the purposes allowed under RIPA;",Freedom and Democracy
Canada has contributed both Canadian Armed Forces personnel and much-needed equipment to assist the Ukrainian military in its fight to maintain Ukraine's sovereignty.,External Relations
The biggest risk to these entitlements is Tony Abbott,Political System
This will promote independence and enable them to find better value for money.,Freedom and Democracy
Communities should benefit more from energy generation.,Welfare and Quality of Life
It is also a crucial year because the dawn of political freedom came with so many promises But 20 years later; the conditions of majority of the people are just getting worse.,Political System
Introduce a tapered benefit withdrawal system for all.,Economy
2) The lifestyle of representatives should reflect that of ordinary citizens.,Political System
This will be the first call on our £2 billion annual programme of extra investment in education.,Welfare and Quality of Life
Humanitarian relief to help alleviate the suffering of displaced Syrians and Iraqis.,External Relations
"Good health is one of the most important assets we can have in life, and we must do all we can to help people stay healthy,",Welfare and Quality of Life
Fight discrimination in the criminal justice system,Welfare and Quality of Life
We will promote community hospitals and use them for more out-patient consultations.,Welfare and Quality of Life
"In British Columbia's Lower Mainland, for example, plans are in place to:  • increase SeaBus service to every ten minutes during morning and afternoon rushes;",Economy
We will develop new ways of involving the public in setting health service priorities.,Political System
funding renewable heat and electricity alongside energy efficiency.,Welfare and Quality of Life
d) Gain control of the economy in order to transform it to benefit all South Africans.,Economy
"Enable Local Authorities to: Attach planning conditions to new developments to ensure homes are occupied, tackling the growth of ‘buy to leave empty’ investments from overseas in property hotspots like London.",Economy
our new single tier pension will mean your savings are your own to keep.,Welfare and Quality of Life
We will encourage wider participation in trade union ballots through electronic voting.,Freedom and Democracy
"Canadians take immense pride in the fact we are a nation of immigrants, and rightly so.",Fabric of Society
"The real answer is that they don't know, and don't care.",Political System
Support to upgrade around 425 GP practices and health clinics across the country – so that GPs can expand their facilities and locate more services in a single community location,Welfare and Quality of Life
"The elimination of global famine, pestilence and poverty is not only a moral challenge, it is also essential for the world's long-term stability and peace.",External Relations
We will restore funding for Canada's four heavy urban search and rescue teams.,Fabric of Society
"there will be a greater emphasis on public transport,",Welfare and Quality of Life
Ensure that Local Authorities allocate sufficient funding to allow the fulfilment of long-term strategic cultural and arts planning.,Welfare and Quality of Life
We will reduce the number of MPs by 200 (one third),Political System
"This will ensure that on project reviews and assessments, the Crown is fully executing its consultation, accommodation, and consent obligations, in accordance with its constitutional and international human rights obligations,",Political System
Our Conservative Government has a strong record of protecting Canada's women and girls from violence and providing support for those affected by it.,Welfare and Quality of Life
"Right now, the Coalition’s policy on foreign aid is a $300 million cut to the foreign aid budget, an action which seriously calls into question the Coalition’s commitment to assist the world’s poorest people",External Relations
Enacted and expanded Tax-Free Savings Accounts.,Economy
and where discrimination and exclusion are not tolerated,Welfare and Quality of Life
Plaid Cymru will also introduce our ‘Build 4 Wales’ programme to borrow funding for Welsh infrastructure projects,Economy
so as to ensure that such unions act at all times in a professional manner and uphold the best principles of public service;,Social Groups
"safety and security for all citizens,",Fabric of Society
"To get Wales working again:50,000 jobs through more public contracts for Welsh companies",Social Groups
"The specific functions each school will exercise will be determined by the school and the education authority through an application process, and will be based upon the school’s size and their current level of independence",Welfare and Quality of Life
"EFF’s approach to delivery of basic services to the people is that it should be labour-absorptive, and should produce quality products, goods and services.",Economy
and we successfully fought to ensure the viability of the arts in Ireland during our time in government.,Welfare and Quality of Life
A Better Start for Children with Disability will ensure children with disabilities that affect their development have access to intensive early intervention therapies and treatments from expert health professionals,Social Groups
and by getting rid of outdated or ineffective programs.,Political System
"Instead, we will carry out our plan to lower the tax rate on small businesses – which we've already lowered from 13 percent to 11 percent – another two percentage points, to nine percent, by 2019.",Economy
and we will support Cardiff Airport in creating an improved freight and passenger development strategy.,Economy
"Invest half the initial £1 billion in providing care in people’s own homes and communities, preventing emergency admissions and making it easier to discharge people after a hospital stay – and so relieving pressures on all hospital services.",Welfare and Quality of Life
We will give the Environment Agency stronger powers to enforce compliance with environmental laws.,Welfare and Quality of Life
Work with regulatory bodies and financial investors to establish a global reporting standard for fossil fuel companies on the potential impact of future restrictions on carbon emissions on their asset base.,External Relations
