tweet_id,text,case,gt_sentiment
1077017899_2018-06-04T15:12:14.000Z,DOES SCOTUS HAVE NO RESPECT FOR WEST COAST NEWS REPORTERS WHO ARE JUST GETTING TO WORK,masterpiece,Negative
597065946_2020-07-17T07:04:26.000Z,It’s November. Ohio is blue. Dems flip Chabot’s seat. They make obvious gains in the State House. They flip the Supreme Court seat. It’s beautiful.,mazars,Positive
76573338_2020-07-09T03:42:40.000Z,"With today’s #SCOTUS opinion, we have yet another reminder of our country’s dire need for #UniversalHealthcare",mazars,Negative
19055032_2020-07-09T14:30:31.000Z,“@realDonaldTrump is not above the law” Supreme Court Justice Elena Kagan,mazars,Positive
2408430052_2020-07-09T17:26:20.000Z,My analysis of today’s SCOTUS decisions: Trump loses (NY subpoenas); Rule of Law wins (Congressional subpoenas).,mazars,Positive
3310874352_2018-06-04T18:51:18.000Z,Conserative Supreme Court Ruling How Political View Feflex in Vote. NOT CONSTITUTIONAL LAWS. They Rule Favor of Protecting Tran genter &gt; MarrageCostitutional Rights .At the same time  Ended African Amer Civil RIGHTS VOTE Laws Congress Passed . Now Supreme Court Ruling WATER DOWN&lt;,masterpiece,Negative
80668450_2020-07-17T02:07:29.000Z,"Also a reminder, Biden doesn’t make me excited either, but you’re voting for 2 Supreme Court justices too....",mazars,Neutral
605141844_2020-07-09T14:19:59.000Z,Uh oh #SCOTUS just said trumps gotta turn over those taxes. You know he’s been “under audit” for years.,mazars,Negative
10619812_2020-07-09T23:45:51.000Z,Ever get the feeling that the only adult in the room is the Supreme Court ... #SCOTUS,mazars,Positive
1478101897_2018-06-04T18:09:51.000Z,"Can’t escape the awful irony of someone allowed to use religion to discriminate against people in love. 
Not my Jesus. 
#opentoall #SCOTUS #Hypocrisy #MasterpieceCakeshop",masterpiece,Negative
43052619_2020-07-17T16:15:22.000Z,I hate to see anyone sick and suffering but I have great mixed emotions about supreme court justice Ginsburg!,mazars,Negative
21792408_2018-06-04T15:46:03.000Z,I can’t believe this cake case went all the way to #SCOTUS . Can someone let me know what cake was ultimately served at the wedding? Are they married and living happily ever after?,masterpiece,Neutral
2758342215_2018-06-04T17:52:37.000Z,"In light of the recent Supreme Court decision, I’d like to remind everyone that who you vote for can directly influence supreme court decisions. Pick elected officials who will choose the right judges. #VOTE",masterpiece,Negative
1547018905_2020-07-09T14:32:46.000Z,"Alright, Supreme Court handed down their ruling. Time to make #TrumpTaxes public information",mazars,Positive
316449565_2018-06-05T00:16:52.000Z,"SCOTUS opinion on CO wedding cake case NOT disaster. Pro LGBT Justice Kennedy wrote opinion, joined by libs Breyer &amp; Kagan &amp; 4 conservatives. Case sent back to lower court to determine whether religious rghts had been considered. Many other opinions filed. No precedent/consensus.",masterpiece,Positive
256647906_2020-07-09T11:20:12.000Z,"Remember when u knew the NEWS came to you with objectivity? We are now religated to which ""bias"" we want to hear. Last night 95 min of COVID on CNN. At least on FOX I got to hear about the Coronavirus, the SCOTUS decisions, &amp; Ghislaine Noelle Maxwell.",mazars,Negative
240253673_2020-07-10T13:42:08.000Z,DICK OF THE DAY: CLARENCE THOMAS OF SCOTUS.,mazars,Negative
874839936_2018-06-04T14:21:08.000Z,US Supreme court voted in favor of the baker ..👍,masterpiece,Positive
23954676_2020-07-10T04:24:29.000Z,"Jul 9, 2020, 6:28 PM
During a roundtable with Hispanic leaders, President Trump said that the Supreme Court rulings on his financial records were a ""political witch hunt"" and a ""hoax.""
I don't know how to even comment on that characterization of THE SCOTUS.",mazars,Negative
54211009_2020-07-17T18:30:08.000Z,I’m definitely not a fan of RBG but I pray for her health.  Just because I disagree with her doesn’t mean I can’t care for her  #RBG #SCOTUS,mazars,Positive
2180624725_2020-07-09T17:30:42.000Z,"The best thing about today’s subpoena opinions: rejection of the Trump-Barr theory of a president accountable to no one but voters. 

The worst thing: judicial manipulation of federal court practice to ensure that SCOTUS looks good while others deal with the fallout.",mazars,Negative
995321585618833409_2018-06-04T18:44:12.000Z,"#SupremeCourt Remember Seinfeld's ""Soup Nazi""...he didn't need a SCOTUS ruling, to deny serving customers, for whatever reason. Times have certainly changed.",masterpiece,Negative
2192819926_2018-06-04T16:02:45.000Z,"Okay, @ann_w_duncan what's up with this #SCOTUS decision?!?",masterpiece,Neutral
269992801_2018-06-04T21:07:19.000Z,Today’s Supreme Court ruling in MasterPiece Cakeshop v Colorado Civil Rights Commission found that the Commission showed an impermissible hostility toward religion. Religious freedom matters; I was proud to sign the Religious Freedom Restoration Act here in Arkansas. #arleg #arpx,masterpiece,Positive
24408575_2018-06-04T11:06:40.000Z,"This is fascinating. Apparently POTUS can kill someone in the middle of Mardi Gras and there's not a damn thing anyone can do about it. BUT POTUS cannot ...
* Name a Supreme Court justice in his last year in office ...
• Protect trans federal employees from discrimination....",masterpiece,Negative
324519139_2018-06-04T14:37:44.000Z,"Supreme Court ruling 7- 2 for the Baker, and religious freedom
Thank u God #MAGA",masterpiece,Positive
62826316_2020-07-11T01:30:45.000Z,"Micheal Cohen was release from prison over COVID concerns, until the #SCOTUS decisions “went against” Trump. The same day he was sent back. Roger Stone had his sentences commuted today. I sure hope Donald doesn’t have him killed.",mazars,Negative
484202820_2020-07-09T03:58:11.000Z,Good night fellow resistors! Can’t wait to hear SCOTUS rulings in the morning.,mazars,Positive
285471356_2020-07-09T01:03:22.000Z,The SCOTUS ruling on birth control is the least surprising thing to ever happen bc WHAT THE FUCKING FUCK WHEN WILL THIS FUCKERY END IM SO SICK OF EVERYTHING BEING THE WORST!!!!!! 😤😤😤 @2020,mazars,Negative
147634420_2018-06-04T19:03:29.000Z,"#SCOTUS with it's most recent ruling has actually created an opportunity for the creation of a nationwide bakery chain that caters to every one no matter who you are, race, religion, sexual orientation, life style choice, career and whatever pet! Everyone's Bakery!",masterpiece,Positive
1592418702_2018-06-04T14:49:43.000Z,"In light of the Supreme Court siding with the baker who refused to bake a gay couple‘s wedding cake, I wanted to make a quick post about how thankful and PROUD I am to be a part of the LGBT community. It's pride month, and no court decision can take away our pride! #GayAndProud",masterpiece,Positive
1046361864_2020-07-09T14:56:28.000Z,Teaching Separation of Powers (Con Law I) this fall is going to be 🔥. #Mazars #Vance #SCOTUS,mazars,Positive
3343758045_2020-07-15T02:20:06.000Z,Voting for the lesser of two evils &amp; organizing local grassroots movements arent mutually exclusive; it feels like a bunch of edgy marxists are trying to find a million reasons not to vote for Biden when there’s a Supreme Court seat in jeopardy &amp; there’s kids in detention centers,mazars,Negative
271270865_2018-06-04T19:15:58.000Z,"How astonishing: the same people who don't know what a whitepaper is yet declare that bitcoin is a ""scam"" are the same people who think a #SCOTUS decision, easily found online, says about 80 things it specifically makes pains to not say!",masterpiece,Negative
80941634_2018-06-07T16:44:00.000Z,"""...No gays allowed...""
Apparently after the recent supreme court 'baker' decision this was a sign posted on a business. Wondering how long before the rebirth of no blacks, muslim, immigrants signs.",masterpiece,Negative
558645948_2020-07-15T00:07:57.000Z,"Lots of talk of cancel culture these days, but the kind that I'm most concerned with right now is when SCOTUS literally decides to cancel a life in the middle of the night. Abolish the death penalty.",mazars,Negative
4881381633_2018-06-04T22:36:35.000Z,Two female homos on the Supreme Court voted against the baker who refused to bake a cake for two homos. Fortunately seven court members upheld the baker.,masterpiece,Negative
215340947_2018-06-06T14:20:21.000Z,The FBI sll under cover use metro Dade transit and manipulated it so I want the supreme Court Justice to have both parties involved explain it,masterpiece,Negative
279819556_2018-06-04T19:13:42.000Z,"Whenever I see a headline that contains the phrase “SCOTUS’s Masterpiece Ruling” my first thought is that the ruling landed a triple axel or something.

Anyway who’s up to make wedding pie a thing",masterpiece,Positive
961305445_2020-07-09T14:33:42.000Z,#BREAKING: Manhattan DA reax to SCOTUS ruling on Trump taxes “This is a tremendous victory for our nation’s system of justice and its founding principle that no one – not even a president – is above the law.” ½ #trump #trumptaxes #Mazars #cyvance,mazars,Positive
21025910_2020-07-17T17:34:54.000Z,All of the middle aged white men calling on Ruth Bader Ginsburg to retire would resign immediately to convalesce after burning their mouth on a slice of pizza in the Supreme Court cafeteria.,mazars,Negative
4686170306_2018-06-04T18:22:16.000Z,"""Narrowly"" vs ""Narrow."" Similar, but different. #SCOTUS @AP",masterpiece,Negative
718777097565704192_2018-06-04T17:21:05.000Z,"Very happy with the #SCOTUS decision to preserve religious freedom and speech today. This was a huge decision. 7-2

#MasterpieceCakeshop #JackPhillips #FirstAmendment #Masterpiece 
@AllianceDefends",masterpiece,Positive
17700704_2020-07-10T03:38:32.000Z,The big question is how does this SCOTUS ruling affect the musical Oklahoma! ?,mazars,Neutral
772279633060491264_2018-06-04T14:47:05.000Z,Supreme Court rules in favor of baker who would not make wedding cake for gay couple,masterpiece,Neutral
345794468_2018-06-04T16:35:51.000Z,#SorryNotSorry to all the people still living in the Jim Crow era. SCOTUS did NOT give a right to discriminate.,masterpiece,Negative
18967418_2020-07-09T21:01:49.000Z,About to go live on @CTVNews to talk about SCOTUS and the president's tax returns,mazars,Neutral
37348417_2018-06-04T15:27:16.000Z,"Hey, ""journalist"" you know why we think your #FakeNews ? Because your reporting to victory in the #scotus for 1st amendment rights as a ""narrow victory"".

 7 to 2 is not narrow. That is a VICTORY. ✊🇺🇸",masterpiece,Negative
524940885_2020-07-10T04:06:37.000Z,Clarence Thomas has got to be the worst Supreme Court Justice ever.,mazars,Negative
1032367701946249218_2020-07-17T01:13:04.000Z,"Trump is literally not going by the ruling of the supreme court and is denying any new DACA recipients 

i hate it here",mazars,Negative
712798026_2020-07-09T14:20:32.000Z,"Supreme Court says Manhattan prosecutor may see Trump’s personal financial records...
Washington Post",mazars,Neutral
159130325_2018-06-05T02:24:52.000Z,"Also, real nice timing, @FreeformTV @netflix. In the middle of that ridiculous SCOTUS ruling and Pride month. Unbelievable. #SAVESHADOWHUNTERS #savequeercharacters",masterpiece,Negative
382775759_2018-06-04T14:30:25.000Z,"Okay, so who's ready for #Masterpiece Pt. II? Coming to a #SupremeCourt some upcoming term near you.

#SCOTUS #MasterpieceCakeshop",masterpiece,Neutral
202677695_2018-06-04T15:42:06.000Z,"I have to chuckle at all the people saying "" this is a huge win for Religious Freedom,"" in response to the SCOTUS ruling.  Clearly they just saw the vote of 7-2 and didn't actually read the ruling.",masterpiece,Negative
735550504420450304_2018-06-04T15:42:40.000Z,Supreme court rules in favor of Colorado Baker who refused to make a wedding cake for a gay couple.  Social media prepares to release the hounds of outrage. #SCOTUS,masterpiece,Negative
1579248493_2020-07-09T15:19:30.000Z,So is Alito &amp; Thomas concerned someone might want or need to check their tax returns?  Why is this even a debate esp with a president who has conducted business in numerous foreign countries?!  #SCOTUS #TrumpTaxReturns #TrumpvVance,mazars,Negative
15030165_2020-07-09T20:34:46.000Z,My favorite thing on Twitter continues to be when @SCOTUSblog responds to people who think that they’re the actual Supreme Court.,mazars,Positive
1430336916_2018-06-04T16:14:14.000Z,"When us media types call a 7-2 U.S. Supreme Court ruling a narrow victory, we give credence to President Trump’s claims of fake news.",masterpiece,Negative
3296039808_2020-07-09T14:44:07.000Z,So was this Supreme Court ruling a win or not?,mazars,Neutral
742060047375572992_2018-06-04T14:29:51.000Z,I am very pleased the U.S. Supreme Court sides with the baker in Masterpiece Cakeshop v. Colorado Civil Rights Commission.,masterpiece,Positive
16408135_2020-07-09T14:19:44.000Z,#BREAKING Supreme Court rules Manhattan DA can get @POTUS tax returns. We’re #LIVE  NOW #GoodDayDC @fox5dc,mazars,Neutral
745741896895471616_2018-06-04T16:18:10.000Z,Apparently you “Can’t Have Your Cake OR eat it too” if you’re LGBQT. Thanks for emphasizing inequality SCOTUS. #cake #LGBTQ #SCOTUS,masterpiece,Negative
1390812288_2018-06-04T19:03:37.000Z,I’m in a near media blackout but it doesn’t matter because my students will tell me ghe important news and explain SCOTUS rulings to me. #govnerds #bobcatproud,masterpiece,Positive
18614130_2018-06-04T15:40:54.000Z,I notice those pesky bigoted radical right wing #SCOTUS members Stephen Breyer and Elena Kagan voted with the majority in #MasterpieceCakeshop case.,masterpiece,Negative
97263020_2018-06-04T22:23:02.000Z,"The Supreme Court just set precedent for discrimination throughout our nation

If Jack Phillips never sells another cake or baked good, it still wouldn’t do this set back any justice

So much for Pride Month

Religion that encourages hate, isn’t a religion, it’s a hate group.",masterpiece,Negative
371501028_2018-06-04T15:14:07.000Z,If a baker ... decides not to make a cake for a same sex marriage because of religious belief .. and this is the country of religious freedom .. and there is an endless supply of bakers they could go to.. then what’s it goin to Supreme Court for ? Like just don’t give him your $,masterpiece,Negative
1146601379131117568_2020-07-09T18:06:24.000Z,"Trump may not be a dictator as far as the Supreme Court is concerned but he still is to Barr ,Cohen  rearrested Flynn and Stone free and Reality Winner in a top security corona virus infested prison  , Bureau of prisons has been thoroughly corrupted by Trump.#DisbarBarr",mazars,Negative
1412744293_2018-06-07T06:22:31.000Z,Brilliant well done Supreme Court #NominationPapers,masterpiece,Positive
258329912_2020-07-09T14:26:13.000Z,Second SCOTUS decision: Mad King Trump has to argue his case like any other citizen. Has no special powers.,mazars,Negative
288057725_2018-06-04T14:36:23.000Z,"SCOTUS ruling requires consumers to utilize the power of choice, spend your money wisely. Economically eradicate hate.",masterpiece,Positive
910124566231621632_2020-07-09T15:00:51.000Z,Why have a supreme court if they have option of sending hard decisions back to lower courts? Do away with scotus,mazars,Negative
792504612766912512_2020-07-10T03:04:48.000Z,What happened to SCOTUS making a decision about Obama Care?@cnn,mazars,Neutral
15985292_2018-06-04T15:27:09.000Z,"Elections matter.
Both parties are not the same.
#SCOTUS",masterpiece,Negative
66171696_2020-07-09T22:57:02.000Z,I wonder if the SCOTUS decision will embolden some in the administration to stand up to trump?,mazars,Neutral
23118829_2020-07-09T14:18:05.000Z,SCOTUS just ruled Manhattan DA CAN get trumps financials and tax returns.  This is a great day for the ruke of law and America.,mazars,Positive
2367271_2020-07-09T21:12:51.000Z,Congratulations to @SCOTUSblog on being actual SCOTUS I guess. Literally the best account to follow today for all the best @‘s.,mazars,Positive
3321922645_2020-07-09T14:33:13.000Z,Today the Supreme Court let @realDonaldTrump know that he is not above the law!,mazars,Positive
510766220_2018-06-04T18:17:53.000Z,SCOTUS narrowly sided with the Colorado baker. Religious freedom wins.  No one should be forced to go against their religious beliefs.,masterpiece,Positive
951918524494041088_2020-07-09T15:31:41.000Z,I'm disappointed that it was not a 9 to 0 decision against Trump. The two Supreme Court justices who voted in the Trump's favor are ignoring the constitutional requirement that no one is above the law... not even the president.,mazars,Negative
63194232_2018-06-04T18:38:41.000Z,"""Eyes on the Prize"" is pretty much locked down online, but I remember one segment where a Southern mayor on the 50's used the ""Curse of Ham"" to justify segregation in schools. It will start popping up online soon. Calling it now. #SCOTUS",masterpiece,Negative
831959594_2018-06-04T14:37:50.000Z,"it’s fucking JUNE @Scotus 

you should have stayed in your FUCKING lane",masterpiece,Negative
2817352541_2018-06-04T15:37:50.000Z,"Don't worry anti-gay bigots. You can still visit the fabulousness of NYC, Chicago, LA, San Francisco and more and still receive top notch service because we DON'T DO WHAT YOU DO. #MasterpieceCakeshop #SCOTUS",masterpiece,Negative
1957837244_2020-07-10T13:53:53.000Z,"Think about this: 2 Supreme Court Justices ruled tRump is above the law.
Tell me why you don’t think the system is broken.",mazars,Negative
1251763045_2018-06-04T17:54:56.000Z,"#SCOTUS: Gorsuch + Ginsburg still ""don't play well together."" Gorsuch on RBG dissent in Masterpiece Cakeshop: ""after-the-fact maneuvering"" to defend Colo comm'n's handling lf case. ...",masterpiece,Negative
57402193_2018-06-04T17:04:12.000Z,Hey #SCOTUS America is so NOT Post Racial. Restore the #VRA #VotingRightsAct,masterpiece,Negative
16188864_2020-07-09T14:28:30.000Z,"#SCOTUS decisions are a total, hypocritical copout. The conservative justices avoid accusations of hypocrisy and protecting Trump while making sure no records get released before November. No one is above the law becomes a technicality and not reality. #justice #injustice",mazars,Negative
999063571257614336_2020-07-11T00:09:25.000Z,The president of the divided states of America is in his own words are “smarter” than the entire Republican Party including the Supreme Court conservative arm and he said it to their face.!!,mazars,Negative
166405002_2018-06-05T12:28:07.000Z,Thanks Supreme Court! No more cakes for FSU fans.,masterpiece,Positive
22153810_2018-06-05T00:52:21.000Z,"SCOTUS has repeatedly upheld right to not pledge allegiance in public schools. So, why is it ok to require NFL players to either pledge to anthem or stay in locker room? Pls tell me someone is pursuing this legally #TakeAKnee (1/2)",masterpiece,Negative
93204707_2018-06-04T14:30:08.000Z,Breaking: #SCOTUS rules in favor of baker who denied request to make wedding cake for same sex couple,masterpiece,Neutral
412326074_2020-07-09T14:33:45.000Z,My early take: SCOTUS having a better day than commentators. Basic principles that Pres is not above the law and that Cong has broad subpoena powers reaffirmed; Trump will eventually face justice in NY; Court avoids impression of meddling in election w/ little electoral cost.,mazars,Positive
308851637_2020-07-09T15:15:43.000Z,Come on @craigmelvin interrupting @SpeakerPelosi She’s addressing our current needs but you need to rehash the SCOTUS decision. I don’t get it!,mazars,Negative
823292597137379328_2018-06-04T14:19:24.000Z,US Supreme Court rules in favor of the bigoted baker. WHAT IS HAPPENING TO MY COUNTRY?????,masterpiece,Negative
966679536711675904_2018-06-04T14:19:40.000Z,These Supreme court's decisions today show the consequences of McConnell refusing to hold any hearings on Obama's pick.,masterpiece,Negative
2759356162_2020-07-17T17:57:31.000Z,#RBG #SCOTUS PRAYING HARD for Supreme Court Justice Ruth Bader Ginsburg to heal and be well🙏💙,mazars,Positive
28869632_2020-07-09T14:30:39.000Z,Both SCOTUS rulings in Trump financial records sent back to lower courts. Practically speaking that means no turnover of records immediately in either case. #7News,mazars,Neutral
322279925_2020-07-09T14:57:08.000Z,Aides report Trump just took a galkandic in his pants when the Supreme Court ruling came down.,mazars,Negative
1104668994781487106_2020-07-09T14:59:09.000Z,"This is a good time to remind you all that the police in this country are not bound to “protect and serve” us. In fact, the Supreme Court ruled that police can’t be held liable for what happens when they decide not to protect or serve someone.",mazars,Negative
288619534_2020-07-09T14:26:01.000Z,"Honestly, SCOTUS should just saddle up and give all of Oklahoma back to the Tribes. I can promise you that other than one anonymous state, the rest of us will all be able to sleep a little better.",mazars,Negative
929760212843671552_2018-06-04T16:10:43.000Z,"Best way to stop SCOTUS votes that take this country:
1. Read history of judges who destroyed Germany under Hitler (actions are similar)
2. Don't  buy a cake and put baker out of business.
This ruling is an embarrassment!
#RoadtoChange
#SCOTUS 
#Remember in November.",masterpiece,Negative
215340947_2018-06-05T07:46:42.000Z,Dear supreme Court Justice not only i want FBI on trial also NASA too on trial as well,masterpiece,Negative
