source_id,source_split,source_row,source_intolerance,text,gt_impolite
train_24,train,24,0,"@USER @USER Of course we're happy you aren't dead. This isn't about who has suffered, it's about the lies we're told in the media all the time, but of course take it as a personal attack instead of looking at the bigger picture.",1
train_25,train,25,1,@USER Obamacare forced doctors to become employees of Big Health instead of having private practices - otherwise the whole Plandemic to usher in World Marxism wouldn't have worked so well.,0
train_26,train,26,0,@USER @USER Wow you sure do have a lot of blind faith in the government. Good luck with that.,0
train_27,train,27,0,"@USER You let us down when you knew about the dangers of the pandemic, did nothing and allowed Americans to @LINK your watch.",0
train_28,train,28,0,ADVOCATES STRUGGLE TO OVERCOME NEW #VOTINGBARRIERS IN #TEXAS. Provisions in #SenateBill1 have spurred anxiety in civic engagement groups. @LINK,0
train_29,train,29,0,"Republican National Committee overwhelmingly votes to censure Cheney, Kinzinger for sitting on Jan. 6 cmte. Finally the Leaders of the Republicans party is standing up to what is correct. Censuring Republicans who cross the line again Americans RNC! @LINK",0
train_30,train,30,0,"Brown said: ""I'm certainly not ruling out doing another vote."" And he added: ""When Republicans don't show up, they talk about inflation all the time on the Senate floor, and then they don't show up. Even if they want to vote no, they don't show up ... it is pretty troubling.""",0
train_31,train,31,0,for context when i came out to my parents as queer in 9th grade i almost got baker acted (institutionalized) and was almost functionally locked up. this is also part of why the #DontSayGay bill is harmful - it prevents key convos from happening that would secure queer kids safety,0
train_32,train,32,0,Teachers Unions Urge Educators to Defy State Laws to Push Critical Race Theory @LINK,0
train_33,train,33,0,"Kavanaugh's concurrence is the quintessential R position: leave the door open to rule differently but for this election, when R's really need it, it stays in effect. Ridiculous! Supreme Court allows 1 state's election map over Black vote dilution claims @LINK",0
train_34,train,34,0,"@USER Oh, your fighting words: takeover bill. Tongue-in-cheek is how you communicate, Sen.Daines...everything is a joke. Your above tweet is wrong; has a anti-democracy tone. But you know that. #DirtyDaines",1
train_35,train,35,1,I hope all you folks out there in her districts wake up to the tyrannical shariah law that the Squad really want to have this country under. Please wake up @USER,0
train_36,train,36,0,This is one of the more ugly things they've done for decades. @LINK,0
train_37,train,37,0,Sinema and Manchun are both closeted Republicans working to put roadblocks on Pres. Biden promise to the people who carry him to the White House. That was their plans all along. @USER,0
train_38,train,38,0,The Great Civil War was basically A Fight Between The Republican Party vs The Democratic Party! The Battles of Blood shed ended...But The Real Truth is that The Civil War of Ideologies never Ended! It persist to this Moment! We must decide Now to Save America! No less!,0
train_39,train,39,0,Trump is now calling for criminal prosecution of all Democrats involved in manufacturing the Russia hoax. Congressman Jim Jordan (R-Ohio) said Trump is right on target calling for criminal prosecution of Democrats involved in its fabrication. @LINK,0
train_40,train,40,0,"@USER As much as I hate the Truedeaus, Arderns they do prosecute their case. They do fuck up their opponents & they are nasty. Can you say that about a single conservative in the west",1
train_41,train,41,0,@USER @USER @USER Like banning and cancelling? Forcing mandates? Which policy of Trump was fascist?,1
train_42,train,42,1,Biden has reduced the military and cabinet positions to utter incompetence. #fjb #letsgobrandon #brandon #joebiden #joebidensucks #biden #BIDENSAMERICA #bidensucks #BidenAdministration #BidenCrimeFamily #inflation #supplychain #democratsdestroyamerica #democratssuck @LINK,1
train_43,train,43,1,@USER Rep. Hakeem Jefferies called the RNC The Republican National Cult .,0
train_44,train,44,0,"Tired of #fakenews? I'm USA's most #Progressive candidate-only 1 calling to breakup corporate media! SIGN my petition to get on the ballot, and run for governor of #arizona!--) @LINK #Women#politics #progressive #liberal #politics #NWPC #blm #youngDemocrats @LINK",0
train_45,train,45,0,@USER @USER @USER @USER @USER Hey I'm on your side this administration is slowly killing our country,1
train_46,train,46,0,"@USER @USER Again, there are more white men in the country. White population: 70% of the population make up 52% perpetrators (underrepresented) Black: 13% of the population make up 27% of perpetrators (overrepresented) Do you not understand basic math? @LINK",0
train_47,train,47,0,@USER @USER @USER Our Constitution definitely needs major updating. School when it was written was a luxury. It should still be treated that way. There must be educational requirements for anyone that holds office.,0
train_48,train,48,0,@USER @USER @USER @USER @USER Fascinating. Check the White House documentary. What you are saying is not legit.,0
train_49,train,49,1,"@USER @USER @USER @USER This is the reality of the situation. Don't pussy foot around it because its happening daily, in Every facet of our lives. If you are not willing to fight the way we NEED our Candidates to fight, let sombody else do it. This is not your Grandfathers Democrat party.",0
train_50,train,50,0,"My #FightingFifth spotlight for #BlackHistoryMonth today is Dorothy Lee Bolden. Founder of the @USER Union, Dorothy Bolden helped Atlanta Black care workers harness their political power and made clear across the country that care workers are essential workers. (1/3) @LINK",0
train_51,train,51,0,@USER This NASTY PIG gave a GOLDEN SHOWER to GOVERNMENT DOCUMENTS!!! Let's be very clear on the CRIMINALITY OF HIS ACTIONS!!! @LINK,1
train_52,train,52,0,@USER China must be looking at the US as the biggest fools ever. They give us Covid-19 and now are selling us masks and test kits. We are becoming the laughing stock of the world sad to say. I can't believe how far our country is falling. Thanks to the Socialist Democrats.,0
train_53,train,53,1,"@USER @USER Absolutely you guys care,maybe care more when you are battling,that's aways been my impression from @USER problem is the Trump Republicans cares just as much about tearing democracy down as much as you do about saving it. I hope homeland security are on their toes",0
train_54,train,54,0,@USER @USER @USER Have you not been watching TV around the world that have segments on what Joe said today. Google Australia who the left hold up as an example of civility.,0
train_55,train,55,0,"Oh @USER so, republicans don't want democrats to inside trading. Let's do them all ! Yippie !! Sen. Elizabeth Warren now wants to ban all state lawmakers and elected officials from trading corporate stocks @USER",0
train_56,train,56,0,"@USER @USER Because is not helping anyone, if you take vaccine, you are more in danger than those not take it.",0
train_57,train,57,0,"@USER @USER @USER @USER @USER @USER Lol ""Republicans must be destroyed in 2022 and 2024"" Sounds an awful lot like you want a one party state. Are you suggesting we resort to a one party system? Shades of the Nazis'. I see",1
train_58,train,58,1,@USER Thanks to Biden's policies we are now reliant on Russia and the world for energy. We were energy independent under President Trump. Socialist leftist Democrats are weakening our country.,0
train_59,train,59,0,"Read The Vile Hate Mail Sent To Triple Amputee Veteran Behind #GoFundTheWall, Encouraged By Liberal Media And Celebrities @LINK",0
train_60,train,60,0,"@USER Right because we value your opinion The person who says she cares and then defunded and removed police from those that needed them most but all the while claiming their racist or this or that all the while MURDERS not ""GUN violence "" but PEOPLE violence is rising out of control",0
train_61,train,61,0,@USER People in hell want ice water. Clean up your country. We need a favor though. Can you take the @USER ?,0
train_62,train,62,0,McCarthy calls Pelosi 'irresponsible' in fiery press conference @LINK via @USER ARE SICK & TIRED OF PELOSI & HER FELLOW LIBERAL/SOCIALISTS' HATE-MONGERING !!,0
train_63,train,63,0,"@USER This is not a ""far right"" occupation! It's simply people who do not want to be force vaccinated. Many people of color absolutely do NOT want to be force-vaxxed! @LINK",1
train_64,train,64,1,"@USER I hope our allies don't leave us as after today the Republicans have proven that they have no interest in liberty, freedom, justice, and/or STAND FOR DEMOCRACY!!!!!! Today, the US proved by the REPUBLICANS that DEMOCRACY IS DEAD!!!!",0
train_65,train,65,0,@USER is the greatest President since FDR. The press & everyone else will have to learn that the hard way.,0
train_66,train,66,0,Live look at Ron Klein scrambling for a distraction from the record-high inflation he helped his idiot boss create. @LINK,1
train_67,train,67,0,I see the news report with people walking in the background with no mask on. MY GOD it's DISGUSTING how pathetic these people are to only think of themselves. To not wear mask or get vaccinated! DISGUSTING HUMAN BEINGS! I'm mad! @USER @USER @USER @USER @USER,1
train_68,train,68,1,@USER Los Angeles is a Democrat State with all the homelessness and drug addiction to go along with it so am sure now all Americans will have to pay to fix all these messes Democrat created in these States.,0
train_69,train,69,0,"Building a mechanism to ensure working people can keep food on the table, save for a rainy day, and keep their bills paid will make us all feel more secure. @LINK",0
train_70,train,70,0,@USER @USER Shut them all down. Useless at best and destructive at its worst.,0
train_71,train,71,0,"@USER Why do you choose to emphasize the control of future inflation rates (exceptionally difficult to predict) rather than public health improvements from increased access to wages, healthcare, & education? The former is the concern of financiers, the latter most of your constituents.",0
train_72,train,72,1,@USER @USER Well when you demand communism you best be prepared for the consequences,0
train_73,train,73,0,@USER @USER Look at Europe when the left let the radical Islam grew inside their community. Did you see what happened in France ? You think their dangerous ideas are far away right? Obama unleash the radical Iranian Mulla regime and helped them to grow in the Middle East and the world .,1
train_74,train,74,0,@USER There is growing concern that the COVID vaccines may be causing what some are now calling Vaccine Acquired Immune Deficiency Syndrome (VAIDS). Here's an article from before the vaccines were available that speculated this might happen. @LINK,0
train_75,train,75,0,@USER Why don't you get a vaccine for BLM and Antifa to keep them from rioting and looting all over the country? Get a vaccine for all to protect people in cities across the country from gun violence where don't you?,0
train_76,train,76,0,"@USER @USER The founders were very intelligent, BUT did not realize we would need to limit the ""allowable"" time in Congress to two terms!!!",0
train_77,train,77,0,RT @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER marching into full fascism by the day WHY DO YOU REFUSE TO TELL THE @LINK @LINK,0
train_78,train,78,1,"@USER That's going to piss democrats off, since they already got their kickbacks from big business. So prices better start dropping, or American people will take over.",0
train_79,train,79,0,@USER @USER You & the rest of the Dirty democrats have destroyed NY Financially & morally with your disgusting mandates & bail reform & ridiculous high taxes! #UNMASKOURCHILDREN #Republicans #BidenIsAFailure #LetsGoBrandon,1
train_80,train,80,0,I am honored to receive an endorsement from the Restore Liberty organization! We must continue fighting for liberty and protect our children from the radical left social education policies. Parents should be able to decide with their children are learning in school! #alpolitics @LINK,1
train_81,train,81,1,"@USER In my opinion, at this point in time in America thinking that we are going to get our country back from the fraudulent criminal Democrats system, trying to fight against a criminal illegitimate democratic party government is completely delusional. What's needed is Hands-On fight.",0
train_82,train,82,0,"@USER @USER @USER @USER @USER The US has a greater far right militia problem than Ukraine, to be fair",0
train_83,train,83,0,@USER This all u people care about is student loan forgiveness all I hear from Democratic party this will not give a win if it gets done American families parents and kids need is emergency stimulus CTC no payments for 2 months already u should be working on CTC stop lying,0
train_84,train,84,1,"Biden Opens Child-Only Camp for Illegals, Proves 'Kids in Cages' Was Just a Campaign Lie via @USER @LINK",0
train_85,train,85,0,FYI - The founders of our country believed that elections should be governed at the state level.,0
train_86,train,86,1,"Biden and Harris will reverse everything President Trump has done including his tax cuts. Which means higher taxes!! Democrats LIE, LIE & LIE!! @USER",0
train_87,train,87,0,"""The Democrats Are in Search of Their Next Scam"" - President Trump Responds to Latest Fake News on National Archives @LINK via @USER",0
train_88,train,88,0,"@USER @USER We might not agree but I think the most racist party is the democrats (D) The media helps cover up or less the effect of things that Joe Biden says. While both D & R had slaves back in the day, the D fought to keep slavery while the R were trying to abolish it.",0
train_89,train,89,0,@USER @USER @USER Why do you want to talk to young children about their sexuality so badly?,0
train_90,train,90,1,@USER Where were you when the right attacked the Capital to overturn a legitimate election? Sit down Insurrectionists,0
train_91,train,91,0,"Yet just yesterday 3,189 Americans died from COVID in one day. Their arguments are weak and wrong! @LINK",0
train_92,train,92,0,"#Analytics_06 #Energy_06 #GOVT_06 #Experts_06 In reality, they would transform Kansas, one of the top producers of wind energy for two decades, into one of the most restrictive states in the nation, pro-wind #experts say. @LINK",0
train_93,train,93,0,@USER @USER We are all so tired and burned out waiting for Justice. The people investigating him don't know the half of what he has done. I'm of the opinion once they do find out and they will. It will be Treason that Trump has committed and the Justice Department will have to charge him.,0
train_94,train,94,0,@USER And the wealth gap expanded faster last year than any other year in history. Bernie S went from $2mil to $3 mil in net worth last year on a salary of $174k.,0
train_95,train,95,0,"""ATTEN: (GOOGLE)): {MEADOWS & THE BAND OF LOYALISTS, HOW THEY FOUGHTTO KEEP TRUMP IN POWER}? ""WOW"", ((READ THE WHOLE ARTICLE), GUILTY!",1
train_96,train,96,0,"@USER @USER Because other politicians are scared to say what we are ALL thinking. I know competent strong leadership scares the left bcus they prey on fear, but its their own damn fault we have tough fighter no nonsense candidates this time round. We will not loose this fight.",0
train_97,train,97,0,"Parents send 'clear message' to left-wing school board members in San Francisco, boot them from office by overwhelming vote - TheBlaze @LINK",1
train_98,train,98,0,@USER @USER @USER @USER @USER Samantha You are clueless!!! No one should trust any government. Especially ours,1
train_99,train,99,0,The Media is Shamelessly Slandering the VA Second Amendment Rally | The Dan Bongino Show @LINK,1
train_100,train,100,0,MSNBC Reporter Admits What Conservatives Have Said About Guns Is Completely True @LINK,0
train_101,train,101,0,"@USER Dozens of police were not killed. Stop the lies right there. And the inflated amount you use there conflicts with reported claims made by localities affected. But, you may also want to check your facts, as a few of those arrested in connection with the biggest damages weren't BLM",1
train_102,train,102,0,Dems are afraid to say defund and crt. Because they do not care about black people.,0
train_103,train,103,0,"Americans are tired off wars as from #USA reckless war in Afghanistan , why you @USER and @USER prefer reckless intervention in the name of your pseudo -democracy? @LINK",1
train_104,train,104,0,Boston came through the door ready to fight Tai but it looked like she had been fighting wolves all night. She looked a hot funky ass mess! #loveduringlockup,1
train_105,train,105,0,@USER I don't even live in Kentucky and you have my vote!!! Put Rand Paul straight out of office.,0
train_106,train,106,0,"@USER Only because the dumbshit @USER and democrats have destroyed American Energy production and independance. #FactsMatter... and democrats hate free people, and independant people even more.",1
train_107,train,107,0,@USER 'Witness tampering'@LINK a fave TOOL that THIS TOOL favors in his UNCONSTITUTIONAL PLAY BOOK!@#$%,0
train_108,train,108,0,@USER Especially any one who worships God. The DNC was proud of removing God from their platform and F Chuck Schumer fights for infanticide not for 'choice' but for the blood money Planned Infanticide funnels to the DNC. To note 650 black babies are slaughtered each day for that money,0
train_109,train,109,1,"@USER Plenty of white women voted for him which baffled me until I studied up on the ""phenomenon"" LOL I was referring to the mostly white men who join these militia groups, hate groups, organizations, fraternities whatever we call em, go strut around with guns at rallies and plot murdr",0
train_110,train,110,0,"@USER @USER Good luck! As it happened with Goya, Lindell's business has gone through the roof! Who is losing? Bed Bath and Beyond. Certainly NOT Mike Lindell. When will these morons figure it out? These leftists are LOUD mouths but are in the MINORITY. Support them and your business sinks!",1
train_111,train,111,0,"@USER @USER How is this Trumps fault too? You do realize that by trying to get keep Trump from running, GOP has 70% chance of winning.Moderate Democrats & Independents are not happy with Biden.If GOP doesnt take Trump and gets a reasonable person (of which they have more than Dems) its over.",0
train_112,train,112,0,"Everyone was in on that big lie from the beginning, the FBI, the CIA, dems, and the government, they were all in on the illegal spying, not to mention the bullshit impeachments all to try and remove him from the White House because he was against their corruption.",1
train_113,train,113,0,Joe would be much more appreciated if he would return to his original profession. There his strings were comedy driven. Today they are driven by left wing Democrat Marxist Socialist. In some ways he is more Comedic as President. @USER,0
train_114,train,114,0,"@USER Whatever loser... did anything happen to you for bribing the Ukraine with our money? Did anything happen to you for knowingly allowing >250,000 Americans to die? Did anything happen to you for cheating your taxes? How about all those sexual assault accusations?",1
train_115,train,115,0,"@USER Bezos will foot the bill for the entire project, result: the bridge receives maintenance and repairs that would cost the city millions to do, employ hundreds of people and ensure the bridge has a much longer life span than it currently has.. The city would be dumb not to do it.",0
train_116,train,116,0,@USER Why does the gop keep supporting Trump a crook & con man old Jim boy was actually involved in January 6. So he is trying to distract. It will not work jim your ass and everyone in our Congress involved are going to federal prison every one of the traitors to our constitution. @LINK,1
train_117,train,117,0,@USER Hey Ted look up the definition of terrorist attack. What happened Jan. 6th was a security breach. It was a disgrace what u said. Your a insult to the Republican party after that comment.,1
train_118,train,118,0,The committee should there fingers out of their ass. Your going to go all the way with investigating this or your not.If the Democrats are going to worry about their seats then they should give up right now. It dosnt matter who was involved. You have to vote to get a warrant .,1
train_119,train,119,0,@USER That drama teacher needs to be fired and never allowed to work with children again.,0
train_120,train,120,1,"@USER @USER @USER @USER Yeah, you know how I'm regurgitating that the billionaires are begging to pay more taxes and no one will let them! How stupid must one be to be a Republican voter!?!?!",0
train_121,train,121,0,"@USER I don't see the illegals coming across the border with masks. This has nothing to do with the health of our children. Our kids are the next generation for the next ""lab leak"", they are being groomed to obey.",1
train_122,train,122,0,April 2nd is the 1 year anniversary of the murder of Capitol Police Officer Billy Evans - killed by a radical Nation of Islam supporter Evans is the only Capitol Police Officer to be murdered in 20 years @LINK,0
train_123,train,123,0,@USER @USER @USER She Is Right On Point...Why Are We Letting The Republicans Dictate Things,0
train_124,train,124,1,"""Some Republicans on Wrong Side of Big Tech Battle, Polls Show"" @USER",0
train_125,train,125,0,Jared Kushner nominated for Nobel Peace Prize after brokering talks. Hope he wins for his hard work bringing peace in the Middle East. @LINK,0
train_126,train,126,0,"@USER retaliates on #ISIS_K, killing two, while negotiating with the #Taliban terrorists for American lives.",0
train_127,train,127,0,"Days Before Democrats Take Control, Biden Vows to 'Defeat the NRA and End Our Epidemic of Gun Violence' via @USER @LINK",0
train_128,train,128,0,"Look at how Demcoms spin the #FoxBoycott They Call the FRAUD ""the big lie"" Fox News helped create the Big Lie. Now it can't escape it @LINK",1
train_129,train,129,0,@USER This is just unrealistic. There's always been risk catching illnesses sending kids to school. What people need to do is keep their child home if they are sick. And schools/states need new attendance policies so parents aren't afraid of keeping their kids home sick too many days.,0
train_130,train,130,0,"@USER The ""vaccine"" doesn't stop you from CATCHING or SPREADING COVID, and a large portion of those in the hospital with Covid have a variant other than Omicron - but sure, taking away the single treatment that works is a great idea! Because suddenly Leftists are worried about MONEY!!",0
train_131,train,131,0,"@USER Will there ever be real accountability for Benghazi, irs targeting of conservatives, fast and furious, midnight vote changes, dude that bought his house and big mikes penis",1
train_132,train,132,0,Biden says he believes Putin has decided to attack Ukraine in coming days @LINK,0
train_133,train,133,1,"@USER @USER I do agree with you , Biden administration are illegal in power also they are part of the terrorists groups. You can see , they ignore everyone have good solutions, also use fear and treats to scare American citizens.",0
train_134,train,134,0,"Lawmakers, do the right thing: don't choose or allow any fraud-based Elector. #BeTheHero! @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @LINK",0
train_135,train,135,0,PSA to Democrats: they really think you are this stupid. wake up and you're welcome. @LINK,1
train_136,train,136,0,"@USER @USER Just like cnn and msnbc when it comes to supply chain issues, the border crisis, the afghan debackle, the corrupted Biden family, the Cuomo @LINK I go on?",1
train_137,train,137,0,"Republican Senator Obliterates Mitt Romney, Wait Until You See How Bad It Really Was - @LINK",0
train_138,train,138,1,"@USER @USER This is the Republican Party's vision of the future, snapshot of their party platform, and summary of their refusal to participate in Presidential debates. They vote against helping common people, and vote for tax breaks for corporations and chaos where companies can make a buck. @LINK",0
train_139,train,139,0,"@USER @USER @USER I'm glad your son avoided the situation. If he had been there though, would you prefer he be unarmed, or trained and armed? I would want my loved ones to have more options, rather than fewer.",0
train_140,train,140,0,Check out this article from MarketWatch - Raising interest rates would do nothing to control inflation @LINK,0
train_141,train,141,0,@USER @USER Did you actually watch that video of the lawyer breaking down reparations he starts by saying reparations is to but people back into the situation that most likely would have occurred if the crime had not been committed against them its not really financial.,0
train_142,train,142,0,"A GOP TRUTH- ""During Black History Month, Republican leaders are more comfortable with our kids getting COVID than reading a book written by a Black author talking about white supremacy & diversity."" Why would ANYONE think this is normal? Its SICK! #USA #Patriot #America #GOP",1
train_143,train,143,1,"@USER When are you going to fight for your fellow #Biafra Jewish people hatred, killings, massacre, genocide, terrorism by Nigeria ??? Or why the silence of every one against #Biafra and even #FreeMaziNnamdiKanuNow the Biafra Leader??? What about #BiafraReferendumNow and #BiafraExit ?. @LINK",0
train_144,train,144,1,@USER Stop blackmailing the children of God. The plague is on already and won't end until #Biafra and #MaziNnamdiKanu is Freed 100%. This is very shit blackmailing. Go to North and neutralize your terrorist brothers killing you in the north on daily @LINK oo!!,1
train_145,train,145,0,@USER Do you know what really gets in your way? Having the Democratic Party do any kind of substantial work the benefits American citizens. That seems to be getting in your way this year. When are you getting the Americans out of Afghanistan dirtbag? Really tired of your BS,1
train_146,train,146,0,"@USER Biafrans are tired & do not believe in d unworkable united Nigeria with full of greedy, wicked,& corrupt Politicians, who are busy dividing Nigeria the more by their actions! Referendum is d answer! People must decide in the united or divided Nigeria. It's doable even in marriage",0
train_147,train,147,0,"@USER Where is the concern for US Citizens with Undocumented Spouses that suffer daily? Where is your pursuit to do everything you can for them? It is not Valentines Day, so this is the excuse today? You are a COMPLETE FAILURE on IMMIGRATION & the cost will be losing seats in 2022-24. @LINK",0
train_148,train,148,0,"Those who chose not to be part of the system by not graduating from high school or getting a degree in Fine Arts with $100k in debt have only themselves to blame. It's not ""wage slavery"", it's laziness & really bad choices. I have an engineering degree & can get a job anywhere.",1
train_149,train,149,0,@USER @USER @USER I wish they make a law on castrations for rapist and those that committed incest. Women do own their reproductive parts. If it was possible we would give them to men and let them get pregnant. Most women can do as Bobbett did and put the mans organ in a jar on their nightstand 1/,1
train_150,train,150,0,@USER sooner or later republicans will be majority again will be interesting to see how quickly dems try to put rules back in first,0
train_151,train,151,1,@USER I would never presume such a thing. It hurts my heart that so many people are still suffering from the brainwashed racist white folk.,0
train_152,train,152,0,"I will not hold my breath because I know Fox News will not apologize I retract their statements. As I said before they are nothing more than yellow journalism with propaganda for the right wing conservative radicals! It was a far reach, reading into something that wasn't there! @LINK",0
train_153,train,153,1,Republicans Should Ask Winsome Sears To Respond To The State Of The Union @LINK,0
train_154,train,154,1,@USER But support the lazy people in our great COUNTRY U.S.A. right??? & hard working people pay for them.!! &ILLEGAL S.(DISGRACE).,0
train_155,train,155,0,"Am I the only one who thinks our Justice Dept. is ramping up charges against Jan. 6 protestors and school board moms while local DAs are getting more and more lenient with smash and grab thieves, murderers and other violent criminals?",0
train_156,train,156,0,She Needs To Go!!!!! WATCH: Marjorie Taylor Greene melts down over Biden's promise to appoint a Black woman as Supreme Court justice @LINK,0
train_157,train,157,0,Same here in America. Firing and discriminating against those who refuse the vaccine while also being denied other treatments! @LINK,0
train_158,train,158,0,"In the climate crisis, we need love and science to fight for the planet as a whole: @LINK @USER @USER #climatecrisis #climatejustice",0
train_159,train,159,1,@USER @USER Proud they are part of the reason why #Russia might invade Ukraine. #Democrats accused Putin and President #Trump of being treasoners while colluding when it was the Democratic Party behind it all while banking in #Ukraine. Using spy agencies to spy and frame innocent people!,0
train_160,train,160,1,"@USER The Democrat party with their woke lead from behind stance and the foolish idea that China is an ally over Russia is going to do to our country what the Nazi party did to Germany, get us destroyed in a world war.",0
train_161,train,161,0,"@USER @USER @USER And around 90% of those unemployed were in the most liberal states, which they new would make Trump look bad.",0
train_162,train,162,0,@USER @USER @USER next Republicans will make it illegal to get pregnant if you are on food stamps @USER,0
train_163,train,163,0,Black women lawmakers commend Biden on commitment for Supreme Court nominee @LINK,0
train_164,train,164,0,@USER This is why the government wants to put kill switches in your cars...#donotcomply,0
train_165,train,165,0,@USER U are the biggest joke in the Democratic party lying about helping low income families parents our kids what the hell have you done but lie u when you get back from Christmas break first thing on the floor CTC BBB emergency stimulus checks voteing right and just more lying from u,1
train_166,train,166,0,@USER You're in an alternate universe. The Dems aren't committing political suicide. Pelosi said it's worth losing the house to get ObamaCare through; they lost power for 4 yrs. But they came back & look what they're doing now! We have stupid voters who never learn.,1
train_167,train,167,0,@USER @USER @USER Where are the generic drug trials we paid for day one of warp speed ? Where did that billion go ? Why has the SEC delayed the building of the Kodak facility ? Why are democrats defending big pharma against the competition ? Face it at the end of the day he was obstructed !,0
train_168,train,168,1,"@USER When the Soviet Union collapsed, communist apologists said if only the Soviets had followed communist doctrine faithfully, everything would have worked out. Same thing. You can't dispute it. It's bullshit, but you can't dispute it.",1
train_169,train,169,0,@USER Commies hate the Constitution. This is not new. Teaching kids that Commies and Nazis are equally horrific is a new trend we need to support.,0
train_170,train,170,1,@USER Dems are going to do whatever they can to destroy our country,0
train_171,train,171,0,"Happy Constitution Day! Today is a great reminder that the Constitution exists to empower We the People, and not the government.",0
train_172,train,172,1,"@USER @USER I'm sick and tired of elitists like Professor Gundlach spouting off about red states when he couldn't define what ""fair share"" should be to save his life. Come down out of the clouds, Professor, and see how the real world works. Let me know if you need directions.",1
train_173,train,173,1,@USER @USER @USER So the republican answer is To deny extending unemployment extensions to the long term suffering!,0
train_174,train,174,0,The media will ignore things like this because it doesn't fit the narrative. @LINK,0
train_175,train,175,1,@USER When will the lib loonies finally wake up? How many more politicians have to apologize for you too see the hypocrisy?,1
train_176,train,176,0,"President Joe Biden, with help from former Presidents Bill Clinton, George W. Bush, and Barack Obama, has resettled more than 74,400 Afghans across American communities since mid-August 2021.",0
