source_id,source_row,source_dataset,premise,hypothesis,source_entailment,gt_entails
event_test_22,22,mlburnham/scad_event_entailment,The Malawi government Wednesday declared a strike by civil servants illegal and said a number of strikers had been arrested.,The event described in this text is a strike.,0,1
event_test_23,23,mlburnham/scad_event_entailment,"Public transport workers strike over wages. Union members stop private buses and taxis that continue to operate, and then force passengers off and break windshields. Strikers set up roadblocks and clash with police.",The event described in this text is a strike.,0,1
event_test_24,24,mlburnham/scad_event_entailment,Lecturers' week-long strike results in student riot,The event described in this text is a strike.,0,1
event_test_25,25,mlburnham/scad_event_entailment,"Staff of Ghana's Cocoa Marketing Board (COCOBOD), ended Thursday a three-day strike which had halted loading operatins at the country's businest cocoa ports, the Ghanaian news agency (GNA) reported.",The event described in this text is a strike.,0,1
event_test_26,26,mlburnham/scad_event_entailment,AMCU on strike until NUM is held accountable for the death of the AMCU leader,The event described in this text is a strike.,0,1
event_test_27,27,mlburnham/scad_event_entailment,"Public workers, including power and water utility workers and university lecturers have been beginning strikes to demand pay raises in reponse to the devaluing of Malawian currency. Power and water utility workers both obtained raises.",The event described in this text is a strike.,0,1
event_test_28,28,mlburnham/scad_event_entailment,Doctors Without Borders withdraw from refugee camps across Tanzania protesting non-prosecution of Hutu war crimes,The event described in this text is a strike.,0,1
event_test_29,29,mlburnham/scad_event_entailment,Doctors and health workers strike over unpaid wages,The event described in this text is a strike.,0,1
event_test_30,30,mlburnham/scad_event_entailment,Lawyers strike for overdue pay and better working conditions.,The event described in this text is a strike.,0,1
event_test_31,31,mlburnham/scad_event_entailment,"A general strike was held in Petit Goave, Miragoane and Jacmel.",The event described in this text is a strike.,0,1
event_test_32,32,mlburnham/scad_event_entailment,Government workers in West Bahr al-Ghazal State strike to protest pay cuts by the state government.,The event described in this text is a strike.,0,1
event_test_33,33,mlburnham/scad_event_entailment,Some taxi drivers go on strike over the steep rise in fuel costs due to the reduction of government subsidies.,The event described in this text is a strike.,0,1
event_test_34,34,mlburnham/scad_event_entailment,Civil Servants went on strike demanding greater wages,The event described in this text is a strike.,0,1
event_test_35,35,mlburnham/scad_event_entailment,Air Afrique workers strike demanding past due wages,The event described in this text is a strike.,0,1
event_test_36,36,mlburnham/scad_event_entailment,Chad's largest labor union called a three-day strike to force the government to honor its promise of a pay raise.,The event described in this text is a strike.,0,1
event_test_37,37,mlburnham/scad_event_entailment,"Citizens strike, protesting election nullification",The event described in this text is a strike.,0,1
event_test_38,38,mlburnham/scad_event_entailment,civil servants strike to demand increased wages and better living conditions,The event described in this text is a strike.,0,1
event_test_39,39,mlburnham/scad_event_entailment,Government workers in Northern State strike to demand a promised pay raise.,The event described in this text is a strike.,0,1
event_test_40,40,mlburnham/scad_event_entailment,Avocado packers went on strike to demand higher wages.,The event described in this text is a strike.,0,1
event_test_41,41,mlburnham/scad_event_entailment,"civil servants in transportation, telecommunications, electricty and water sectors strike against pay deductions.",The event described in this text is a strike.,0,1
event_test_42,42,mlburnham/scad_event_entailment,Strike reported retrospectively.,The event described in this text is a strike.,0,1
event_test_43,43,mlburnham/scad_event_entailment,"University professors strike, claiming the government reneged on service agreements",The event described in this text is a strike.,0,1
event_test_44,44,mlburnham/scad_event_entailment,Judges went on strike to protest the government's decision to remove judges from office.,The event described in this text is a strike.,0,1
event_test_45,45,mlburnham/scad_event_entailment,Fuel workers strike demanding a raise in wages,The event described in this text is a strike.,0,1
event_test_46,46,mlburnham/scad_event_entailment,Doctors of Mozambique protest poor working conditions and few resources,The event described in this text is a strike.,0,1
event_test_47,47,mlburnham/scad_event_entailment,"Teachers strike, demanding reinstatement of five colleagues fired by the president.",The event described in this text is a strike.,0,1
event_test_48,48,mlburnham/scad_event_entailment,University teachers went on strike demanding that the government pay their salaries,The event described in this text is a strike.,0,1
event_test_49,49,mlburnham/scad_event_entailment,Teachers in the North strike fearing attacks from Al-Shebab.,The event described in this text is a strike.,0,1
event_test_50,50,mlburnham/scad_event_entailment,"Public television and radio workers strike, demanding unpaid wages",The event described in this text is a strike.,0,1
event_test_51,51,mlburnham/scad_event_entailment,"Health workers strike, demanding higher wages",The event described in this text is a strike.,0,1
event_test_52,52,mlburnham/scad_event_entailment,Teachers strike demanding nine months of salary arrears.,The event described in this text is a strike.,0,1
event_test_53,53,mlburnham/scad_event_entailment,Teachers strike to demand increased wages.,The event described in this text is a strike.,0,1
event_test_54,54,mlburnham/scad_event_entailment,"Pilots strike, demanding higher wages",The event described in this text is a strike.,0,1
event_test_55,55,mlburnham/scad_event_entailment,Central Bank employees go on strike.,The event described in this text is a strike.,0,1
event_test_56,56,mlburnham/scad_event_entailment,Postal and telecommunications workers strike demanding pay increases.,The event described in this text is a strike.,0,1
event_test_57,57,mlburnham/scad_event_entailment,Air traffic controllers went on strike to demand new radar system.,The event described in this text is a strike.,0,1
event_test_58,58,mlburnham/scad_event_entailment,"Gold miners went on strike to demand removal of shop stewards and minumum monthly wage, security guards fired tear gas on one occasion.",The event described in this text is a strike.,0,1
event_test_59,59,mlburnham/scad_event_entailment,Four hundred taxi drivers and employees working for an Egyptian limousine service go on strike demanding higher wages and social benefits from the Nasser Social Bank.,The event described in this text is a strike.,0,1
event_test_60,60,mlburnham/scad_event_entailment,The DRC national football struck over unpaid bonuses.,The event described in this text is a strike.,0,1
event_test_61,61,mlburnham/scad_event_entailment,"Citizens strike, calling for resignation of President",The event described in this text is a strike.,0,1
event_test_62,62,mlburnham/scad_event_entailment,"Twelve cocoa unions strike, demanding prices of cocoa beans be raised",The event described in this text is a strike.,0,1
event_test_63,63,mlburnham/scad_event_entailment,Teachers went on strike to demand higher pay for three weeks before the government gave in.,The event described in this text is a strike.,0,1
event_test_64,64,mlburnham/scad_event_entailment,Journalists hold 1-hr strike to protest harsh treatment by government,The event described in this text is a strike.,0,1
event_test_65,65,mlburnham/scad_event_entailment,"Oil workers strike, protesting privatisation plans of state-run petroleum company and filling stations",The event described in this text is a strike.,0,1
event_test_66,66,mlburnham/scad_event_entailment,"Bus drivers strike, protesting extortion and harassment by Nigerian officials",The event described in this text is a strike.,0,1
event_test_67,67,mlburnham/scad_event_entailment,Teachers went on strike to demand wage increases,The event described in this text is a strike.,0,1
event_test_68,68,mlburnham/scad_event_entailment,"Health workers strike, demanding better working and living conditions",The event described in this text is a strike.,0,1
event_test_69,69,mlburnham/scad_event_entailment,Doctors and nurses at public hospitals strike to demand pay raises.,The event described in this text is a strike.,0,1
event_test_70,70,mlburnham/scad_event_entailment,"Arab Spring. Hundreds of specialist doctors strike to demand better pay. They are later joined in protests by auxiliary police, university students, and court clerks.",The event described in this text is a strike.,0,1
event_test_71,71,mlburnham/scad_event_entailment,Local staff at the French embassy strike over poor wages.,The event described in this text is a strike.,0,1
event_test_72,72,mlburnham/scad_event_entailment,"Air traffic controllers staged a 24 hour strike to protest lack of training and new conditions that do not allow for enough rest at Dakar's new international airport, as well as transport difficulties.",The event described in this text is a strike.,0,1
event_test_73,73,mlburnham/scad_event_entailment,Doctors went on strike to demand higher wages and new equipment.,The event described in this text is a strike.,0,1
event_test_74,74,mlburnham/scad_event_entailment,"Truck drivers strike, urging government to allow them to increase weight of allowed loads",The event described in this text is a strike.,0,1
event_test_75,75,mlburnham/scad_event_entailment,"Air-Gabon workers strike, demanding salary increases and bonuses.",The event described in this text is a strike.,0,1
event_test_76,76,mlburnham/scad_event_entailment,A prominent activist begins a hunger strike to protest his imprisonment. Other prisoners join into the hunger strike.,The event described in this text is a strike.,0,1
event_test_77,77,mlburnham/scad_event_entailment,Lecturers strike demanding higher wages,The event described in this text is a strike.,0,1
event_test_78,78,mlburnham/scad_event_entailment,"Lawyers strike, protesting executive interference in trials.",The event described in this text is a strike.,0,1
event_test_79,79,mlburnham/scad_event_entailment,The country's most powerful labor unions stages partial strikes at government offices to demand higher wages.,The event described in this text is a strike.,0,1
event_test_80,80,mlburnham/scad_event_entailment,"Railway workers strike, protesting unpaid wages",The event described in this text is a strike.,0,1
event_test_81,81,mlburnham/scad_event_entailment,"Over 50,000 gold miners strike for higher wages. At Harmony, there is also an issue of racism, with blacks accusing the company of paying them less than whites.",The event described in this text is a strike.,0,1
event_test_82,82,mlburnham/scad_event_entailment,Air traffic controllers strike for more pay,The event described in this text is a strike.,0,1
event_test_83,83,mlburnham/scad_event_entailment,4500 employees strike at the Chiriqui Land Company for higher wages.,The event described in this text is a strike.,0,1
event_test_84,84,mlburnham/scad_event_entailment,"A general strike was called against the government; in Port-au-Prince, a few protesters smashed rocks through car windows.",The event described in this text is a strike.,0,1
event_test_85,85,mlburnham/scad_event_entailment,"Forestry workers strike demanding increased pay, transportation allowances and food rations.",The event described in this text is a strike.,0,1
event_test_86,86,mlburnham/scad_event_entailment,"Zambian workers begin strike over pay. They then riot and clash with Chinese workers, taking Chinese managers hostage. The hostages are released and the Zambians are fired.",The event described in this text is a strike.,0,1
event_test_87,87,mlburnham/scad_event_entailment,"Citizens strike, protesting election fraud",The event described in this text is a strike.,0,1
event_test_88,88,mlburnham/scad_event_entailment,Students strike demanding payment of scholarships and better facilities.,The event described in this text is a strike.,0,1
event_test_89,89,mlburnham/scad_event_entailment,"Workers demanding higher wages in Burkina Faso began a 48-hour strike Wednesday, slowing down postal and health services in the capital and the provinces.",The event described in this text is a strike.,0,1
event_test_90,90,mlburnham/scad_event_entailment,Scattered labor actions and riots are reported around the country as Sandinistas press for higher wages.,The event described in this text is a strike.,0,1
event_test_91,91,mlburnham/scad_event_entailment,Strikes and demonstrations occur in protest of a government plant to privatize social security. Demonstrations turn into violent riots in Panama City.,The event described in this text is a strike.,0,1
event_test_92,92,mlburnham/scad_event_entailment,"40,000 workers close all govt. offices throughout the country. USTN calls for payment of salary arrears, and an end to privatization.",The event described in this text is a strike.,0,1
event_test_93,93,mlburnham/scad_event_entailment,"University professors union calls strike, but few follow it",The event described in this text is a strike.,0,1
event_test_94,94,mlburnham/scad_event_entailment,"More than 10,000 miners strike against low wages and poor conditions. Two days later it escalates to a riot in Chililabombwe, where the police fire tear gas. On 7/20 there are riots at Nchanga, where police again use tear gas.",The event described in this text is a strike.,0,1
event_test_95,95,mlburnham/scad_event_entailment,"Dock workers strike, demanding all dockers be given the same pay scale",The event described in this text is a strike.,0,1
event_test_96,96,mlburnham/scad_event_entailment,Hostesses and stewards went on strike to protest poor salaries and working conditions.,The event described in this text is a strike.,0,1
event_test_97,97,mlburnham/scad_event_entailment,Shopkeepers went on strike against a tax hike on small businesses,The event described in this text is a strike.,0,1
event_test_98,98,mlburnham/scad_event_entailment,"Bread vendors strike, protesting prices of flour",The event described in this text is a strike.,0,1
event_test_99,99,mlburnham/scad_event_entailment,Teachers and Lawyers in the English-speaking part of Cameroon went on strike over accusations that their community was marginalized by the government,The event described in this text is a strike.,0,1
event_test_100,100,mlburnham/scad_event_entailment,Teachers went on strike to demand payment of bonuses.,The event described in this text is a strike.,0,1
event_test_101,101,mlburnham/scad_event_entailment,"200,000 NUMSA union members strike and march for pay increases.",The event described in this text is a strike.,0,1
event_test_102,102,mlburnham/scad_event_entailment,Teachers strike over non-payment of salaries.,The event described in this text is a strike.,0,1
event_test_103,103,mlburnham/scad_event_entailment,Opposition politicians and supporters strike on day of vote that removed restrictions on presidential term limits,The event described in this text is a strike.,0,1
event_test_104,104,mlburnham/scad_event_entailment,"The black homeland of Bophuthatswana refuses re-incorporation into South Africa. In response, civil servants strike. In March, the ANC joins in support. There are periodic clashes and riots.",The event described in this text is a strike.,0,1
event_test_105,105,mlburnham/scad_event_entailment,1400 auto workers stage an illegal strike against Volkswagen.,The event described in this text is a strike.,0,1
event_test_106,106,mlburnham/scad_event_entailment,Transport workers strike and clash with police over the high price of fuel and vehicle taxes.,The event described in this text is a strike.,0,1
event_test_107,107,mlburnham/scad_event_entailment,150 interpreters working for the AU peacekeeping force strike over unpaid wages and higher salaries.,The event described in this text is a strike.,0,1
event_test_108,108,mlburnham/scad_event_entailment,"Medical students strike, demanding changes in exams",The event described in this text is a strike.,0,1
event_test_109,109,mlburnham/scad_event_entailment,Professors strike for higher pay.,The event described in this text is a strike.,0,1
event_test_110,110,mlburnham/scad_event_entailment,Doctors and nurses strike demanding increased pay.,The event described in this text is a strike.,0,1
event_test_111,111,mlburnham/scad_event_entailment,Members of the Lawyers' Syndicate engage in strikes and later hold an organized demonstration in protest of the death of a colleague who died in police custody.,The event described in this text is a strike.,0,1
event_test_112,112,mlburnham/scad_event_entailment,Public health workers strike to demand the return of president Zelaya.,The event described in this text is a strike.,0,1
event_test_113,113,mlburnham/scad_event_entailment,2500 oil workers strike for higher pay and improved housing.,The event described in this text is a strike.,0,1
event_test_114,114,mlburnham/scad_event_entailment,Mostly ineffective general strike staged to protest a constitutional convention.,The event described in this text is a strike.,0,1
event_test_115,115,mlburnham/scad_event_entailment,Postal workers strike demanding wage increases.,The event described in this text is a strike.,0,1
event_test_116,116,mlburnham/scad_event_entailment,oil workers strike in response to government freeze on company accounts,The event described in this text is a strike.,0,1
event_test_117,117,mlburnham/scad_event_entailment,A three day general strike was called by Aristide supporters to demand the release of Aristide supporters who have been arrested.,The event described in this text is a strike.,0,1
event_test_118,118,mlburnham/scad_event_entailment,"Railworkers strike, demanding withheld wages and bonuses",The event described in this text is a strike.,0,1
event_test_119,119,mlburnham/scad_event_entailment,"Tanker drivers strike, demanding better working conditions",The event described in this text is a strike.,0,1
event_test_120,120,mlburnham/scad_event_entailment,3000 workers strike at AMPLAT's mines nationwide.,The event described in this text is a strike.,0,1
event_test_121,121,mlburnham/scad_event_entailment,Guards called in sick in disapproval of distribution of condoms to inmates and guards.,The event described in this text is a strike.,0,1
event_test_122,122,mlburnham/scad_event_entailment,Bus and taxi drivers went on strike for one day to protest the government's decision to raise fuel prices.,The event described in this text is a strike.,0,1
event_test_123,123,mlburnham/scad_event_entailment,General strike leads to mass rioting over election annullment,The event described in this text is a strike.,0,1
event_test_124,124,mlburnham/scad_event_entailment,Civilians strike over Mugabe's economic policies and fuel price hikes.,The event described in this text is a strike.,0,1
event_test_125,125,mlburnham/scad_event_entailment,A leftist student dies after a 72 day hunger strike protesting his imprisonment.,The event described in this text is a strike.,0,1
event_test_126,126,mlburnham/scad_event_entailment,Unions went on strike to protest the coup by the Presidential Security Regimen.,The event described in this text is a strike.,0,1
event_test_127,127,mlburnham/scad_event_entailment,"Workers building cruise ship port walked off job, claiming they were underpaid and overtaxed.",The event described in this text is a strike.,0,1
event_test_128,128,mlburnham/scad_event_entailment,Anti-government protesters called a general strike that was not widely observed.,The event described in this text is a strike.,0,1
event_test_129,129,mlburnham/scad_event_entailment,Laborers and teachers walk off the job to protest austerity measures.,The event described in this text is a strike.,0,1
event_test_130,130,mlburnham/scad_event_entailment,ANC led stay-away of unknown size. Organized to protest the right wing raid on the democracy talks.,The event described in this text is a strike.,0,1
event_test_131,131,mlburnham/scad_event_entailment,"Teachers strike, cause unknown.",The event described in this text is a strike.,0,1
event_test_132,132,mlburnham/scad_event_entailment,"Tazara railway workers strike, demanding higher wages",The event described in this text is a strike.,0,1
event_test_133,133,mlburnham/scad_event_entailment,Outsourced cabin crews walked off the job to demand their wages be aligned with those of Kenya Airways staff.,The event described in this text is a strike.,0,1
event_test_134,134,mlburnham/scad_event_entailment,"Tens of thousands of supporters of Antananarivo mayor Andry Rajoelina rally, strike, and protest against the government of president Marc Ravalomanana, accusing him of mis-spending public funds and threatening democracy.",The event described in this text is a strike.,0,1
event_test_135,135,mlburnham/scad_event_entailment,teachers strike over proposed budget for 1998,The event described in this text is a strike.,0,1
event_test_136,136,mlburnham/scad_event_entailment,"28,000 workers strike over wages.",The event described in this text is a strike.,0,1
event_test_137,137,mlburnham/scad_event_entailment,Miners went on strike to protest delays in implementing new minimum wage.,The event described in this text is a strike.,0,1
event_test_138,138,mlburnham/scad_event_entailment,Taxi driver fails to stop at a checkpoint and is shot and killed. Unions stage strike in protest.,The event described in this text is a strike.,0,1
event_test_139,139,mlburnham/scad_event_entailment,"Shell workers strike, demanding higher wages",The event described in this text is a strike.,0,1
event_test_140,140,mlburnham/scad_event_entailment,"Newspapers refuse to publish, protesting governmental restrictions on press freedoms",The event described in this text is a strike.,0,1
event_test_141,141,mlburnham/scad_event_entailment,Public sector doctors are on strike to pressure authorities into speeding up the pace of negotiations for better salaries and working conditions.,The event described in this text is a strike.,0,1
event_test_142,142,mlburnham/scad_event_entailment,"Transportation workers strike over raises in fuel taxes, strike leads to rioting by youths and opposition members over food prices and Pres. Biya's bid to amend the constitution allowing him a third term.",The event described in this text is a strike.,0,1
event_test_143,143,mlburnham/scad_event_entailment,Doctors went on strike to demand better pay and working conditions.,The event described in this text is a strike.,0,1
event_test_144,144,mlburnham/scad_event_entailment,The Malawi Congress of Trade Unions (MCTU) admitted that a national strike called for Wednesday had failed.,The event described in this text is a strike.,0,1
event_test_145,145,mlburnham/scad_event_entailment,"Healthcare workers strike, demanding danger money for treating Ebola patients.",The event described in this text is a strike.,0,1
event_test_146,146,mlburnham/scad_event_entailment,"Nearly 2,000 striking workers took to the streets of Ouagadougou on Thursday demanding higher wages to cope with hardships caused by Burkina Faso's structural adjustment programme.",The event described in this text is a strike.,0,1
event_test_147,147,mlburnham/scad_event_entailment,Fuel tanker drivers strike demanding protection from the government against RUF attacks.,The event described in this text is a strike.,0,1
event_test_148,148,mlburnham/scad_event_entailment,Journalists went on strike claiming that the Islamist-led government was working to constrain press freedom and control media groups,The event described in this text is a strike.,0,1
event_test_149,149,mlburnham/scad_event_entailment,Teachers strike to demand that members of the ruling party stay out of power.,The event described in this text is a strike.,0,1
event_test_150,150,mlburnham/scad_event_entailment,"Bus drivers of a leading bus company went on strike after talks over wages stalled between employer, workers, and local municipality.",The event described in this text is a strike.,0,1
event_test_151,151,mlburnham/scad_event_entailment,"More than 500,000 truck and bus drivers stage a one day strike to press for lower diesel fuel prices.",The event described in this text is a strike.,0,1
event_test_152,152,mlburnham/scad_event_entailment,Railway unions stage a strike over a wage dispute.,The event described in this text is a strike.,0,1
event_test_153,153,mlburnham/scad_event_entailment,Transport workers accuse the management of the National Transport Office of embezzlement and strike to protest.,The event described in this text is a strike.,0,1
event_test_154,154,mlburnham/scad_event_entailment,Employees of the British natural gas firm Petrofac stopped production and protested for better pay and working conditions throughout the year.,The event described in this text is a strike.,0,1
event_test_155,155,mlburnham/scad_event_entailment,"Newspapers stage one-day strike, protesting harassment by government authorities",The event described in this text is a strike.,0,1
event_test_156,156,mlburnham/scad_event_entailment,"Dock workers strike, demanding higher wages",The event described in this text is a strike.,0,1
event_test_157,157,mlburnham/scad_event_entailment,Strike over overdue wages.,The event described in this text is a strike.,0,1
event_test_158,158,mlburnham/scad_event_entailment,"Mine workers walked off of job, initiating strike over salary dispute.",The event described in this text is a strike.,0,1
event_test_159,159,mlburnham/scad_event_entailment,"Electric workers strike, protesting unpaid allowances.",The event described in this text is a strike.,0,1
event_test_160,160,mlburnham/scad_event_entailment,Workers went on strike to protest treatment by managers at plants.,The event described in this text is a strike.,0,1
event_test_161,161,mlburnham/scad_event_entailment,Civil servants strike over a wage dispute.,The event described in this text is a strike.,0,1
event_test_162,162,mlburnham/scad_event_entailment,Alumina workers went on strike at Alcoa plant after negotiations broke down.,The event described in this text is a strike.,0,1
event_test_163,163,mlburnham/scad_event_entailment,Public school teachers strike for better wages and benefits.,The event described in this text is a strike.,0,1
event_test_164,164,mlburnham/scad_event_entailment,"A militant, pro-Sandinista public employee's union strikes for higher wages. The strike ends with a doubling of salaries and promises by the government not to fire the strikers.",The event described in this text is a strike.,0,1
event_test_165,165,mlburnham/scad_event_entailment,"Platinum miners strike over disciplinary action taken against a colleague. The workers riot, setting fires. Security officials use tear gas.",The event described in this text is a strike.,0,1
event_test_166,166,mlburnham/scad_event_entailment,"Merchants strike, protesting increased sales tax",The event described in this text is a strike.,0,1
event_test_167,167,mlburnham/scad_event_entailment,"Telecom workers strike, protesting lower wages than expatriates",The event described in this text is a strike.,0,1
event_test_168,168,mlburnham/scad_event_entailment,"Doctors strike, demanding the government better protect them from kidnappings.",The event described in this text is a strike.,0,1
event_test_169,169,mlburnham/scad_event_entailment,Two electricians go on a hunger strike for three months to protest the government's shutdown of a power company.,The event described in this text is a strike.,0,1
event_test_170,170,mlburnham/scad_event_entailment,Public transport workers strike over plans to privatize the buses.,The event described in this text is a strike.,0,1
event_test_171,171,mlburnham/scad_event_entailment,"A strike by English-speaking teachers over the spreading of French-language texts escalated to street protests, in which protesters also demanded the sacking of the city's mayor, who was appointed by the central government. Police violently repressed the protests",The event described in this text is a strike.,0,1
event_test_172,172,mlburnham/scad_event_entailment,"Police officers demanding higher wages, better benefits as well as the resignation of the Interior Minister staged a strike throughout Egypt",The event described in this text is a strike.,0,1
event_test_173,173,mlburnham/scad_event_entailment,"The metro police strike over salary rates and nepotism, stage protests. The violence eventually escalates when striking police fire live rounds at national police using rubber bullets.",The event described in this text is a strike.,0,1
event_test_174,174,mlburnham/scad_event_entailment,"Oil workers strike, demanding oil companies align themselves with particular fuel group",The event described in this text is a strike.,0,1
event_test_175,175,mlburnham/scad_event_entailment,University students strike when police attempt to stop initiation rites for first-year classmates.,The event described in this text is a strike.,0,1
event_test_176,176,mlburnham/scad_event_entailment,"White-collar workers strike, protesting transferring jobs to other countries",The event described in this text is a strike.,0,1
event_test_177,177,mlburnham/scad_event_entailment,Students strike over legislation which gives greater control over the university to the central government.,The event described in this text is a strike.,0,1
event_test_178,178,mlburnham/scad_event_entailment,Baggage handlers of EgyptAir staged a strike,The event described in this text is a strike.,0,1
event_test_179,179,mlburnham/scad_event_entailment,Workers at Volkswagen AG strike for a pay increase.,The event described in this text is a strike.,0,1
event_test_180,180,mlburnham/scad_event_entailment,Around 1000 workers at the Australian owned Paladin Energy mine (Malawi's largest) began a strike to demand a 66% pay raise after Malawi devalued its currency by a third.,The event described in this text is a strike.,0,1
event_test_181,181,mlburnham/scad_event_entailment,Hundreds of policemen refused to enforce a government curfew and demonstrated in the capital.,The event described in this text is a strike.,0,1
event_test_182,182,mlburnham/scad_event_entailment,Workers staged a sit-in over pay at two AngloGold mines.,The event described in this text is a strike.,0,1
event_test_183,183,mlburnham/scad_event_entailment,ExxonMobil employees strike after dozens of local workers are laid off.,The event described in this text is a strike.,0,1
event_test_184,184,mlburnham/scad_event_entailment,"Transport workers went on strike to protest high fuel prices and police harassment, strike ended early after request from Muslim leaders ahead of religious holiday.",The event described in this text is a strike.,0,1
event_test_185,185,mlburnham/scad_event_entailment,"The immigration service strikes over back pay, stopping traffic on the river between Kinshasa and Brazzaville.",The event described in this text is a strike.,0,1
event_test_186,186,mlburnham/scad_event_entailment,Approximately 2000 judicial workers began an indefinite strike to demand that the conditions of a 2006 agreement with parliament that would have given them pay raises in 2006 and 2009. They were able to obtain a 21% pay raise.,The event described in this text is a strike.,0,1
event_test_187,187,mlburnham/scad_event_entailment,Miners strike at the local subsidiary of Canadian mining firm Kinross.,The event described in this text is a strike.,0,1
event_test_188,188,mlburnham/scad_event_entailment,About 100 public doctors staged a strike over provisions in their contracts.,The event described in this text is a strike.,0,1
event_test_189,189,mlburnham/scad_event_entailment,Gold miners went on strike arguing for higher wages and better working conditions,The event described in this text is a strike.,0,1
event_test_190,190,mlburnham/scad_event_entailment,Niger's 850 customs officers again go on strike over security issues.,The event described in this text is a strike.,0,1
event_test_191,191,mlburnham/scad_event_entailment,Public employees strike for high wages.,The event described in this text is a strike.,0,1
event_test_192,192,mlburnham/scad_event_entailment,130 Air Jamaica flight attendants went on strike to demand better pay.,The event described in this text is a strike.,0,1
event_test_193,193,mlburnham/scad_event_entailment,Kenyan tea producers strike over low pay for goods,The event described in this text is a strike.,0,1
event_test_194,194,mlburnham/scad_event_entailment,a transportation strike evolved into a spontaneous violent riot in which protesters clashed with police over fuel costs.,The event described in this text is a strike.,0,1
event_test_195,195,mlburnham/scad_event_entailment,Miners went on strike during the annual wage negotiations,The event described in this text is a strike.,0,1
event_test_196,196,mlburnham/scad_event_entailment,Students launch work stoppage to protest lack of educational resources and lack of teachers.,The event described in this text is a strike.,0,1
event_test_197,197,mlburnham/scad_event_entailment,"Citizens of Ondo state strike, demanding higher minimum wages",The event described in this text is a strike.,0,1
event_test_198,198,mlburnham/scad_event_entailment,"Aid workers strike, protesting killing of French aid worker",The event described in this text is a strike.,0,1
event_test_199,199,mlburnham/scad_event_entailment,"Fuel truck drivers strike, demanding higher wages and benefits",The event described in this text is a strike.,0,1
event_test_200,200,mlburnham/scad_event_entailment,Bus and taxi drivers strike over hike in fuel prices,The event described in this text is a strike.,0,1
event_test_201,201,mlburnham/scad_event_entailment,Civilians hold weekly strikes over fuel price increases.,The event described in this text is a strike.,0,1
event_test_202,202,mlburnham/scad_event_entailment,Road haulage drivers were on strike for a week to protest against extortion and violence committed by men of the Seleka rebel alliance,The event described in this text is a strike.,0,1
event_test_203,203,mlburnham/scad_event_entailment,Teachers strike for higher wages.,The event described in this text is a strike.,0,1
