source_id,source_event_text,text,gt_event_type
PLOVER-GSR01-AGREE-0023,said prepared to lift ban,"In an interview this weekend, President Abdelaziz Bouteflika said he is prepared to lift ban on Islamic Salvation Front (FIS) but not with its historical leadership.",AGREE
PLOVER-GSR01-AGREE-0024,agreed postpone demonstration,Leaders of the Azadliq (Freedom) opposition coalition agreed to postpone the demonstration in Baku until 9 November.,AGREE
PLOVER-GSR01-AGREE-0025,said will release,"The Fijian rebels said they will release Prime Minister Mahendra Chaudhry and more than 30 members of his government, whom they had taken hostage two weeks ago, on the weekend.",AGREE
PLOVER-GSR01-AGREE-0026,announced will return weapons seized,"The rebel Revolutionary United Front (RUF) announced it will return weapons and military equipment seized last year from United Nations peacekeepers, according to reports reaching here from the country's capital Freetown.",AGREE
PLOVER-GSR01-AGREE-0027,will evacuate settlements,"Under the disengagement plan, Israel will evacuate all 21 settlements in the Gaza Strip in mid-August, said spokesperson for the Israeli prime minister.",AGREE
PLOVER-GSR01-AGREE-0028,agreed lift embargoes sales,"The US Congress agreed to lift embargoes on pharmaceutical sales in late February to Iran, Libya, North Korea, Sudan, and with strings attached, Cuba.",AGREE
PLOVER-GSR01-AGREE-0029,agreed re-open borders to peackeepers,"Ethopia has agreed to re-open its borders to UN peackeepers, who are depolyed in the region to oversee a ceasefire between Ethiopia and its neighbor, Eritrea.",AGREE
PLOVER-GSR01-AGREE-0030,said would allow inspectors,"In a letter handed over to the United Nations on Monday, Iraq said it would allow the return of U.N. weapons inspectors ``without conditions'' to ``remove any doubts Iraq still possesses weapons of mass destruction.''",AGREE
PLOVER-GSR01-AGREE-0031,agreed to allow humanitarian access,"With the signing of a Memorandum of Understanding (MOU) on Cessation of Hostilities, the Sudanese government and SPLM/A have agreed to allow ``unimpeded humanitarian access to all areas and for people in need.''",AGREE
PLOVER-GSR01-AGREE-0032,agreed to ceasefire,Bosnia and Slovenia agreed to a ceasefire after two days of fierce fighting but media reports said sporadic clashes were still continuing.,AGREE
PLOVER-GSR01-AGREE-0034,says willing to withdraw troops,"Syria says it is willing to withdraw its troops from neighboring Lebanon, after fifteen years of effective military occupation.",AGREE
PLOVER-GSR01-AGREE-0035,will visit,"German Foreign Minister Oskar Fischer will visit Albania in June, the first Warsaw Pact foreign minister to do so since Tirana split with Moscow in 1961, the Albanian embassy said.",AGREE
PLOVER-GSR01-AGREE-0036,offered to negotiate,"On September 29, Putin offered to negotiate with the president of Armenia following the invasions of Dagestan.",AGREE
PLOVER-GSR01-AGREE-0037,accepted ending dispute,"Denmark today accepted a formula for ending its fisheries dispute with its European common market partners, government officials said.",AGREE
PLOVER-GSR01-AGREE-0038,would meet mediator,Afghan rebel leaders said on Wednesday they would meet U.N. mediator Diego Cordovez if he gave them a veto over any settlement reached in peace talks.,AGREE
PLOVER-GSR01-AGREE-0039,agreed mediation,"Israeli Prime Minister Ehud Barak has agreed to US mediation in the final status talks with the Palestinians, a senior Israeli official said.",AGREE
PLOVER-GSR01-AGREE-0040,will visit to mediate,"Gambian President Dawda Jawara will visit Mauritania and Senegal to mediate in a border dispute between the two West African neighbors, diplomatic sources said on Wednesday.",AGREE
PLOVER-GSR01-AGREE-0041,quoted saying ready to host a meeting between,King Hassan of Morocco was quoted today as saying he would be ready to host a meeting between an Israeli peace movement and the Palestine Liberation Organization (PLO).,AGREE
PLOVER-GSR01-CONSULT-0001,held meeting with,A group of Moroccan diplomats held their first meeting with President Obama at a lunch hosted by the Ambassador of Kingdom of Morocco.,CONSULT
PLOVER-GSR01-CONSULT-0002,telephoned,"U.S. Secretary of State Warren Christopher telephoned Russian Foreign Minister Andrei Kozyrev on Tuesday to discuss efforts to forge a peace settlement in former Yugoslavia, Itar-Tass news agency said.",CONSULT
PLOVER-GSR01-CONSULT-0003,visited,"Taiwan's Vice Foreign Minister visited Russia today, becoming the island's highest ranking government official to go there.",CONSULT
PLOVER-GSR01-CONSULT-0004,arrived,Iraqi President Saddam Hussein arrived in Amman on a previously unannounced visit on Wednesday.,CONSULT
PLOVER-GSR01-CONSULT-0005,hosted,Russian President Boris Yeltsin on Saturday hosted Japanese Prime Minister Ryutaro Hashimoto in this Siberian city for an informal meeting aimed at establishing close personal relations between the two leaders.,CONSULT
PLOVER-GSR01-CONSULT-0006,gave welcome,President Francois Mitterand gave a warm welcome on Thursday to South African leader F.W. de Klerk who is attempting to break his country's international isolation.,CONSULT
PLOVER-GSR01-CONSULT-0007,return to,"U.S. and Russian negotiators return to Geneva this week for talk on limiting the number of European-based nuclear missiles, an issue likely to dominate East-West relations this year.",CONSULT
PLOVER-GSR01-CONSULT-0008,undertook mediation,Arab League Secretary General Chadli Klibi undertook mediation mission between Syria and Palestinian leader Yasser Arafat.,CONSULT
PLOVER-GSR01-CONSULT-0009,launched mediation between,"Quatar's emir, Sheikh Hamad bin Khalifa al-Thani launched a mediation effort on Saturday between the Emirates and Saudi Arabia whose ties have been strained by Riyadh's new friendship with Tehran.",CONSULT
PLOVER-GSR01-CONSULT-0010,renewed negotiations,Israel and Lebanon renewed negotiations today on an Israeli troop pullback from Lebanon and their future relations.,CONSULT
PLOVER-GSR01-CONSULT-0011,held talks,"French National Assembly president Laurent Fabius and a group of deputies held talks with leaders of Romania's new government on Tuesday, the first high level Western delegation to visit Bucharest since last month's revolution.",CONSULT
PLOVER-GSR01-SUPPORT-0001,upgraded diplomatic ties,"Czechia and Albania have upgraded their diplomatic ties back up to ambassadorial level after an 18-year break, the official CTK news agency said on Wednesday.",SUPPORT
PLOVER-GSR01-SUPPORT-0002,praised,A top U.S. official today praised Haiti's efforts to improve its record on human rights and said it was an important partner for the United States.,SUPPORT
PLOVER-GSR01-SUPPORT-0003,welcomed statement,The German government today welcomed President Reagan's latest policy statement as proof of Washington's earnest wish for a settlement to be reached in U.S.-Soviet nuclear talks.,SUPPORT
PLOVER-GSR01-SUPPORT-0004,defended right of,"The United States on Thursday defended the right of Russia troops to fire protectively on militants in Azerbaijan and insisted unrest there reflected age-old ethnic tensions, not a fight for political independence.",SUPPORT
PLOVER-GSR01-SUPPORT-0005,defended against criticism,Palestinian leader Yasser Arafat defended Iraq and Libya on Friday against Western criticism of their arms industries and said the West was applying double standards on human rights.,SUPPORT
PLOVER-GSR01-SUPPORT-0006,urged support,"Arab League Secretary-General Chedli Klibi today urged the European Community to support the Palestinian Liberation Organization (PLO), which he said would create a favorable climate for peace talks.",SUPPORT
PLOVER-GSR01-SUPPORT-0007,mobilized support,"Saudi Arabia has mobilized pressure groups in the United States to help support the rights of Palestinians in their struggle against Israel, a top minister said in comments published Thursday.",SUPPORT
PLOVER-GSR01-SUPPORT-0008,established diplomatic ties,"Sri Lanka has established diplomatic ties with and opened an embassy in Tehran, the foreign ministry said on Wednesday.",SUPPORT
PLOVER-GSR01-SUPPORT-0009,apologized,"Argentina has apologized to Brazil for one of its gunboats intercepting a Brazilian ship in the Beagle Channel, disputed by Argentina and Chile.",SUPPORT
PLOVER-GSR01-SUPPORT-0010,announced forgive,A group of Yoruba leaders announced yesterday that they are willing to forgive Nigerian President Olusegun Obasanjo and queue behind him for a second term.,SUPPORT
PLOVER-GSR01-SUPPORT-0011,signed treaty,"Libyan leader Muammar Gaddafi and Bulgarian President Todor Zhivkov today signed a treaty of friendship and cooperation, the BTA reported.",SUPPORT
PLOVER-GSR01-SUPPORT-0012,signed agreement,"Czechia and China signed an agreement today to increase trade in 1983 by 50 percent compared with last year, the official Czechoslovak news agency Ceteka said today.",SUPPORT
PLOVER-GSR01-COOPERATE-0001,has been sharing expertise,Taliban ruled Afghanistan has been sharing expertise with the Liberation Tigers of Tamil Eelam according to a special report submitted to the Canadian Security Intelligence Service.,COOPERATE
PLOVER-GSR01-COOPERATE-0003,launched war games,"French and Egyptian warships on Monday launched 10 days of war games in the Mediterranean Sea, expected to be joined later by Italian and German vessels, the French embassy said Monday.",COOPERATE
PLOVER-GSR01-COOPERATE-0004,extradited to,"Zambia extradited suspected British militant Haroon Rashid Aswad to Britain on Sunday, a senior Zambian government official said.",COOPERATE
PLOVER-GSR01-COOPERATE-0005,shared evidence with,"Israeli intelligence officials have shared evidence with the U.S. about contacts between al Qaeda and senior members of Saddam Hussein's Ba'ath Party, according to governmental officials.",COOPERATE
PLOVER-GSR01-AID-0001,donated goods,"Doctors from two American aid groups donated and personally delivered $50,000 worth of goods to Baghdad University Medical School, risking as much as 12 years in prison and \$500,000 in fines.",AID
PLOVER-GSR01-AID-0002,gave dollars,The European Community on Monday gave the Ivory Coast 5.1 million dollars of aid for agricultural development projects.,AID
PLOVER-GSR01-AID-0003,continued to send arms,"The United States continued to send arms to Pakistan last year, a State Department Spokesman said Wednesday.",AID
PLOVER-GSR01-AID-0004,is providing military intelligence,"The United States is providing aerial photographs and other military intelligence to Macedonia which is preparing a major offensive against ethnic Albanian guerrillas, the Washington Post said Wednesday.",AID
PLOVER-GSR01-AID-0005,handed over medicine,"Swiss doctors handed over 700 kg of medicine to the Red Crescent in Bam, Iran, according to the Swiss Agency for Development and Cooperation.",AID
PLOVER-GSR01-AID-0007,evacuated wounded,U.N. helicopters evacuated the wounded from the besieged Bosnian town of Gorazde on Friday.,AID
PLOVER-GSR01-AID-0008,peacekeeping arrived in,"The first deployment of NATO peacekeeping troops have arrived in Bosnia, Defense Secretary William Perry said.",AID
PLOVER-GSR01-AID-0010,granted asylum,"Peru has granted diplomatic asylum to five Panamanian army officers holed up in a diplomatic residence since last month's U.S. invasion, the Peruvian embassy said on Tuesday.",AID
PLOVER-GSR01-AID-0011,granted asylum,"Uganda has granted political asylum to 18 Rwandan rebels who entered the country illegally two years ago and are wanted at home on treason charges, a United Nations official said on Friday.",AID
PLOVER-GSR01-CONCEDE-0001,conceded overhaul judiciary,President Dos Sontas has reportedly conceded at last to demands from National Union for the Total Independence of Angola (UNITA) to overhaul the judiciary.,CONCEDE
PLOVER-GSR01-CONCEDE-0002,taken steps enhance political freedoms,"President Omar Hassan al-Bashir, following the partial peace deal, has taken several tentative steps to enhance political freedoms and promote an image of openness and tolerance in Sudan.",CONCEDE
PLOVER-GSR01-CONCEDE-0003,cancelled restrictions language,The Latvian Constitutional Court cancelled restrictions on the use of the Russian language on national radio and television.,CONCEDE
PLOVER-GSR01-CONCEDE-0004,decided to allow participate elections,The Ivory Coast's Supreme Court decided to allow candidate Alassane Ouattara to participate in the country's upcoming elections.,CONCEDE
PLOVER-GSR01-CONCEDE-0005,lifted curfew,Serbia lifted a night curfew in Montenegro where 28 people have been killed in ethnic riots this year and the province was reported quiet on Sunday.,CONCEDE
PLOVER-GSR01-CONCEDE-0006,shortened curfew,President Omar El Bashir on Thursday shortened by one hour the nightly curfew imposed in Sudan after a June 30 coup toppled the civilian government.,CONCEDE
PLOVER-GSR01-CONCEDE-0007,eased emergency measures,"Serbia eased emergency measures on Wednesday in Montenegro province, the scene of ethnic violence last March, as authorities in Croatia cracked down on Serbian nationalists.",CONCEDE
PLOVER-GSR01-CONCEDE-0008,lifted emergency,"Sudan's government on Sunday lifted a state of emergency in West Darfur State that was imposed six months ago after bloody tribal clashes there, Omdurman radio reported Sunday.",CONCEDE
PLOVER-GSR01-CONCEDE-0009,announced called off strike,"The Nigerian Union of Teachers (NUT), the umbrella union for primary school teachers, announced Thursday that it has called off a four-day strike after deliberations with the Nigerian government.",CONCEDE
PLOVER-GSR01-CONCEDE-0010,accepted demands initiate political reforms,The Mozambique government on Thursday accepted demands from Shona rebels that it initiate political reforms.,CONCEDE
PLOVER-GSR01-CONCEDE-0011,approved recognizing victories elections,"Tuesday the Serbian parliament approved a ``special law'' recognizing victories by Zoran Djindjic's opposition coalition in November 17 municipal elections in 14 of the 18 most important Serbian cities, including Belgrade.",CONCEDE
PLOVER-GSR01-CONCEDE-0012,allowed Rally,"The Federal Minister for Interior Aftab Ahmad Khan Sherpao allowed opposition leader Maulana Fazl-ur-Rehman to bring out `Shan-e-Mustafa (SAW)' Rally after an agreement on carrying out a violence free protest demonstration, according to the Pakistani Federal Secretary Interior.",CONCEDE
PLOVER-GSR01-RETREAT-0009,received observers,"Kyrgyz Prime Minister Nikolai Tanaev received a mission of observers from the OSCE, informing them in detail on the economic situation of the country.",RETREAT
PLOVER-GSR01-RETREAT-0010,peacekeeping arrived,"A first patch of Bangladeshi peacekeeping troops arrived in Sierra Leone Tuesday, joining 12 unarmed military observers as the first element of an 800-strong Bangladeshi contingent due here, U.N. officials said.",RETREAT
PLOVER-GSR01-RETREAT-0012,Humanitarian access improved,Humanitarian access for the Darfur region has improved significantly since September as the Khartoum government tried to secure international favor.,RETREAT
PLOVER-GSR01-RETREAT-0013,opened to allow grain and flour to,"Uzbekistan finally opened the Friendship Bridge after four years to allow the delivery of 1,000 tons of grain and flour to Afghanistan, where millions of people are at risk of starvation as winter sets in, reports aid agencies.",RETREAT
PLOVER-GSR01-RETREAT-0014,declared ceasefire,The pro-Iranian Hizbollah (Party of God) group declared a unilateral ceasefire on Wednesday in south Lebanon after 12 days of battles with the Syrian-backed Amal militia.,RETREAT
PLOVER-GSR01-RETREAT-0015,lifted blockade,"The Israeli army lifted Friday a day-old blockade on Palestinian lorries passing through this crossing point between the Gaza Strip and the Jewish state, officials told AFP.",RETREAT
PLOVER-GSR01-RETREAT-0016,demobilized,"One third of ethnic Albanian guerrillas operating in Macedonia have been demobilized since the August 13 peace accord between Macedonian and ethnic Albanian political parties, two rebel commanders told AFP by phone Sunday.",RETREAT
PLOVER-GSR01-RETREAT-0017,surrendered town,"Five hundred Ugandan rebels surrendered last week in the eastern town in Soroti following a government offensive in the area, a local official said.",RETREAT
PLOVER-GSR01-RETREAT-0018,speeded withdrawal invasion,"The United States speeded up the withdrawal of some invasion forces from Panama on Wednesday, but defence officials cautioned that no deadline had been set for complete removal of the troops.",RETREAT
PLOVER-GSR01-RETREAT-0019,completed withdrawal,Bosnian Serbs said on Tuesday their forces had completed their withdrawal from the beseiged Bosnian town of Gorazde.,RETREAT
PLOVER-GSR01-RETREAT-0021,resigned allow first democratic elections,Lt. Gen. Prosper Avril resigned yesterday to allow Haiti's first democratic elections to take place.,RETREAT
PLOVER-GSR01-RETREAT-0022,paid compensation,"Uganda said on Sunday it had paid compensation to 67 elderly British nationals, most of the Asians, for assets they lost when former dictator Idi Amin expelled them 18 years ago.",RETREAT
PLOVER-GSR01-RETREAT-0023,resigned,Georgian President Eduard Shevardnadze resigned Sunday as the opposition threatened to storm his residence in Tbilisi.,RETREAT
PLOVER-GSR01-INVESTIGATE-0001,dispatched inspectors to,The IAEA has dispatched inspectors to Esfahan Uranium Conversion Facilities (UCF) in central Iran to monitor resumption of peaceful nuclear work at the plant.,INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0002,has sent ... to investigate,"The United Nations has sent 21 military and civilian personnel to Bosnia on Wednesday to investigate the feasibility of a 10,000-member peacekeeping force, a U.N. spokesman said on Monday.",INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0003,opened fraud investigations,"Judge Alejandro Rivera opened fraud investigations against 28 Chilean government officials suspected of taking kickbacks, the court said Friday.",INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0004,opened hearing interrogation techniques,Israel's high court opened a landmark hearing Wednesday into the legality of secret interrogation techniques used against Palestinian detainees.,INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0005,completed investigation,The Ceasefire Violations Committee (CFVC) has completed its investigation into an allegation by the Liberian Peace Council (LPC) that the NPFL had taken over the city of Greenville.,INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0006,has been put under investigation for rioting,"A US national has been put under investigation in Italy for her possible role in rioting during a G8 summit in Genoa last month, Ansa news agency reported.",INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0007,investigating alleged war crimes,"Croatia is investigating alleged war crimes by Croatian extremists against Serb civilians and prisoners and will bring suspects to trial, a Croatian official said.",INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0008,launched an investigation,"Serbian military police have launched an investigation into alleged crimes committed by Croat forces against ethnic Serb civilians and Montenegrin prisoners of war during the 1991-1995 Serbo-Croatian conflict, the newspaper Jutarnji list reported Thursday.",INVESTIGATE
PLOVER-GSR01-INVESTIGATE-0009,investigated welfare,"Members of the Association of African Jurists, a body linked to the Organization of African Unity, investigated welfare of nearly 2,000 Libyans, some of whom have been held as long as seven years.",INVESTIGATE
PLOVER-GSR01-DEMAND-0001,demanded,"Poland's parliament has demanded an immediate admission by Moscow that Soviet NKVD security forces murdered more than 15,000 captive Polish officers during World War Two.",DEMAND
PLOVER-GSR01-DEMAND-0002,issued must cooperate with inspectors,French President Jacques Chirac issued a stern reminder Saturday to Iraq that it must cooperate fully with UN inspectors probing suspect sites for weapons of mass destruction.,DEMAND
PLOVER-GSR01-DEMAND-0003,ordered questioning,"An Argentine judge has ordered former president Carlos Menem to appear October 16 for questioning in an investigation of illegal arms sales to Croatia and Ecuador in the 1990s, court sources said Wednesday.",DEMAND
PLOVER-GSR01-DEMAND-0004,declared must drop barriers exports,The Bush administration declared Tuesday that China must drop barriers to U.S. exports or face tariff penalties for maintaining unfair trade practices.,DEMAND
PLOVER-GSR01-DEMAND-0005,demanded cancel sell weapons,The PRC on Tuesday demanded that the US cancel plans to sell air-to-surface anti-tank weapons to Taiwan to avoid ``new damage'' to US-PRC relations.,DEMAND
PLOVER-GSR01-DEMAND-0006,reiterated must hand over alleged,A senior British minister reiterated that Libya must hand over alleged bombers of the U.S. airliner as he embarked on a trip to North Africa to seek Arab support for the demand.,DEMAND
PLOVER-GSR01-DEMAND-0007,issued demanding information,The rebel Kurdistan Workers' Party issued a declaration demanding that the Turkish government provide information on the safety of its leader Abdullah Ocalan.,DEMAND
PLOVER-GSR01-DEMAND-0008,demanded support from,Montenegro Municipality Association (AKK) officials demanded support from the Montenegro Assembly in regaining control over the properties that belonged to them before.,DEMAND
PLOVER-GSR01-DEMAND-0009,demanded refuse to recognize,"Greece bluntly demanded that its European Community partners refuse to recognize the Former Yugoslav Republic of Macedonia, on Greece's northern border, as long as it keeps that name.",DEMAND
PLOVER-GSR01-DEMAND-0010,demanded support statehood,Palestinian officials demanded Friday that the United States match the European Union's support for Palestinian statehood.,DEMAND
PLOVER-GSR01-DEMAND-0011,concluded must allocate resources to help,The Third World Water Forum concluded on Saturday that the US and other developed nations must allocate greater financial resources to help with the battle against the global water and sanitation crisis.,DEMAND
PLOVER-GSR01-DEMAND-0012,pushing hard support debt relief,According to reports the UK is pushing hard for the US support its debt relief plan to tackle poverty in Africa.,DEMAND
PLOVER-GSR01-DEMAND-0013,sought refuge,"Some 800,000 Iraqi Kurds sought refuge in Germany last month.",DEMAND
PLOVER-GSR01-DEMAND-0014,demanding protect,"Ethnic Albanians in south Serbia are demanding a U.N. military presence to protect them against a heavily armed ruling Serb minority and prevent a Bosnia-style civil war, but some foreign monitors are skeptical.",DEMAND
PLOVER-GSR01-DEMAND-0015,said must ensure security,"The Red Cross operating in Iraq said US and British forces must ensure security to allow emergency water, food, and medical supplies to reach the needy.",DEMAND
PLOVER-GSR01-DEMAND-0017,demanded control of Ministry,Ibo traditional elders have demanded that control of the Nigerian Interior Ministry be taken away from Hausa politicians in the next government.,DEMAND
PLOVER-GSR01-DEMAND-0018,demanded removal,Rwandan rebels demanded the removal of President Juvenal Habyariman and his ruling party at the fourth round of talks aimed at ending a 23-month civil war.,DEMAND
PLOVER-GSR01-DEMAND-0019,demanded elections,Former Socialist prime minister Andreas Papandreou demanded immediate elections after a special court cleared him of all charges in Greece's biggest corruption trial this century.,DEMAND
PLOVER-GSR01-DEMAND-0020,demanding abandon policy,Opposition groups in Zimbabwe are demanding that President Mugabe abandon his controversial policy of land confiscations.,DEMAND
PLOVER-GSR01-DEMAND-0021,demands rights,"The main Hutu rebel group, Forces for Defence of Democracy (FDD), insisted on its demands that Burundi's government grant the Hutu majority more rights.",DEMAND
PLOVER-GSR01-DEMAND-0022,announced must agree constitutional changes,Rwandan rebels announced that President Kagame and his Rwandan Patriotic Front must agree to major constitutional changes before they demobilize.,DEMAND
PLOVER-GSR01-DEMAND-0023,demanding autonomy,The Albanians of southern Serbia are demanding political and territorial autonomy from Serbian authorities.,DEMAND
PLOVER-GSR01-DEMAND-0024,demanded forsake program,The United States on Thursday demanded that the Democratic People's Republic of Korea (DPRK) forsake its nuclear program.,DEMAND
PLOVER-GSR01-DEMAND-0025,demanded end curbs press freedom,Human rights organization Amnesty International demanded that the Sudanese government end curbs on press freedom.,DEMAND
PLOVER-GSR01-DEMAND-0026,reiterated demand ease restrictions movement,The International Labor Office (ILO) reiterated its demand today that Israel ease restrictions on the movement of Palestinian workers.,DEMAND
PLOVER-GSR01-DEMAND-0027,pressuring to cancel strike,Iranian authorities have been pressuring workers of the United Bus Company of Tehran (Sharekat-e Vahed) to cancel the strike they have been planning for better pay and working conditions.,DEMAND
PLOVER-GSR01-DEMAND-0028,said must return helicopter,Russia said on Tuesday that Sudan must return a Mi-26 helicopter that was captured by the Sudanese authorities last week.,DEMAND
PLOVER-GSR01-DEMAND-0030,demanded allow humanitarian,"Kenzo Oshima, the United Nations Emergency Relief Coordinator, demanded parties to the conflict in Iraq to allow humanitarian workers the freedom of movement necessary for discharging their mandate.",DEMAND
PLOVER-GSR01-DEMAND-0031,demanded renounce armed struggle,Washington along with its allies demanded that Hamas renounce its armed struggle against Israel.,DEMAND
PLOVER-GSR01-DEMAND-0032,demanded withdrawal,"European Community foreign ministers demanded the withdrawal of Serbian forces from Bosnia-Herzogovina on Monday calling them an occupying army, diplomats quoted an EC declaration as saying.",DEMAND
PLOVER-GSR01-DEMAND-0033,demanded,Bosnian Serbs demanded a truce with Moslem forces in east Bosnia before allowing U.N. aid conveys to feed starving Moslem civilians in the region.,DEMAND
PLOVER-GSR01-DEMAND-0034,demanded meeting,"Serbia on Tuesday demanded a meeting of the U.N. Security Council to discuss Croatia's military advance into the Serb-held Krajina region, describing it as ``a serious challenge to the world community.''",DEMAND
PLOVER-GSR01-DEMAND-0035,said must reach agreement,British Foreign Secretary Jack Straw said on Friday that the Sudanese government and the rebels in Darfur must reach an agreement that stops the conflict for good before developmental assistance to the region is released.,DEMAND
PLOVER-GSR01-DEMAND-0036,said must be ready to mediate,Egyptian President Hosni Mubarak said here Wednesday that the US must be ready to mediate between Israelis and Palestinians as soon as the Israeli elections of January 28 are finalized.,DEMAND
PLOVER-GSR01-DISAPPROVE-0001,summoned to complain,"On Tuesday, Nigerian junior foreign minister Dubem Oniya summoned Niger's ambassador Brah Mohamane to complain of inaction over the gangs.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0002,denounced,Albania on Friday denounced as an ugly crime Serbia's suppression of ethnic Albanian unrest in Montenegro.,DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0003,accused,Zimbabwean Prime Minister Robert Mugabe today accused the United States of restoring the blackmail in the negotiations on independence for Namibia.,DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0004,has been accused misusing public funds,"Ousted president Jean-Bertrand Aristide has been accused of misusing up to US $50 million in public funds, much of it believed to have been embezzled, by current Haitian government officials.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0005,accused violating human rights,"Human rights watchdog Amnesty International accused the United States of violating human rights, ignoring international law and sending a ``permissive signal to abusive governments''.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0006,accused violating ceasefire,"The Sudanese government has accused Darfur rebels of violating a month-old ceasefire, a member of the Chadian team trying to broker a peace pact has said.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0007,blamed for bombing,"Palestinians blamed Israel for the bombing of Raed Karmi in the West Bank City of Tulkarm, which has set off a renewed wave of violence.",DISAPPROVE
PLOVER-GSR01-DISAPPROVE-0009,was arrested in collaborating,"A Christian missionary from Calgary was arrested in Lebanon for collaborating with Israel, according to the Canadian Press.",DISAPPROVE
