source_id,source_row,source_sentiment,source_fold,source_vader_sentiment,source_svm_sentiment,source_bert_sentiment,text,gt_pro_kavanaugh
kavanaugh_23,23,0,3,0.0,0,0,"RT @dbongino If I were Brett Kavanaugh I would be preparing to sue the living snot out of every liberal talking head, pundit, blogger, and media loon who accused him of being a rapist without either a law enforcement report, or basic evidence. #NewRules",1
kavanaugh_24,24,0,2,0.0,0,0,"RT @adamcbest Kavanaugh wanted to block a 17-year-old girl from having an abortion, which would’ve affected her for the rest of her life. Yet conservatives don’t want to hold Kavanaugh to his own standard, aruguing choices he made when he was 17 shouldn’t affect him for life. Seems unfair.",0
kavanaugh_25,25,0,1,0.0,0,0,"RT @mitchellvii I'm more concerned about how Judge Kavanaugh's wife and daughters feel than how Christine Ford feels. She's feeling \anxiety\""? I would too if I was about to perjure myself in front of the whole planet.""",1
kavanaugh_26,26,0,5,0.0,0,0,RT @NBCPolitics JUST IN: A top adviser helping lead the Senate Judiciary Committee's response to a sexual assault allegation against Judge Kavanaugh has resigned amid evidence he was fired from a previous job in part because of a sexual harassment allegation against him. https://t.co/RvAdEgqUPq,0
kavanaugh_27,27,0,4,1.0,0,0,RT @bennyjohnson Dr. Ford will testify that there were 4 people at the party where Kavanaugh allegedly assaulted her. All 4 have released statements. Not a single person supports Ford’s story. ❌ Mark Judge ❌ Patrick J. Smyth ❌ Leland Ingham Keyser(Ford’s lifelong friend) ❌ Brett Kavanaugh,1
kavanaugh_28,28,0,4,0.0,0,0,RT @GeorgeTakei This pathetic president is now attacking Dr. Ford personally. And McConnell said Kavanaugh will get confirmed no matter what. The only language these toads understand is power. So let’s use the power of our votes to strip them of their power in November. It is the only way.,0
kavanaugh_29,29,0,5,0.0,0,0,@paulsperry_ @RubyRockstar333 When nothing is proved by this Ford nut case Judge Kavanaugh needs to file a law suit for defamation of character. For the lies and pain caused to him and his family. These bottom feeders ( Democrats.) need to be taught a lesson and Feinstein should be removed from her seat!!!,1
kavanaugh_30,30,0,2,0.0,0,0,RT @lanebrooks There seem to be many reasons for an FBI investigation into Kavanaugh. Sex assault. Concealed records. Mysterious payments. And we already know he lies under oath. Why is the GOP trying to ram this clown down our throats? https://t.co/BtQgRUWxWJ,0
kavanaugh_31,31,0,2,0.0,0,0,"RT @charliekirk11 This is so much bigger than Kavanaugh This is the most visible &amp; consequential test of how the sinister left will do absolutely anything to maintain power and attack conservatives Lie, cheat, delay. Whatever it takes. We absolutely cannot allow them to win. Confirm Kavanaugh",1
kavanaugh_32,32,0,3,0.0,0,0,"RT @dbongino If I were Brett Kavanaugh I would be preparing to sue the living snot out of every liberal talking head, pundit, blogger, and media loon who accused him of being a rapist without either a law enforcement report, or basic evidence. #NewRules",1
kavanaugh_33,33,0,3,1.0,0,0,"RT @MartinWiener @BuzzPatterson @birdie1162 The two men and one woman Dr. Ford placed at the party denied anything ever happened. The woman, a lifelong friend of hers not only says it never happened but she has never even met Kavanaugh.",1
kavanaugh_34,34,0,4,0.0,0,0,"RT @JWGOP Given how close @EdWhelanEPPC is to Kavanaugh and the Federalist Society leadership, and also to the incompetent gang at the WH, it is impossible to believe Senate &amp; WH staff, Kavanaugh and his team, were not involved in Whelan's crazy and slanderous trip down conspiracy lane.",0
kavanaugh_35,35,0,1,0.0,0,0,RT @realPolitiDiva Christine Blasey Ford is holding our country hostage! You don’t get to make life-ruining accusations and make unreasonable demands on top of it! #HoldTheVote @ChuckGrassley ! Enough of this circus! The poor Kavanaugh family has suffered enough! #SaturdayMorning,1
kavanaugh_36,36,0,3,0.0,0,0,"RT @SRuhle THIS IS WHY GREAT JOURNALISM MATTERS- The guy was accused (&amp; subsequently fired) sexual harasser, worked for @ChuckGrassley &amp;the pr firm that stoked whelan’s bogus theory Thanks to @HeidiPrzybyla’s steller reporting (NOT ample vetting by GOP) he was FIRED https://t.co/q2LFAinkr5",0
kavanaugh_37,37,0,3,0.0,0,0,"RT @WendySiegelman Talk about burying the lede - Garrett Ventry a spokesman on Kavanaugh nomination for committee chaired by Grassley resigns after accusations of harassment - he's listed on zoom info as working for CRC Public Relations, the firm that helped Ed Whelan https://t.co/MJeRjDYaWq",0
kavanaugh_39,39,0,1,0.0,0,0,"RT @steph93065 Dr. Fraud's story is that that there were 4 people at the party where Kavanaugh allegedly assaulted her. 1) Brett Kavanaugh 2) Mark Judge 3) Patrick J. Smyth 4) Leland Ingham Keyser ALL 4 have now denied there was any such party. Meanwhile, Dr. Fraud is $400k richer.",1
kavanaugh_40,40,0,4,1.0,0,1,"RT @TheDailyShow Um, why are all of these arguments about whether Brett Kavanaugh is fit for the Supreme Court coming out during his confirmation hearing??? https://t.co/SVPfm6ImbQ",0
kavanaugh_41,41,0,1,0.0,0,0,RT @marklevinshow Is Susan Collins appalled at any of the outrageous statements by her Senate Democratic colleagues? There are so many it’s hard to keep track of them. Will she call them out? https://t.co/YNjArKLkFb,1
kavanaugh_42,42,0,3,0.0,0,0,"RT @dbongino If I were Brett Kavanaugh I would be preparing to sue the living snot out of every liberal talking head, pundit, blogger, and media loon who accused him of being a rapist without either a law enforcement report, or basic evidence. #NewRules",1
kavanaugh_43,43,0,1,1.0,0,0,RT @PattyArquette I am going to remind you @SenatorCollins and all @GOP of what I said weeks ago. You are hanging your hat on Kavanaugh and you YOURSELVES haven’t read his records because they aren’t available. Is this the man you want to stake your political careers on?,0
kavanaugh_44,44,0,1,,0,0,RT @gatewaypundit IT WAS ALL A DEMOCRAT PLOT: Christine Ford Adviser Told Democrats in July Call About Plot to Take Down Kavanaugh (AUDIO) https://t.co/ouzRHicYcT via @gatewaypundit,1
kavanaugh_45,45,0,1,1.0,0,0,"RT @raymysterio305 The Kavanaugh confirmation hearings has been turned into a MOCKERY by the BUFFONEROUS Democrats, as usual.. Ms Ford has put in front of our nation, a grade school allegation when she and Mr Kavanaugh were still playing with crayons. What is YOUR take? 🧐 Please Vote and Retweet",1
kavanaugh_46,46,0,1,1.0,0,0,"RT @RBReich A woman has accused a Supreme Court nominee of pinning her to a bed, groping her and covering her mouth when she screamed. She has provided therapist notes from years ago, taken a polygraph, and is willing to undergo an FBI investigation. McConnell wants to \plow right through.\""""",0
kavanaugh_47,47,0,1,1.0,0,0,RT @IngrahamAngle Emotional &amp; political extortion underway courtesy of left-wing activists rep’ing the Kavanaugh accuser. Time’s up.,1
kavanaugh_48,48,0,4,0.0,0,0,"RT @KimStrassel 1) Breaking, and a big deal: Fourth person that Ford named as present at infamous event denies even knowing kavanaugh, much less ever attending a party where he was present.",1
kavanaugh_49,49,0,4,0.0,0,0,"RT @charliekirk11 This is so much bigger than Kavanaugh This is the most visible &amp; consequential test of how the sinister left will do absolutely anything to maintain power and attack conservatives Lie, cheat, delay. Whatever it takes. We absolutely cannot allow them to win. Confirm Kavanaugh",1
kavanaugh_50,50,0,2,0.0,0,0,"RT @JWGOP Given how close @EdWhelanEPPC is to Kavanaugh and the Federalist Society leadership, and also to the incompetent gang at the WH, it is impossible to believe Senate &amp; WH staff, Kavanaugh and his team, were not involved in Whelan's crazy and slanderous trip down conspiracy lane.",0
kavanaugh_51,51,0,4,0.0,0,0,"RT @mitchellvii I'm more concerned about how Judge Kavanaugh's wife and daughters feel than how Christine Ford feels. She's feeling \anxiety\""? I would too if I was about to perjure myself in front of the whole planet.""",1
kavanaugh_52,52,0,3,1.0,0,0,"RT @guypbenson Hearing that the other woman at the alleged party (the one missing witness, as identified by the accuser) has come forward &amp; says she doesn’t know Kavanaugh &amp; has no recollection of attending any party that he did. Four alleged witnesses. All four do not corroborate her story.",1
kavanaugh_53,53,0,3,1.0,0,0,RT @mitchellvii THE AMUSING THING: Kavanaugh will still be confirmed. Democrats just lessened any chance of taking the House in November by acting like partisan clowns. They have just awoken our sleepy base. And now we're pissed.,1
kavanaugh_54,54,0,5,0.0,0,0,"RT @AlbertsonB2 My friend noted that a mutual friend seemed really upset the other day in response to Kavanaugh. I cautioned him, most of the women you know are about one conversation away from crying or screaming. I'm putting that out there as a PSA.",0
kavanaugh_55,55,0,2,0.0,0,0,"RT @dbongino If I were Brett Kavanaugh I would be preparing to sue the living snot out of every liberal talking head, pundit, blogger, and media loon who accused him of being a rapist without either a law enforcement report, or basic evidence. #NewRules",1
kavanaugh_56,56,0,5,0.0,0,0,RT @Can2geterdone 'Put a Bullet in Your Husband's Skull' US Marshals Investigating After Judge Kavanaugh's Wife Receives Violent Threats! The Leftists are coming unhinged and are being pushed over the edge by the Dembat party. This won't end well. @Potus #WalkAway https://t.co/VG1rmD7rj4,1
kavanaugh_57,57,0,4,0.0,0,0,"RT @charliekirk11 This is so much bigger than Kavanaugh This is the most visible &amp; consequential test of how the sinister left will do absolutely anything to maintain power and attack conservatives Lie, cheat, delay. Whatever it takes. We absolutely cannot allow them to win. Confirm Kavanaugh",1
kavanaugh_58,58,0,4,0.0,0,0,RT @Thomas1774Paine U.S. Marshals Probe Threats Against Kavanaugh Family: ‘F*** YOU AND YOUR RAPIST HUSBAND’ https://t.co/cAjiwK8q5y,1
kavanaugh_59,59,0,1,0.0,0,0,"If you think this is anything other than a show, a despicable play by you Democrats to try to keep Kavanagh from the Supreme Court you’re to dumb to have an opinion. You don’t give a sh!t when the wife of Keith Ellison accuses him of domestic violence! NO! He’s a democratic",0
kavanaugh_60,60,0,1,0.0,0,0,"RT @SarahPalinUSA After Booker Tries to Shame Kavanaugh, His OWN Skeletons Come Out of the Closet https://t.co/OVQT1f8tr6",1
kavanaugh_61,61,0,1,1.0,0,0,"RT @TalbertSwan During my grandmother’s generation, evangelicals preached against adulterers, fornicators, pedophiles and sexual predators. Today, they justify voting for them to be president, senators and Supreme Court justices. My, how times of changed.",0
kavanaugh_62,62,0,2,1.0,0,0,RT @mflynnJR The Republicans can certainly kiss the midterms goodbye if they blow this Kavanaugh confirmation.,1
kavanaugh_63,63,0,5,0.0,0,0,"RT @AnnCoulter Senator, she's not testifying. Her lawyers are stalling until they can find a willing stooge to make another non-disprovable charge against Kavanaugh. END THE MADNESS! VOTE MONDAY. https://t.co/TP3qMkshrr",1
kavanaugh_64,64,0,5,0.0,0,0,RT @RealJamesWoods Yawn. Yet another pump fake to try to get to the midterms without a vote on Kavanaugh. #MeTooHucksters https://t.co/zkVaNwGfKw,1
kavanaugh_65,65,0,5,1.0,0,0,"RT @RBReich A woman has accused a Supreme Court nominee of pinning her to a bed, groping her and covering her mouth when she screamed. She has provided therapist notes from years ago, taken a polygraph, and is willing to undergo an FBI investigation. McConnell wants to \plow right through.\""""",0
kavanaugh_66,66,0,1,0.0,0,0,RT @NBCPolitics JUST IN: A top adviser helping lead the Senate Judiciary Committee's response to a sexual assault allegation against Judge Kavanaugh has resigned amid evidence he was fired from a previous job in part because of a sexual harassment allegation against him. https://t.co/RvAdEgqUPq,0
kavanaugh_67,67,0,4,0.0,0,0,RT @maziehirono Chairman Grassley is now threatening to hold a vote on Brett Kavanaugh’s nomination on Monday unless Dr. Blasey Ford gives in to his demands. The 11 Republican men on the committee are treating this like a hostage situation. They just don’t get it.,0
kavanaugh_68,68,0,4,0.0,0,0,"RT @mikandynothem This is @SenGillibrand hugging worst offender of #MeToo movement, serial rapist Harvey Weinstein. Yet...she's voting against #Kavanaugh? You just couldn't make this stuff up if you tried! The presumption of guilt? #SaturdayMorning #MAGA #tcot #SaturdayMotivation #FirstDayofFall https://t.co/9ZNbq0q7Er",1
kavanaugh_69,69,0,5,0.0,0,0,"RT @C_3C_3 Christine Blasey Ford waited roughly... 35 years 420 months 12,775 days 306,600 hours 18,396,000 minutes Before she came forward just 7 days before the SCOTUS vote of Kavanaugh. She’s a RADICAL resister with 0 evidence &amp; the only 2 eye witnesses deny it. But it’s not a setup?",1
kavanaugh_70,70,0,4,1.0,0,1,"@DavidShuster @senjudiciary The Republicans hope to create a faux-judicial arena around Dr. Ford's trauma. They'll use the same \asked for it\"" and \""how bad could it have been\"" tactics that law enforcement has used, and then declare Kavanaugh \""innocent\"". She's wise to proceed cautiously.""",0
kavanaugh_71,71,0,1,0.0,0,0,"RT @JWGOP Given how close @EdWhelanEPPC is to Kavanaugh and the Federalist Society leadership, and also to the incompetent gang at the WH, it is impossible to believe Senate &amp; WH staff, Kavanaugh and his team, were not involved in Whelan's crazy and slanderous trip down conspiracy lane.",0
kavanaugh_72,72,0,1,1.0,0,0,"RT @TedGenoways On Sunday, before her name was public, Christine Blasey Ford alerted an associate via email that GOP and Federalist Society operative Ed Whelan had looked at her LinkedIn page. If Kavanaugh didn't assault ANYONE, how did he and associates know Ford's name? https://t.co/dfI8o3SuN1",0
kavanaugh_73,73,0,4,0.0,0,0,"RT @adamcbest Kavanaugh wanted to block a 17-year-old girl from having an abortion, which would’ve affected her for the rest of her life. Yet conservatives don’t want to hold Kavanaugh to his own standard, aruguing choices he made when he was 17 shouldn’t affect him for life. Seems unfair.",0
kavanaugh_74,74,0,4,1.0,0,0,"RT @aravosis @renato_mariotti just raised excellent point on CNN. If @ChuckGrassley isn’t careful, Dr Ford can simply go to Maryland and file charges against Kavanaugh. And then we’d have a sitting Supreme Court justice under investigation for attempted rape. Right before the midterms.",0
kavanaugh_75,75,0,5,0.0,0,0,"RT @dbongino Dear DC Republicans, You’re grossly misreading the country’s sentiments regarding the Kavanaugh confirmation. You’ve been more than accommodating to the accuser in this case but it’s now time to move on and vote. NO MORE DELAYS. If you fail to act there will be serious blowback.",1
kavanaugh_76,76,0,3,1.0,0,0,"RT @kylegriffin1 Dr. Ford considered leaving the country when she first thought Kavanaugh would be nominated to SCOTUS. \She was like, 'I can't deal with this. If he becomes the nominee, then I'm moving to another country,\"" her husband said. \""She wanted out.\"" https://t.co/LYCQlLcM76""",0
kavanaugh_77,77,0,5,0.0,0,0,RT @dbongino Is there ever going to come a day when Republicans stop pretending we lost the election? #Kavanaugh #Immigration #GovernmentSpending,1
kavanaugh_78,78,0,1,,0,0,RT @BuckSexton This is a mistake. You said Friday. She played games. Vote Monday. https://t.co/bWzHxwB9x9,1
kavanaugh_79,79,0,5,0.0,0,0,"RT @AshaRangappa_ Unfortunately, the precedent for digging into private sexual behavior well before taking their current position was established by...Judge Kavanaugh in his role on Independent Counsel Kenneth Starr's team investigating President Bill Clinton. #Karma https://t.co/c8jPCpFjAL",0
kavanaugh_80,80,0,5,1.0,0,0,RT @RevDrBarber Senator Susan Collins says she is appalled by Trump castigating Dr. Ford for her claim against Kavanaugh. Here’s the problem: too many are appalled by Trump’s tweets but accept &amp; support his policies.,0
kavanaugh_81,81,0,2,0.0,0,0,"RT @ProudResister Dear @SenatorCollins, We don’t want to hear that you are “appalled” that @realDonaldTrump attacked a sexual assault survivor on twitter. We want to hear that you are VOTING NO on Brett Kavanaugh. — Decent Americans",0
kavanaugh_82,82,0,1,0.0,0,0,"RT @AJentleson This is intentional. Ford holds enormous power &amp; Grassley can't stand it. This tweet and McConnell today saying they'll \plow right through\"" are meant to make her feel powerless. They know Kavanaugh's nomination won't survive her testimony and they're trying to intimidate her. https://t.co/P3Zcn2XJtY""",0
kavanaugh_83,83,0,3,0.0,0,0,"RT @strykyng Birds of a feather, they ALL have the STENCH of LIAR CON-MEN, beginning to see their desperate direction, cementing Kavanaugh's fate...lol https://t.co/hloJp0Gf5T",0
kavanaugh_84,84,0,4,0.0,0,0,RT @HeyTammyBruce This is clearly a charade. Ford’s own ‘witnesses’ have denied to Senate committee being at the party where she alleges the attack occurred. One identifies as a “lifelong friend” &amp; insists she was never at *any party* ever w the two of them 🤦🏻‍♀️ https://t.co/YsM9ieHM7R,1
kavanaugh_85,85,0,2,0.0,0,0,"RT @charliekirk11 This is so much bigger than Kavanaugh This is the most visible &amp; consequential test of how the sinister left will do absolutely anything to maintain power and attack conservatives Lie, cheat, delay. Whatever it takes. We absolutely cannot allow them to win. Confirm Kavanaugh",1
kavanaugh_86,86,0,1,0.0,0,0,RT @RealMAGASteve It’s safe to say those protesting against Kavanaugh don’t want to respond to questions about Keith Ellison’s alleged abuse of his former girlfriend. The double standards of the left includes picking and choosing the #metoo victims they want to believe. https://t.co/iiVBdOpNJe,1
kavanaugh_87,87,0,2,0.0,0,0,"RT @steph93065 Dr. Fraud's story is that that there were 4 people at the party where Kavanaugh allegedly assaulted her. 1) Brett Kavanaugh 2) Mark Judge 3) Patrick J. Smyth 4) Leland Ingham Keyser ALL 4 have now denied there was any such party. Meanwhile, Dr. Fraud is $400k richer.",1
kavanaugh_88,88,0,5,0.0,0,0,RT @Lawrence “Alcoholics Unanimous” is what Mark Judge called his high school friends. Dr Ford says Mark Judge helped Brett Kavanaugh sexually assault her while both boys were drunk. https://t.co/Ur1F0591wI,0
kavanaugh_89,89,0,1,1.0,0,0,RT @CASE103060 Thank you @AndrewCMcCarthy👉see also @WSJopinion The Presumption of Guilt. #SaturdayMorning #SaturdayMotivation @senjudiciary @LindseyGrahamSC Grassley’s Kangaroo Court https://t.co/j4308BCn2j,1
kavanaugh_90,90,0,5,1.0,0,0,"RT @johncardillo I just hope that when #Kavanaugh is seated on SCOTUS, he remembers daily what Democrats and leftist activists did to him and his family.",1
kavanaugh_91,91,0,2,1.0,0,0,"RT @NARAL “We are fifteen-year-old girls. Fifteen, The same age you were when seventeen-year-old Brett Kavanaugh assaulted you. Our hearts break for the fifteen-year-old girl who walked in, and how different that girl was who walked out.” https://t.co/o3quJ8hCnD #WeBelieveHer",0
kavanaugh_92,92,0,2,1.0,1,0,"RT @mitchellvii Simply put, Ms. Keyser does not know Mr. Kavanaugh and she has no recollection of ever being at a party or gathering where he was present, with, or without, Dr. Ford.",1
kavanaugh_93,93,0,1,0.0,0,0,"RT @evenbev @senorrinhatch There is no hurry. There are too many unanswered questions on Kavanaugh’s integrity. Perjury during these hearings, perjury in his earlier confirmation, shady financial disclosures, and now these allegations.",0
kavanaugh_94,94,0,5,0.0,0,0,"RT @dbongino If Brett Kavanaugh’s confirmation is derailed, while Keith Ellison becomes the lead law enforcement officer in his state, the Republican base’s anger at the Hill Republicans for their ineptitude is going to be VOLCANIC. #Kavanaugh",1
kavanaugh_95,95,0,5,1.0,0,0,RT @IngrahamAngle Emotional &amp; political extortion underway courtesy of left-wing activists rep’ing the Kavanaugh accuser. Time’s up.,1
kavanaugh_96,96,0,2,1.0,0,0,"RT @RogueSNRadvisor Putting aside everything else for a moment, Kavanaugh's murky financials are major, major red flags. Dark money. Unexplained debt payments. There is very clearly a concerted, monied effort running in the background. https://t.co/evicRbvMLp",0
kavanaugh_97,97,0,1,1.0,0,0,"RT @RealCandaceO #whyididntreportit Because it never happened, and I’m literally making it up so that I can help @TheDemocrats delay Brett Kavanaugh’s hearing. Thank you all for allowing me this safe space to share my non-story, 34 years later.",1
kavanaugh_98,98,0,4,1.0,0,0,RT @mitchellvii THE AMUSING THING: Kavanaugh will still be confirmed. Democrats just lessened any chance of taking the House in November by acting like partisan clowns. They have just awoken our sleepy base. And now we're pissed.,1
kavanaugh_99,99,0,5,0.0,0,0,RT @christinawilkie New: Trump HUD Secretary Ben Carson believes the Kavanaugh sexual assault allegations are part of a centuries old Socialist plot that began in England with something called the Fabian Society. https://t.co/ln3lGSlfC1,0
kavanaugh_100,100,0,1,0.0,0,0,"RT @LALewman @washingtonpost The only reason that I can think of for why the GOP is in such a rush to confirm Kavanaugh, is that they know there is much worse in his past that they don't want the public to find out about. #KavaNo https://t.co/PBjmxUmVT3",0
kavanaugh_101,101,0,4,1.0,0,0,"RT @tribelaw Whatever Dr. Blasey Ford decides about testifying despite the rigged process, and whatever the Senate does, what happened in MD isn’t going to stay in MD. Nor will Kavanaugh’s denial remain in the WH &amp; the Senate. It will reverberate “until the last syllable of recorded time.” https://t.co/O1b9AHnTz1",0
kavanaugh_102,102,0,5,0.0,0,0,RT @Elisa_freedom @mitchellvii Ford wants to testify Thurs b/c that will guarantee Kavanaugh can't be seated Oct 1st. This would likely mean he may not be confirmed at all and Dems can run on saving a SCOTUS SEAT. If the Republican leadership allows this travesty the base will erupt in anger.@ChuckGrassley,1
kavanaugh_103,103,0,3,1.0,0,0,"RT @WhitfordBradley For a guy who’s a judge, Brett Kavanaugh seems to really hate the idea of going through a fair, methodical process where information is gathered and opposing points of view are expressed so that we can find out the truth.",0
kavanaugh_104,104,0,3,0.0,0,0,"RT @BrentBozell MoveOn was created to \move on\"" from the Monica Lewinsky scandal. Who CARES who Clinton sexually harassed? And NOW they should be called Can't Move On....until Brett Kavanaugh is ruined. https://t.co/ficVZGaipg""",1
kavanaugh_105,105,0,5,1.0,0,0,"RT @JohnJHarwood tick-tock: 9/16 - Whelan starts research after WP names Ford to WH pre-publication 9/17 - Kavanaugh suggests mistaken identity to Hatch, WSJ editorializes 9/18 - Whelan predicts Kavanaugh vindication 9/19 - Hatch flack: “keep eye on Ed’s tweets” 9/20 - Whelan names classmate",0
kavanaugh_106,106,0,2,1.0,0,0,"RT @RealCandaceO #whyididntreportit Because it never happened, and I’m literally making it up so that I can help @TheDemocrats delay Brett Kavanaugh’s hearing. Thank you all for allowing me this safe space to share my non-story, 34 years later.",1
kavanaugh_107,107,0,2,1.0,0,0,"RT @WhitfordBradley For a guy who’s a judge, Brett Kavanaugh seems to really hate the idea of going through a fair, methodical process where information is gathered and opposing points of view are expressed so that we can find out the truth.",0
kavanaugh_108,108,0,4,0.0,0,0,"RT @not_p_harris @ChuckGrassley A guy on your comms team works for the PR company that helped Ed Whelan with his \evil twin\"" BS theory to defend Kavanaugh. You're not running a confirmation investigation: you're leading Kavanaugh's coverup.""",0
kavanaugh_109,109,0,3,0.0,0,0,"RT @PhillipVote2018 @realDonaldTrump Mitch McConnell said “Kavanaugh will be a Surpreme Court Justice,” without hearing the testimony of Dr. Ford. The Majority of Americans are determined to oust his Ass from his position of Senate Majority Leader. Mitch McConnell needs to step down. #VoteDemocrats #VoteNovember",0
kavanaugh_110,110,0,3,0.0,0,0,RT @ian_mckelvey Fixed it for you: “The bullshit accusations against Kavanaugh have men more afraid than ever” https://t.co/80cFg8Asus,1
kavanaugh_111,111,0,2,0.0,0,0,"RT @mikandynothem This is @SenGillibrand hugging worst offender of #MeToo movement, serial rapist Harvey Weinstein. Yet...she's voting against #Kavanaugh? You just couldn't make this stuff up if you tried! The presumption of guilt? #SaturdayMorning #MAGA #tcot #SaturdayMotivation #FirstDayofFall https://t.co/9ZNbq0q7Er",1
kavanaugh_112,112,0,5,1.0,0,1,"@neeratanden And we are supposed to believe that the Supreme Court will be a \check\"" on the power of the Executive Branch as intended? It appears that they now work hand in hand.""",0
