source_country,source_row_id,text,source_text_processed,source_maxscore,source_sentiment,gt_uncivil
USA,23,@SenSanders congrats on becoming getting into your favorite club the 1%ers!,congrat get favorite club,0.176759371258445,0.4588,0
USA,24,There ought to be a law against this behavior! Should be criminal!,ought law behavior criminal,0.122511513899035,-0.5267,0
USA,25,Hope you were proud of the language you use. What a great role model. Is this now acceptable language for our children?,hope proud language use great role model acceptable language child,0.148383477948919,0.9081,0
USA,26,There are 1000s unable to pay their hospitals bills within 10 miles of your studio - take no salary until all are cared for. #putuporshutup,unable pay hospital bill mile studio salary care putuporshutup,0.11105831376637,0.4215,0
USA,27,what are you on....obozo care was the biggest transfer of wealth to the poor...Saul Alinsky would be proud!,obozo care big transfer wealth poor saul alinsky proud,0.145613420356891,0.7506,0
USA,28,"Reach across the isle, make it hip again",reach isle hip,0.091555211418551,0.0258,0
USA,29,Um watching John McCain right now... he seems to have lost his freaking mind.,um watch john mccain right lose freaking mind,0.199390231333069,-0.6705,0
USA,30,"Health Care=Medicaid,risk pools,premiums,catastrophic care,tort reform,pharma.Recommend Mayo CEO J Noseworthy",health care medicaid risk pool premium catastrophic care tort reform pharma recommend mayo ceo j noseworthy,0.108066441674641,0.5574,0
USA,31,"No \journalism\"" degree. Hers is in film, I believe.""",journalism degree film believe,0.112949237621125,0.0,0
USA,32,"@SenAngusKing Subtle, dry, brilliant...! You are one of my heroes, sir.",subtle dry brilliant hero sir,0.133572772703321,0.8126,0
USA,33,"These are the kids you are killing by voting to destroy the ACA, @SenToomey. Srsly, how do you sleep?",kid kill vote destroy aca srsly sleep,0.177929292413028,-0.8481,1
USA,34,"You, sir, are a plague on humanity.",sir plague humanity,0.095901579531853,0.0,1
USA,35,"FEMA?!?! It's hurricane season, Bobby! @GOP controls all 3 branches of govt., why can't you get anything done?",fema hurricane season bobby control branch govt,0.107292149438749,0.0,0
USA,36,"Democrats are criminals: David Simon: \Pick Up a G*ddamn Brick\"" if Trump Fires Robert Mueller""",democrats criminal david simon pick brick trump fires robert mueller,0.130633779416088,-0.5267,1
USA,37,Bernie wasn't there? Haha. Why the fuck are you lying?,bernie haha fuck lie,0.228119241060559,-0.128,1
USA,38,We want Health Care! Don't want #TrumpCare! @PADems @SIN_alise @GovernorTomWolf @HarrisburgMag @SenBobCasey @RepMikeHanna @RepPattyKim,want health care want trumpcare,0.15349606555509,0.5859,0
USA,39,"More aptly, can they \listen\""...\""hear\"" & learn? Sadly, it will take more than this. Much more. Another Obama-wanna-b goes down. Go figure!""",aptly learn sadly obama wanna b go figure,0.174242997908041,-0.4215,0
USA,40,All because of this man and his focus to destroy all things fake and fakely... @realDonaldTrump,man focus destroy thing fake fakely,0.192635554015024,-0.765,0
USA,41,"@SenMarkey I just saw you on @chrislhayes and Bravo, Sir!!! you are light at a dark time.",see bravo sir light dark time,0.138978021062648,0.0,0
USA,42,@SenSchumer U & your posse didn't read #Obamacare b 4 u passed it so why do u care about #Trumpcare or the #HealthcareBill !,u posse read obamacare b u pass u care trumpcare healthcarebill,0.117699218285541,0.4939,0
USA,43,Have you been self-insured? Or have you always had employer-provided insurance?,self insure employer provide insurance,0.162873042454076,0.0,0
USA,44,"#Senate Friday's \Morris Alaska Report\"" Covers US Senator Lisa Murkowski's Juneau Address & Session... @LisaMurkowski""",senate friday morris alaska report covers senator lisa murkowski juneau address session,0.110409611592537,0.0,0
USA,45,McCain is Batshit crazy.. a PTSD Warmonger and the reason I had to vote for Obummer in 2008.. what a Piece of Feces,mccain batshit crazy ptsd warmonger reason vote obummer piece feces,0.177154315654351,-0.743,1
USA,46,Old people in Gov't are fine with me. It just shouldn't be ALL old people*. *old white men.,old people fine old old white man,0.158212220905062,0.2023,0
USA,47,".@SenatorCarper, the time is coming to stand up to the ACA repeal- we need u to stay committed to #FilibusterByAmendment. Don't let us down!",time come stand aca ne u stay committed filibusterbyamendment let,0.143389657922121,0.2732,0
USA,48,Typically when I drink wine I just yell at people trying to make @SenWarren a thing,typically drink wine yell people try thing,0.192635554015024,0.0,0
USA,49,"Look, Greta, Like him or not, he is doing the massive job it takes to clean up the scum left by the former administration.",look greta like massive job take clean scum leave administration,0.205565679438135,0.6124,0
USA,50,He was a alt-left @SenSanders supporter! #shooting,alt leave supporter shoot,0.174711666123844,-0.128,0
USA,51,Those two look like goobers that want to do disgusting things to your baby. This is what's wrong with politics.,look like goober want disgusting thing baby wrong politic,0.210711880401798,-0.5719,0
USA,52,There R many Californians who don't feel it's their responsibility 2 pay for someone else's healthcare or B forced to buy it! Communism!,r californians feel responsibility pay healthcare b force buy communism,0.140292249681099,-0.1027,0
USA,53,I'm sick of apologists for someone who can't control their behavior better than my 4 year old grandson,sick apologist control behavior better year old grandson,0.178364540736251,-0.1027,0
USA,54,She had a fair point,fair point,0.102874356688877,0.3182,0
USA,55,Yet birth control is your issue. Your shining issue. Please. It's a control issue. Period,birth control issue shining issue control issue period,0.14834002899757,0.0,0
USA,56,@KamalaHarris Do you have a stance on S338 (Scientific Integrity Act)? Got no response when I called your office,stance scientific integrity act get response call office,0.176759371258445,0.3818,0
USA,57,"I'd throw food at them, but we can't afford to. Signed, disgusted member of the peanut gallery.",throw food afford sign disgusted member peanut gallery,0.178681657247913,-0.5267,0
USA,58,#Conservatives demand REAL #REFORM 2 #McConnell's phony #ObamaCareLite @McConnellPress @SenateGOP @freedomcaucus,conservatives demand real reform mcconnell phony obamacarelite,0.177773778767772,-0.128,0
USA,59,"You are already old, but do not you pity the young who will burn in nuclear fire because of your anger?",old pity young burn nuclear fire anger,0.153004918246898,-0.8074,0
USA,60,"Tjose aren't men, those are spineless GOP",tjose man spineless gop,0.176631717298415,0.0,0
USA,61,"He is unfit, period! Needs to be removed ASAP! @SpeakerRyan @SenSchumer How much damage needs to be done to this country before you do this?",unfit period need remove asap damage need country,0.14834002899757,-0.4939,0
USA,62,The US doesn't come up with all of the new drugs and surgical procedures. I'm in the healthcare industry by the way. How about you?,come new drug surgical procedure healthcare industry way,0.147638746040357,0.0,0
USA,63,Still waiting for my ownership of his homes,wait ownership home,0.129688026535558,0.0,0
USA,64,"I'm with all of you in spirit Sen Chuck!Ryan apparently lives in an alternate universe with Rhe Dumpster, can't tell fact from fiction! UGH!",spirit sen apparently live alternate universe rhe dumpster tell fact fiction ugh,0.197913135966532,-0.4019,0
USA,65,The Swamp is pulling out all the stops 2 coerce @SenDeanHeller to vote yes on #AHCA Let him know majority wants a NO vote #HellerVoteNo,swamp pull stop coerce vote yes ahca let know majority want vote hellervoteno,0.179751682303409,0.2023,0
USA,66,Shame your selling it back to Russia,shame sell russia,0.161111867049768,-0.4767,0
USA,67,u are the & P. Ryan who want to leave millions without healthcare. It's noting short of premeditated legal murder. Blood on your hands,u ryan want leave million healthcare note short premeditated legal murder blood hand,0.174711666123844,-0.2263,0
USA,68,He deserved them. He was beyond wrong.,deserve wrong,0.177710485542312,-0.4767,0
USA,69,Dude seems coked out of his mind. Sessions should start speaking really slow to mess with him,dude coke mind session start speak slow mess,0.209126290948053,-0.3612,0
USA,70,"Unless @SenJohnMcCain @sengraham2016 have something new & productive to say, these repetitive messages are useless. ...",new productive repetitive message useless,0.18746068438864,-0.5859,0
USA,71,"Mr. President, could you possibly make this healthcare bill \better\"" and keep Ryan far, far away?""",president possibly healthcare bill good ryan far far away,0.145447383660826,0.4404,0
USA,72,@SenDeanHeller your a liberal prick! we the people what you gone! Now!,liberal prick people go,0.276899527689976,-0.34,1
USA,73,Now I'm wondering if the Special Counsel & his team will also find an offshore account in your name too? Wouldn't surprise me! #Perjury,wonder special counsel team find offshore account surprise perjury,0.140311292782416,0.2263,0
USA,74,"What lol. I guess let's end police, fire, road maintenance, education... I hope you can grow your own food too.",lol gues let end police fire road maintenance education hope grow food,0.160035091978952,0.5106,0
USA,75,@EricTrump congrats u won't have this problem but this kid doesn't matter right?,congrat u will problem kid matter right,0.191522744882326,-0.3818,0
USA,76,"@SenSanders poor old thing, you are deranged. So sad!",poor old thing derange sad,0.192635554015024,-0.7351,0
USA,77,"From\Why can't we all get along\"" to \""Why can't we be civil?\""in five moths. Next \""Why can't we stop the violence and hatred.\""Sad.Pls save us.""",moth stop violence pls save,0.178284319500597,-0.4215,0
USA,78,Your name is an oxymoron,oxymoron,0.142385332283374,-0.128,0
USA,79,Past time to fire this idiot.,past time fire idiot,0.199105522049739,-0.6908,1
USA,80,"And he'll hand you a full adult diaper right back at ya' . !! Look out , it a big Load I hear from Russians. Navarro is a dope",hand adult diaper right ya look big load hear russians navarro dope,0.191522744882326,0.4939,1
USA,81,Obstruct? Repugnicans have all three houses/Only traitor trump could both houses of Congress and still be a lame duck//Vlad,obstruct repugnicans house traitor trump house congress lame,0.183717362850215,-0.4215,0
USA,82,Can you hear us now?@Sen_JoeManchin #noACP #noMVP #noMXP #timetoswitch #renewablesaredoable,hear noacp nomvp nomxp timetoswitch renewablesaredoable,0.148086953330793,0.0,0
USA,83,"Here's another image that celebrates independence: Norman Rockwell's \Freedom of Speech,\"" depicting a town hall meeting.""",image celebrate independence norman rockwell freedom speech depict town hall meeting,0.121002719987146,0.836,0
USA,84,"@myUHC went from operating in 34 states to 3, what do you think happened to those individuals healthcare?",go operate state think happen individual healthcare,0.182179880565193,0.0,0
USA,85,@MartinHeinrich keep asking the hard questions. I appreciate your hard work. Can we impeach Mitch McConnell?,ask hard question appreciate hard work impeach mitch mcconnell,0.162435689760191,0.2263,0
USA,86,Did you just figure that out? Been wondering when you idiots would figure that out.,figure wonder idiot figure,0.199105522049739,-0.5106,1
USA,87,YES!!!!! This is so much greater than just Michigan and the other states referenced. PLEASE CONTINUE YOUR BATTLE- thank you,yes great michigan state reference continue thank,0.130839012865636,0.8519,0
USA,88,The Senate needs to get out of the healthcare business altogether. It is NOT a power delegated to the federal government.,senate need healthcare business altogether power delegate federal government,0.142736150237771,0.0,0
USA,89,"If you loved Bernie so much, you'd have figured out how to support him. Funny, Bernie wasn't too pure to crash the Dems, but Bros too pure",love bernie figure support funny bernie pure crash dems bros pure,0.172556722199846,0.7964,0
USA,90,Commentators on @CNN last night proposed distrust of Obama admin as reason. Seriously? Political dilettantes in the White House = disaster.,commentator night propose distrust obama admin reason seriously political dilettante white house disaster,0.181903733496215,-0.8225,0
USA,91,And yet my #Georgia senator @sendavidperdue is still shilling for @realDonaldTrump. WTF is that about?,georgia senator shill wtf,0.164447337794119,-0.5859,0
USA,92,Why are you holding ZERO committees for the ACHA? The Dems held over dozens for the ACA. Don't be a hypocrite. Texans deserve better....,hold zero committee acha dems hold dozen aca hypocrite texans deserve good,0.202229203519938,0.4404,0
USA,93,This 4th of July - let's thank those who've fought for our freedom & celebrate that what unit...,july let thank fight freedom celebrate unit,0.143389657922121,0.8316,0
USA,94,Ron Wyden you are a moran this was said in 2010,ron wyden moran say,0.144022875602395,0.0,1
USA,95,Would this be our presidents apprenticeship program?,president apprenticeship program,0.086556709419664,0.0,0
USA,96,@SpeakerRyan @GrahamBlog @POTUS @SenateMajLdr @GOP hey aholes. You might want to wake the hell up & defend the Potus that WE boted for,hey ahole want wake hell defend potus bot,0.203317428681726,-0.6486,0
USA,97,That's scary that there's 60 million Americans that are insane or inbred or racist woah! Thanks for the #fakenewsalert,scary million americans insane inbred racist woah thank fakenewsalert,0.248868544905187,-0.8126,1
USA,98,Just how Obama had to clean up Bush's mess...Kamala will have to clean up Ryan's mess!,obama clean bush mess kamala clean ryan mess,0.186353542964899,0.1027,0
USA,99,You're not entitled to the labors of other individuals. That's called slavery.,entitle labor individual call slavery,0.153447739217729,-0.7003,0
USA,100,The Health 202: Senate Republicans are not being transparent on health care @senrobportman Has 2be made transparent,health senate republicans transparent health care transparent,0.108066441674641,0.4939,0
USA,101,"That's right, 15 of the 19 bombers involved in 9/11 were Iranian Shia terrorists. Saudi Arabia has nothing to do with it.",right bomber involve iranian shia terrorist saudi arabia,0.191522744882326,-0.6908,0
USA,102,Great tweets this AM. Right on message & what everyone needs to know. Thank U for being U & all that U do to #MAGA. @SenDeanHeller,great tweet right message need know thank u u u maga,0.191522744882326,0.765,0
USA,103,"So, @RoyBlunt @RepHartzler, any comments about the behavior of the President today? Or should I consider silence to be tacit support?",comment behavior president today consider silence tacit support,0.137124747419523,0.4019,0
USA,104,Yet your vocality on the issue has been very suspect... Let's discuss this at a #TownHall,vocality issue suspect let discuss townhall,0.143389657922121,-0.296,0
USA,105,She dances like a monkey & beats her bongos. All for her captive audience & definitely not for American justice. She made a mockery of that.,dance like monkey beat bongos captive audience definitely american justice mockery,0.17950232590387,0.743,1
USA,106,SO AGREE. RESIST. PERSIST.,agree resist persist,0.111945275152235,0.3612,0
USA,107,When justice has been served.,justice serve,0.056794814435563,0.5267,0
USA,108,Harris shot out questions because she wanted him to answer sloppily so she could later come back & accuse him of lying. #witchhunt,harris shoot question want answer sloppily later come accuse lying witchhunt,0.21826739436631,-0.743,0
USA,109,Never enough for you is it DICK? What's your boat worth,dick boat worth,0.261613660336792,-0.34,1
USA,110,I just had leftovers for dinner. #USA,leftover dinner usa,0.12782188166112,0.0,0
USA,111,I BEG Everyone To Be There!! #TheResistance,beg theresistance,0.115540467813763,0.0,0
USA,112,Just reminding you of ur misleading prop 57 & who it favors,remind ur mislead prop favor,0.162081064070436,0.4019,0
USA,113,"@sherpeace Unfortunately, Miss Feinstein, that's the rub of this BS admin. DT and the GOP simply don't care. They're rich!",unfortunately miss feinstein rub bs admin dt gop simply care rich,0.156040002203841,0.5859,1
USA,114,Bernie you are nothing but a crazy old commy who sold out to the Democrats.,bernie crazy old commy sell democrats,0.170696303941345,-0.34,1
USA,115,Opioids crisis? You mean harboring and sheltering criminal illegal entrants into the US from ICE?,opioids crisis mean harbor shelter criminal illegal entrant ice,0.190766950671424,-0.9022,0
USA,116,Not to worry...his brain is shifting!,worry brain shift,0.134536368356179,-0.4404,0
USA,117,I'm not from California but Oregon it has been an absolute pleasure watch you do your job and do it well with poise and grace.,california oregon absolute pleasure watch job poise grace,0.183598515643669,0.7579,0
USA,118,.@SenCapito 2/3 of people in nursing homes rely on #Medicaid. Pls #savegranny & ur political career. @agendaproject,people nursing home rely medicaid pls savegranny ur political career,0.161976067052448,0.0772,0
USA,119,Thank you @SenJeffMerkley for recognizing Mercy Corps and @nealkg with the 2017 Bending Toward Justice award.,thank recognize mercy corps bending justice award,0.121451731151545,0.8979,0
USA,120,I don't agree with the Bill but Rand Paul is by far the most articulate Senator in his opinions and perspective that I have heard to date.,agree bill rand paul far articulate senator opinion perspective hear date,0.148086953330793,0.3612,0
USA,121,A Libertarian I know says he's against aid anywhere in the world. People should die in places w natural disasters & quit living there.,libertarian know say aid world people die place w natural disaster quit live,0.179751682303409,-0.6808,0
USA,122,"And either way, his hypocrisy is so blatant he makes me wanna vomit. I know many people who voted for BS in the primary who hate him now.",way hypocrisy blatant make wanna vomit know people vote bs primary hate,0.179751682303409,-0.5719,0
USA,123,Yep. About 150. You got to do better than that. You can't make everyone happy.,yep get good happy,0.176759371258445,0.8316,0
USA,124,It's a doozie. I feel saddened for the elderly and the impoverished. Women loose out as well.,doozie feel saddened elderly impoverished woman loose,0.150877284235845,-0.6908,0
USA,125,Wow. Imagine that. Useless non productive slugs living off hard working taxpayers who pay for all those bennies learning efficiency,wow imagine useless non productive slug live hard work taxpayer pay bennie learn efficiency,0.198386450841797,0.4019,1
USA,126,Stand up against Hollywood's political agenda,stand hollywood political agenda,0.116629596695475,0.0,0
USA,127,"Q3: Will the Senator commit to vote against any bill that will reduce affordability TX residents who are low income, rural, over 55? 7/",senator commit vote bill reduce affordability tx resident low income rural,0.095281154558864,0.3818,0
USA,128,"@SenatorCollins Thank you, Senator Collins. My son lives in Maine and loves it. I cannot vote for you but I encourage his family to do that.",thank senator collins son live maine love vote encourage family,0.111893425931492,0.875,0
USA,129,.@SenatorDurbin The problem is much bigger than failing exchanges. HDHPs in employer-sponsored plans destroy people.,problem big fail exchange hdhp employer sponsor plan destroy people,0.158212220905062,-0.8658,0
USA,130,@SenSanders I can't believe I nearly voted for you - now Im glad I abstained from this duopolous system of tyranny. I wonder how many... 1/2,believe nearly vote be glad abstain duopolous system tyranny wonder,0.140311292782416,0.4588,0
USA,131,"Yeah. Take healthcare away from 23,000,000, Senator Heller. That will supersede everything else you've done when history is written!",yeah healthcare away senator heller supersede history write,0.145027461215404,0.296,0
USA,132,No match for you Kamala!,match kamala,0.069843824952443,0.0,0
USA,133,@SenJohnMcCain The world thanks you for your service. #HeroesNeverDie. Remember u served 4 country not party. America needs u again. [?],world thank service heroesneverdie remember u serve country party america need u,0.142736150237771,0.6369,0
USA,134,".@RoyBlunt on Trump education budget: \The kinds of cuts proposed in this budget will not occur.\""""",trump education budget kind cut propose budget occur,0.162621058548443,0.3182,0
USA,135,"What is that thing called, when you give criminals $ and then they release prisoners?",thing call criminal release prisoner,0.192635554015024,-0.7845,0
USA,136,"and while we are thinking of what we are leaving for the next gen, will we have a clean earth & clean water to leave for them?",think leave gen clean earth clean water leave,0.182179880565193,0.6124,0
USA,137,Trump is trying to shut down the free press and fill the USA's Justice Dept w/ ppl who r personally loyal to Trump and not the law. Scary.,trump try shut free press fill usa justice dept ppl r personally loyal trump law scary,0.229799325112232,0.765,0
USA,138,@SenFeinstein should be commended as appearing to be the ONLY Dem NOT jumping on the @POTUS WITCH HUNT,commend appear dem jump witch hunt,0.14612233375263,0.1027,0
USA,139,Thank you. I would like to see real consequences.,thank like real consequence,0.17950232590387,0.6124,0
USA,140,jerry moran's next election is 5 1/2 years away. also msnbc just gave this guy a show for some reason,jerry moran election year away msnbc give guy reason,0.194514626046279,0.0,0
USA,141,"I read it. Seems like Trump has work to do, and Comey was lolly gagging. Is this guilty until proven guilty? Lol",read like trump work comey lolly gag guilty prove guilty lol,0.17950232590387,-0.4019,0
USA,142,You're just plain wrong & you're parroting a false narrative...,plain wrong parrot false narrative,0.177710485542312,-0.4767,0
USA,143,"\Shouldn't stay up late watching the Diamondbacks\"" says @SenJohnMcCain #PissPoorExcuse the #ComeyHearings was on your calendar #DoYourJob""",stay late watch diamondbacks say pisspoorexcuse comeyhearings calendar doyourjob,0.144022875602395,0.0,0
USA,144,So embarrassing and backward thinking. We need forward thinking leaders.,embarrassing backward thinking ne forward think leader,0.183851760085004,-0.3818,0
USA,145,Thanks to the Capitol Police and Virginia Police It could have been so much worse.,thank capitol police virginia police bad,0.156619263334637,-0.25,0
USA,146,That's not true. People always had care. They just never were forced to buy insurance. They went to the Eroom and got care.,true people care force buy insurance go eroom get care,0.176759371258445,0.8481,0
USA,147,Thank you! Wish our representatives in Florida would show same support.,thank wish representative florida support,0.117125859363831,0.7845,0
USA,148,"Under @SenToomey logic, let's promise the rich a tax cut and just don't give it to them...#MAGALOL",logic let promise rich tax cut,0.156040002203841,0.5859,0
USA,149,I'm not bluffing. I won't vote for Bernie or his candidates. Oppression is oppression no matter who is doing it.,bluff will vote bernie candidate oppression oppression matter,0.13609224833497,0.0258,0
USA,150,I don't agree with you on a lot of things but on this I support you 100% everyone vote no on trumpcare or McConnell care either way vote no,agree lot thing support vote trumpcare mcconnell care way vote,0.192635554015024,0.8126,0
USA,151,@VP @SpeakerRyan @SenRubioPress A SAD DAY IN OUR GOVERNMENT'S DIPLOMATIC PROCESS of CHOKING-OFF OUR SOCIETY FROM OTHERS THRU RACISM/BIGOTRY.,sad day government diplomatic process choking society racism bigotry,0.181343860628249,-0.8807,0
USA,152,"\Daddy, daddy! Two bees that stung me were from inside the house!\"" \""We'll soon we better let the rest of them in, there's no use now!\""""",daddy daddy bee sting inside house soon better let rest use,0.153989437773022,0.4404,0
USA,153,@SenSanders which terrorist wait for 13 years to be choose by lottery? #NoBanDvLottery2017 #UnFairDvLottery2017Ban,terrorist wait year choose lottery,0.142514870111007,-0.6908,0
USA,154,"Will it be PERECT? NO! But, NO WAY WILL IT BE WORSE THEN OBAMA CARE! I\LL TAKE A CHANCE ON NEW BILL!""",perect way bad obama care chance new bill,0.156619263334637,0.1779,0
USA,155,This isn't breaking. @RandPaul is a cunt.,break cunt,0.31001763760433,-0.4939,1
USA,156,"Or demonizing other side of aisle, refusing to cooperate, elevating Trump, and supporting NRA. Way to go, Johnny.",demonize aisle refuse cooperate elevate trump support nra way johnny,0.147638746040357,0.128,0
USA,157,"As someone who spent over a year unemployed after the 2008 crash, this makes me very angry.",spend year unemployed crash make angry,0.155247236622837,-0.7184,0
USA,158,"Al, you dirty dog.....Nice! @SenFranken",al dirty dog nice,0.203101027069439,-0.0258,1
USA,159,No I'm not mistaken Bernie is a socialist nothing is free!!,mistaken bernie socialist free,0.132132603926061,0.2023,0
USA,160,"Do you understand this isn't a holiday for Veterans? This is about ALL Americans, and you are leaving many behind with your partisanship.",understand holiday veterans americans leave partisanship,0.174711666123844,0.3612,0
USA,161,Simply not true most Americans stand with trump for saving tax dollars from going to foreign countries.,simply true americans stand trump save tax dollar go foreign country,0.124795542818465,0.7184,0
USA,162,"If some makes a conscious decision to not buy something, why should I be forced to buy it for them??? Social Darwinism",make conscious decision buy force buy social darwinism,0.136968617680105,0.0,0
USA,163,@JohnCornyn @GOP how about you fix healthcare and stop trying to make @realDonaldTrump and his friends richer.,fix healthcare stop try friend rich,0.156040002203841,0.6808,0
USA,164,"Sadly, yet that doesn't stop me from being disappointed by them",sadly stop disappoint,0.145394862458207,-0.7717,0
USA,165,Damn you. Didn't you prepare last night. Stick to the subject matter. American before Republican.,damn prepare night stick subject matter american republican,0.20032210080917,-0.3818,1
USA,166,".@SenatorTomUdall: Criticizes Trump budget for cutting non-proliferation programs, especially given threat from N. Korea. #Tillerson #SFRC",criticizes trump budget cut non proliferation program especially give threat korea tillerson sfrc,0.155668949084802,-0.8008,0
USA,167,WTG @SenatorLankford !! Great questioning!!,wtg great questioning,0.130066008153535,0.7783,0
USA,168,HaHa! @SenSchumer cannot do this in all sincerity!,haha sincerity,0.079267162404959,0.4588,0
USA,169,"@SenSanders you are an American hero! Keep up the good work for all of us who work hard for our country to make it great, not MM and -45!",american hero good work work hard country great mm,0.162435689760191,0.8807,0
USA,170,"And he stammered, had the never to ask for a repeat of the question! Wasting 2min of time!!@KamalaHarris",stammer ask repeat question waste,0.155598866723188,-0.5719,0
USA,171,Because this is the twisted and perverse morality of the new the progressive liberal Democrat party. Both sad & sick!,twisted perverse morality new progressive liberal democrat party sad sick,0.17520643164092,-0.7579,0
USA,172,He also said later deliver this policy as it was only briefly discussed with his team,say later deliver policy briefly discuss team,0.148313584741101,0.0,0
USA,173,"@SenWarren Your words, expressions, actions....deranged is the only way U can be described. U & Kathy Griffin make a great team.",word expression action deranged way u describe u kathy griffin great team,0.174060631574197,0.6249,0
USA,174,What hell you mean you people GTFOH guy,hell mean people gtfoh guy,0.229711835128906,-0.6808,1
USA,175,What Sessions needs to do is fire the Deputy AG and start to enforce the law. #holderbrokethelaw #lynchlied #double standards,sessions need fire deputy ag start enforce law holderbrokethelaw lynchli double standard,0.142736150237771,-0.34,0
USA,176,@SenSchumer @NancyPelosi ALL Dem use free floor time2present&record how AHCA harms district st8&Y insurers r leaving DT then post-everywhere,dem use free floor ahca harm district insurer r leave dt post,0.174711666123844,-0.1027,0
USA,177,@SenatorBurr as a North Carolinian I would appreciate if u had as much vigor towards a true criminal,north carolinian appreciate u vigor true criminal,0.122793404441549,0.4939,0
USA,178,Never briefed on Russian Investigation. Recused on that 1 case. Not overseeing DOJ. Comey fired base on written memo. AG job to be involved,brief russian investigation recuse case oversee doj comey fire base write memo ag job involve,0.143772329326047,-0.34,0
USA,179,28 million uninsured under Obamacare + 22 million thrown off with Trumpcare = 50 million Americans without health insurance. Shame on you!,million uninsured obamacare million throw trumpcare million americans health insurance shame,0.178681657247913,-0.4767,0
USA,180,"I don't go to the doctor. The more people who forego the yearly exam, the more people will live longer.",doctor people forego yearly exam people live long,0.158212220905062,0.0,0
USA,181,"Sir, that is a biased and misleading interpretation of the Oregon study. The author herself refutes that conclusion",sir biased misleading interpretation oregon study author refute conclusion,0.119756950018073,-0.5859,0
USA,182,@SenSanders I hope you both go to prison!,hope prison,0.130976225507192,-0.1027,0
USA,183,"If @SenateGOP doesn't pass something that has a measurable, positive impact, they are toast.",pass measurable positive impact toast,0.135047316614644,0.5574,0
