source_id,source_split,source_row_in_split,source_policy_area_num,source_policy_area_raw,source_ntoken,text,gt_policy_area
train_134,train,134,10,No policy area,9,□国家の危機管理体制の再構築,No Policy Area
train_135,train,135,7,"Health, Labour, and Welfare",4,福祉の充実強化,"Health, Labour, and Welfare"
train_136,train,136,6,Foreign Affairs,14,宣言（６）国益に沿った外交を展開します,Foreign Affairs
train_137,train,137,9,"Land, Infrastructure, Transport, and Tourism",10,羽田を国際化して日本の玄関に,"Land, Infrastructure, Transport, and Tourism"
train_138,train,138,10,No policy area,12,‡「誰がやっても同じ」ではありません,No Policy Area
train_139,train,139,10,No policy area,11,今こそ 家族、地域の「絆」が大切,No Policy Area
train_140,train,140,10,No policy area,8,徳島から、日本を変えよう,No Policy Area
train_141,train,141,2,"Economy, Trade and Industry",11,％2003年3月高岡商工会議所副会頭,"Economy, Trade and Industry"
train_142,train,142,3,"Education, Culture, Sports, Science, and Technology",5,安全と教育の充実,"Education, Culture, Sports, Science, and Technology"
train_143,train,143,3,"Education, Culture, Sports, Science, and Technology",7,日本の教育再生をリードする,"Education, Culture, Sports, Science, and Technology"
train_144,train,144,10,No policy area,8,％岡崎高校、法政大学を卒業,No Policy Area
train_145,train,145,9,"Land, Infrastructure, Transport, and Tourism",9,空港連絡「南ルート」の早期実現,"Land, Infrastructure, Transport, and Tourism"
train_146,train,146,1,Committees on Cabinet,32,我々は野党の立場であっても全面的に与党に協力をしてまいりましたが、復興は遅々として進んでいません,Committees on Cabinet
train_147,train,147,10,No policy area,32,戦後60年、我が国は少子高齢化の大きな転換期を迎え行政、経済、社会のあらゆる面で構造改革が必要となっています,No Policy Area
train_148,train,148,7,"Health, Labour, and Welfare",13,僻地診療の充実、医師確保で、医療の安心実現,"Health, Labour, and Welfare"
train_149,train,149,3,"Education, Culture, Sports, Science, and Technology",16,子供たちの多様性に寄り添った教育システムを構築します,"Education, Culture, Sports, Science, and Technology"
train_150,train,150,10,No policy area,12,官僚出身でも二世議員でもないから改革できるのです,No Policy Area
train_151,train,151,10,No policy area,4,％【経歴】,No Policy Area
train_152,train,152,10,No policy area,5,優れた技術力,No Policy Area
train_153,train,153,0,"Agriculture, Forestry, and Fisheries",24,また、新規就農が容易になる体制づくりを行なっていき、農業に活気をもたらします,"Agriculture, Forestry, and Fisheries"
train_154,train,154,2,"Economy, Trade and Industry",5,商店街の徹底支援,"Economy, Trade and Industry"
train_155,train,155,10,No policy area,7,今、日本に必要な人,No Policy Area
train_156,train,156,11,Security,10,安全をしっかりと守れる国づくりが急務です,Security
train_157,train,157,10,No policy area,6,%西郷隆盛、大久保利通,No Policy Area
train_158,train,158,10,No policy area,13,「お元気ですか」と言いあえるまちがある,No Policy Area
train_159,train,159,7,"Health, Labour, and Welfare",9,福祉や医療をよくする、知恵の力,"Health, Labour, and Welfare"
train_160,train,160,9,"Land, Infrastructure, Transport, and Tourism",13,◆新千歳空港の機能充実と第一種空港への格上げ,"Land, Infrastructure, Transport, and Tourism"
train_161,train,161,9,"Land, Infrastructure, Transport, and Tourism",14,駅前再開発、市街地再開発を積極的に応援します,"Land, Infrastructure, Transport, and Tourism"
train_162,train,162,10,No policy area,3,θ自民党公認,No Policy Area
train_163,train,163,10,No policy area,7,％父親(沼津市出身),No Policy Area
train_164,train,164,10,No policy area,3,θ佐々木はじめ,No Policy Area
train_165,train,165,10,No policy area,5,私の三大柱は,No Policy Area
train_166,train,166,0,"Agriculture, Forestry, and Fisheries",31,農林水産大臣として、変化の激しい国際社会の中で将来にわたり国民の皆様の食の安全と安定供給に万全を尽くします,"Agriculture, Forestry, and Fisheries"
train_167,train,167,1,Committees on Cabinet,16,省庁再編による組織のスリム化、事業のオープン化を実施します,Committees on Cabinet
train_168,train,168,3,"Education, Culture, Sports, Science, and Technology",18,私はこれらや科学技術に関しては、専門家として自分のライフワークとします,"Education, Culture, Sports, Science, and Technology"
train_169,train,169,9,"Land, Infrastructure, Transport, and Tourism",13,（４）新幹線を生かした観光かごしまの躍進,"Land, Infrastructure, Transport, and Tourism"
train_170,train,170,1,Committees on Cabinet,8,故郷の創生のため「まち,Committees on Cabinet
train_171,train,171,10,No policy area,24,それとも地方分権などの構造改革、景気対策に真剣に取り組み、将来に不安のない年金制度、医療,No Policy Area
train_172,train,172,10,No policy area,6,θ金子(かねこ)めぐみ,No Policy Area
train_173,train,173,10,No policy area,7,景気の回復と雇用の拡大,No Policy Area
train_174,train,174,6,Foreign Affairs,11,誇りのもてる日本として戦略的外交を展開,Foreign Affairs
train_175,train,175,8,Internal Affairs and Communications,4,道州制へ,Internal Affairs and Communications
train_176,train,176,10,No policy area,12,活力、安心、希望を取り戻す 政策７つの柱,No Policy Area
train_177,train,177,2,"Economy, Trade and Industry",7,中小企業の元気は日本の元気,"Economy, Trade and Industry"
train_178,train,178,10,No policy area,5,鴻巣市立箕田小学校卒業,No Policy Area
train_180,train,180,7,"Health, Labour, and Welfare",11,略歴‡宮沢、小渕、森内閣で厚生大臣,"Health, Labour, and Welfare"
train_181,train,181,2,"Economy, Trade and Industry",21,また科学技術創造立国を推進するため、地域における中小企業と大学の連携を強化します,"Economy, Trade and Industry"
train_182,train,182,3,"Education, Culture, Sports, Science, and Technology",15,日本とふるさとに誇りを持ち、人間性を育む教育の再生,"Education, Culture, Sports, Science, and Technology"
train_183,train,183,1,Committees on Cabinet,13,避難道など防災対策のあり方を根本から見直し、家屋,Committees on Cabinet
train_184,train,184,11,Security,3,平和を守る,Security
train_185,train,185,2,"Economy, Trade and Industry",35,（１）「貿易立国」プラス新たな「産業投資立国」による、双方型の成長モデルの確立、海外インフラ投資の推進、官民ファンドの創設,"Economy, Trade and Industry"
train_186,train,186,1,Committees on Cabinet,12,官から民へ、財政の無駄遣いを無くします,Committees on Cabinet
train_187,train,187,3,"Education, Culture, Sports, Science, and Technology",30,世界トップレベルの学力、規範意識、そして歴史や文化を尊重する態度を育むために、「教育再生」を実行します,"Education, Culture, Sports, Science, and Technology"
train_188,train,188,10,No policy area,4,θあいさわ一郎,No Policy Area
train_189,train,189,4,Environment,14,地球温暖化で今までにない集中豪雨も多発しています,Environment
train_190,train,190,10,No policy area,7,心機一転-今ひとたび原点から-,No Policy Area
train_191,train,191,10,No policy area,14,（Ｑ）将来に不安を持つ人が増えていますが,No Policy Area
train_192,train,192,7,"Health, Labour, and Welfare",7,年金受給資格、10年から,"Health, Labour, and Welfare"
train_193,train,193,11,Security,12,国益を守る外交、安全保障政策を推進します,Security
train_194,train,194,6,Foreign Affairs,11,世界平和に貢献し、世界に誇れる日本に,Foreign Affairs
train_195,train,195,10,No policy area,8,改革ができるのは自民党だけです,No Policy Area
train_196,train,196,11,Security,33,「自らの国は自らが守る」努力を強化し、強固な日米関係を再構築し、領土問題への取り組みを強化します,Security
train_197,train,197,1,Committees on Cabinet,13,暮らしに活力を取り戻す、地方創生を強力に推進,Committees on Cabinet
train_198,train,198,1,Committees on Cabinet,17,犯罪対策を強化し、「世界一安全なニッポン」を復活させます,Committees on Cabinet
train_199,train,199,10,No policy area,35,有権者の皆様からいただいた信頼にこたえるべく、国会対策副委員長、法務部会長、国防副部会長、経済産業副部会長、科学技術,No Policy Area
train_200,train,200,7,"Health, Labour, and Welfare",6,「高度メディカルタウン山形」,"Health, Labour, and Welfare"
train_201,train,201,7,"Health, Labour, and Welfare",15,世界に冠たる国民皆保険を次の世代につなげる改革を行う,"Health, Labour, and Welfare"
train_202,train,202,5,Financial Affairs,5,円高からの脱却,Financial Affairs
train_203,train,203,3,"Education, Culture, Sports, Science, and Technology",17,おきなわの伝統、遺産の継承（いにしえの魂を永久に）,"Education, Culture, Sports, Science, and Technology"
train_204,train,204,2,"Economy, Trade and Industry",14,大企業は利益が出始めたが中小零細は依然厳しい,"Economy, Trade and Industry"
train_205,train,205,10,No policy area,15,縁に恵まれ結婚をし、子育てをしながら暮らしていく,No Policy Area
train_206,train,206,9,"Land, Infrastructure, Transport, and Tourism",8,インフラ整備で活力ある滋賀を実現,"Land, Infrastructure, Transport, and Tourism"
train_207,train,207,10,No policy area,10,％こじま敏文(としふみ),No Policy Area
train_208,train,208,3,"Education, Culture, Sports, Science, and Technology",3,日本の歴史,"Education, Culture, Sports, Science, and Technology"
train_209,train,209,3,"Education, Culture, Sports, Science, and Technology",29,世界トップレベルの学力、規範意識、そして歴史や文化を尊重する態度を育むために「教育再生」を実行します,"Education, Culture, Sports, Science, and Technology"
train_210,train,210,7,"Health, Labour, and Welfare",35,世界一の長寿国、第二の経済大国となったかげで、日本を繁栄させてきた力（ちから）が失なわれ始めています,"Health, Labour, and Welfare"
train_211,train,211,10,No policy area,5,やっぱり不景気なのねぇ,No Policy Area
train_212,train,212,10,No policy area,5,‡（空欄））,No Policy Area
train_213,train,213,10,No policy area,7,科学技術イノベーション特別委員会委員,No Policy Area
train_214,train,214,7,"Health, Labour, and Welfare",6,医療と介護の連携サポート,"Health, Labour, and Welfare"
train_215,train,215,1,Committees on Cabinet,43,9月27日に発生した戦後最悪の火山災害と言われた御嶽山の噴火では、政府の現地対策本部長として20日間現地で救助捜索活動の陣頭指揮を執りました,Committees on Cabinet
train_216,train,216,8,Internal Affairs and Communications,34,国民資産とも云える地方郵便局のネットワークとサービスレベルを徹底維持し真に国民の為になる郵政三事業の改革を推し進めます,Internal Affairs and Communications
train_217,train,217,8,Internal Affairs and Communications,14,地域の個性を生かす道州制を議論する場の設置,Internal Affairs and Communications
train_218,train,218,10,No policy area,21,私は、あの時の「感動」を今でも、ひとときも忘れたことはありません,No Policy Area
train_219,train,219,5,Financial Affairs,14,国際競争力を高め、２％以上の経済成長を達成,Financial Affairs
train_220,train,220,2,"Economy, Trade and Industry",28,日本企業の海外進出を食い止め、世界の優良企業を日本に取り込むため、世界最高水準の優遇策を講じたい,"Economy, Trade and Industry"
train_221,train,221,1,Committees on Cabinet,10,バリアフリー社会の推進に力を傾けます,Committees on Cabinet
train_222,train,222,10,No policy area,4,θ公明党推薦,No Policy Area
train_223,train,223,10,No policy area,4,誠心誠意、政策で,No Policy Area
train_224,train,224,10,No policy area,14,大分の基幹産業を守るよう最前線で頑張っています,No Policy Area
train_225,train,225,10,No policy area,4,＝日本再生＝,No Policy Area
train_226,train,226,10,No policy area,12,＃2003東京都第１８区ﾊﾄﾔﾏｸﾆｵ鳩山邦夫,No Policy Area
train_227,train,227,10,No policy area,30,バブル崩壊後、失業や倒産、不良債権などの諸課題解決のため、わが国経済は長期低迷を続けてきました,No Policy Area
train_228,train,228,9,"Land, Infrastructure, Transport, and Tourism",11,新幹線開通を機に、魅力ある熊本創り,"Land, Infrastructure, Transport, and Tourism"
train_229,train,229,10,No policy area,4,17倍→1,No Policy Area
train_230,train,230,10,No policy area,37,私は今の政治について改めるべきは改め、その上で次に掲げる諸課題の解決に全力で取り組み、国民の皆さんの期待に応えていく決意です,No Policy Area
train_231,train,231,6,Foreign Affairs,34,拉致問題･核問題や海洋権益などで日本の主張は通しつつ、歴史の共同研究等で相互理解を促進することが必要と考えます,Foreign Affairs
train_232,train,232,10,No policy area,12,安倍幹事長とともに改革を推進してまいります,No Policy Area
train_233,train,233,1,Committees on Cabinet,13,地方創生による地域活性化、並びに、地方分権推進,Committees on Cabinet
train_234,train,234,5,Financial Affairs,17,政府税調が示した「サラリーマン増税」には自民党税調として絶対認めない,Financial Affairs
train_235,train,235,10,No policy area,13,‡地域の皆さまの声を国政に反映させます,No Policy Area
train_236,train,236,10,No policy area,15,「私は逃げない、私は踏ん張る、そして私は変える」,No Policy Area
train_237,train,237,7,"Health, Labour, and Welfare",10,高齢者虐待防止法（案）を作成,"Health, Labour, and Welfare"
train_238,train,238,10,No policy area,11,自民党に必要なことは与党批判ではありません,No Policy Area
train_239,train,239,3,"Education, Culture, Sports, Science, and Technology",13,イノベーションを生み出すことで、新しい産業を創出し、雇用,"Education, Culture, Sports, Science, and Technology"
train_240,train,240,7,"Health, Labour, and Welfare",4,子育て支援の充実,"Health, Labour, and Welfare"
train_241,train,241,3,"Education, Culture, Sports, Science, and Technology",10,世界トップの基礎学力を復活させます,"Education, Culture, Sports, Science, and Technology"
train_242,train,242,1,Committees on Cabinet,36,「豊かな国づくりは豊かな地域づくりから」の信念の下、初当選以来、中央と地方の格差是正に力を注いで来ました,Committees on Cabinet
train_243,train,243,9,"Land, Infrastructure, Transport, and Tourism",8,知多半島観光圏から広がる知多半島の発展,"Land, Infrastructure, Transport, and Tourism"
train_244,train,244,1,Committees on Cabinet,10,本格的な地域中心主義の社会を築く,Committees on Cabinet
train_245,train,245,10,No policy area,16,‡これは真の豊さへ至る新しい循環型社会の始まりです,No Policy Area
