source_id,source_split,source_index,text,gt_causal_relation
politicause_train_16839,train,16839,My country remains convinced that the spread of the scourge of terrorism requires enhanced international cooperation as its complexity precludes an individual approach by States and demands a synergistic action through a shared vision.,1
politicause_train_16538,train,16538,"Conflict and crisis prevention should be the political priority of every one of us, especially of the United Nations, which was created expressly to save future generations from the scourge of war.",0
politicause_train_9216,train,9216,Organisations no longer have to require the NHS Covid Pass.,0
politicause_train_7673,train,7673,"Dr Jenny Harries, Chief Executive of UKHSA, said: Although the number of hospitalisations and deaths remain lower than in previous peaks, these findings are a powerful reminder that the pandemic is far from over and remains a serious threat to health and wellbeing.",0
politicause_train_1364,train,1364,A new risk assessment for Omicron VOC-21NOV-01 (B.1.1.529) has also been published and is available here.,0
politicause_train_6784,train,6784,The illicit proliferation of small arms and light weapons remains a daily challenge to citizen security and a grave concern to Jamaica.,0
politicause_train_13036,train,13036,It is the poorest and most vulnerable countries that are hardest hit by the effects of climate change.,0
politicause_train_13414,train,13414,"We thank the nations that have recently committed to doubling their pledges and increasing contributions to the Green Climate Fund, as well as to making further resources available to small island developing States to help us adapt to and mitigate the effects of climate change.",1
politicause_train_14131,train,14131,The threats and challenges facing the world today demand our joint efforts to strengthen the international legal order and rekindle faith in multilateralism and confidence in the United Nations.,0
politicause_train_7687,train,7687,This reinforces the need for continued vigilance and for people to take up the vaccine as well as the booster when offered to them.,0
politicause_train_412,train,412,I studied in the local library because there wasn’t enough space at home and I spent some of my uni days volunteering at a care home.,1
politicause_train_5778,train,5778,The use of force and violence will only add to the suffering of the people living in the area.,1
politicause_train_7604,train,7604,"With around 1 in 3 people with COVID-19 showing no symptoms, it could be passed onto others without knowing.",1
politicause_train_12990,train,12990,"In this regard, we appeal for decisive support from our bilateral and multilateral partners in implementing the various development projects that we have designed in the region to eradicate poverty and, in so doing, tackle the root causes of the terrorist threat.",1
politicause_train_13652,train,13652,"An integrated vision for special relations between the Palestinian and Israeli parties, as well as their neighbours, should therefore be based on the values of peace, coexistence and common interest of all the peoples of the region, with a view to delivering security, peace and economic prosperity for all.",0
politicause_train_2417,train,2417,"Attempt to create opportunities, one by one, and cultivate the discernment to use them.",0
politicause_train_1118,train,1118,2.,0
politicause_train_12849,train,12849,"We have sought to share our experience with other nations in the belief that if our efforts are well understood, they will surely lead to success in ending conflicts and re-establishing peace in some of the countries affected by strife.",1
politicause_train_11564,train,11564,"So we will work with parents, teachers and schools to develop a long-term plan to make sure pupils have the chance to make up their learning over the course of this Parliament.",1
politicause_train_8278,train,8278,"This includes extending the Designated Settings Indemnity Scheme to March 2022, supported by £478 million which has already been pledged to continue hospital discharge programmes through the winter until March 2022.",0
politicause_train_15786,train,15786,Only lasting stability across societies and nations as well as greater democratic inclusion of all citizens will ensure the achievement of the Sustainable Development Goals.,1
politicause_train_13738,train,13738,"The establishment of the Centre underscored our collective resolve as Southern African countries to win the war against poverty, hunger, disease and illiteracy, through the exchange of best practices and joint action.",1
politicause_train_7319,train,7319,"Conflicts, old and new, continue to cause human suffering across the world.",1
politicause_train_10661,train,10661,"We forget that we are all here only temporarily and that our mission and duty is to protect and respect our neighbour and to preserve this Earth, which we inherited from our ancestors and which we must in turn pass on to future generations.",0
politicause_train_10997,train,10997,People in developing countries will feel the impact first and worst because of vulnerable geography and their lesser ability to cope with damage from severe weather and rising sea levels.,1
politicause_train_14749,train,14749,"I do not seek to blame outsiders for our problems, but since we are being urged to find multilateral solutions, I believe it is worth pointing out that unfairness in the economic order undermines the fight against poverty.",0
politicause_train_3714,train,3714,We must all be sensible.,0
politicause_train_5921,train,5921,"We have for instance a moral duty to keep schools open now that it is safe to do so, because we must not allow this virus to damage our children’s futures.",1
politicause_train_16052,train,16052,"Migration has become our common plight, generating widespread fear and anxiety.",1
politicause_train_13788,train,13788,"In many respects, the degree of effectiveness of this cooperation and our ability to find a reasonable balance between national interests and those of the entire international community will determine whether we succeed in solving other, equally important global problems, including those related to the environment, energy and the fair distribution of water resources.",0
politicause_train_8628,train,8628,"Despite the overall increase in coverage in recent months, women of black ethnicity and women living in the most deprived areas in England were least likely to have been vaccinated in pregnancy.",0
politicause_train_3831,train,3831,Get a PCR test if you show any symptoms and if you do travel abroad you absolutely must get tested on return and isolate as required.,0
politicause_train_14995,train,14995,"In my political vocabulary, globalism and solidarity mean the same thing.",0
politicause_train_1653,train,1653,"Whether it is manifested in rising sea levels or the melting of Himalayan glaciers, hurricanes, storms, floods or fires, climate change has become an existential threat to humankind.",0
politicause_train_17013,train,17013,Respecting the principle of national ownership of solutions is crucial to ensuring the effectiveness of the international multilateral system.,1
politicause_train_1456,train,1456,"Three in 10 (30.5%) of Black women had one or more doses of the vaccine by the time of delivery between November 2021 and January 2022, compared to 57.5% of White women.",0
politicause_train_15702,train,15702,"We therefore strongly affirm that all these criminal activities, associated with the humanitarian crisis generated by the deterioration of the political, economic and social situation in the Bolivarian Republic of Venezuela, represent a threat to the maintenance of peace and security on the continent.",1
politicause_train_12656,train,12656,"Thus, we think within this spirit we should focus our endeavours in the search for fair and long lasting solutions to the problems of the Middle East, that have to do with Security Council pertinent resolutions on the matter, as well as those that are afflicting the African continent, where conflicts and instability still prevail, such as the case of Libya, the Sahel Region and others conflicts of minor scale in other regions of the continent.",0
politicause_train_501,train,501,That is why it is critical that you come forward for your booster as soon as you become eligible so we can drive down hospitalisations and deaths over the winter.,1
politicause_train_4703,train,4703,"We must stay vigilant, and be mindful that there could be bumps in the road ahead.",0
politicause_train_9778,train,9778,"Palau has made recent progress in achieving near- universal health coverage, but challenges remain in the area of improving the quality of health care and the durability of health-care systems in the face of the climate crisis.",0
politicause_train_7233,train,7233,"Sooner or later, our citizens will seek their economic freedom.",0
politicause_train_7666,train,7666,At 75 years and over it was 0.67% – both representing increases of approximately 2-fold from the last report.,0
politicause_train_6057,train,6057,"Otherwise, it will be difficult to mobilize all States towards reaching global climate goals.",0
politicause_train_7220,train,7220,The COVID-19 pandemic exacerbated those vulnerabilities with many SIDS countries being particularly affected by the drop in international tourism and remittances.,0
politicause_train_11948,train,11948,"We need to act now to get shots in arms as fast as possible and expand access to oxygen, tests and treatments to save lives around the world.",1
politicause_train_5708,train,5708,"Guidance will be strengthened if needed, but restrictions will be avoided if possible due to their significant economic, social and health costs.",1
politicause_train_1895,train,1895,"The time is now to build a stronger, more interconnected and more inclusive multilateral system, grounded in cooperation, solidarity and mutual trust.",0
politicause_train_11819,train,11819,Small Island Developing States (SIDS) face a unique set of vulnerabilities which impede their ability to achieve sustainable development.,1
politicause_train_10014,train,10014,"We have the funding, which is not lacking across the globe.",0
politicause_train_12955,train,12955,Our challenge is to work towards the elimination of terrorist activities and armed conflicts around the world.,0
politicause_train_12828,train,12828,Algeria remains commitment to working hand in hand with our Malian brothers to achieve all the goals and principles of the Algiers Agreement on Peace and Reconciliation in Mali and looks forward to holding presidential elections and the achievement of the goals of the transitional period.,0
politicause_train_10046,train,10046,"I believe in the courage to build peace, and I know that the United States of America, Iran and all the signatories to this agreement have that courage.",0
politicause_train_6146,train,6146,"We are fast approaching COP26, and an opportunity that must be utilized to stem the current record-breaking period of extreme weather and climate disasters.",1
politicause_train_10385,train,10385,"In that regard, we must guarantee access to free and quality primary and secondary education, as well as affordable and inclusive vocational and technical education, while working to make opportunities available to disabled boys and girls.",0
politicause_train_11680,train,11680,"Every day, green startups are producing new ideas from feeding seaweed to cows to restrain their traditional signs of digestive approval to using artificial intelligence and robotics to enhance food production, capture carbon dioxide and put it into brownies and so on.",1
politicause_train_11618,train,11618,"That would jeopardise progress made, and risk intolerable pressure on the NHS.",1
politicause_train_3340,train,3340,"We can all agree, that our collective cooperation will be required to repair our nations’ devastated economies and restore the livelihoods of our societies.",0
politicause_train_16923,train,16923,"At the same time, we must not allow their concerns to be dismissed or diminished, as that can also needlessly increase their anxiety.",0
politicause_train_12192,train,12192,"Notwithstanding the effects of the crisis, Serbia has managed to preserve financial and economic stability.",0
politicause_train_9375,train,9375,"If I’m unlucky enough to get COVID-19 and meet the criteria, then I will definitely be taking part.",0
politicause_train_10077,train,10077,"That cooperation must, however, produce concrete results and engage new actors.",0
politicause_train_4429,train,4429,"One with less testing and lower costs, allowing more people to travel, see loved ones or conduct business around the world while providing a boost for the travel industry.",1
politicause_train_13877,train,13877,"The reform of the United Nations system to make it more representative, empowered and responsive in fulfilling its mandate is long overdue.",0
politicause_train_17208,train,17208,"By promoting the development of sustainable food systems and healthy lifestyles, this critical entry point into education creates positive synergies by reducing hunger, promoting good health and well-being, and fostering effective partnerships.",1
politicause_train_17636,train,17636,"Indeed, with the solidarity of all the Lebanese people and your support, it will heal its wounds and rise as it has done over and over again throughout history.",1
politicause_train_11353,train,11353,"Only when we finally get down to tackling the causes of conflict and address the Syrian people’s desire for social, economic and political participation can there be lasting peace in Syria.",1
politicause_train_17366,train,17366,"We also need an integrated and innovative approach to respond simultaneously to a whole range of interrelated challenges, such as health, demographic changes, migration, scarce resources, climate change, biodiversity loss, extreme poverty and hunger.",1
politicause_train_8027,train,8027,"However, prevalence was higher for unvaccinated individuals, at 1.73% (1.60%, 1.95%), than for participants who had received either one or 2 doses of vaccine.",0
politicause_train_2718,train,2718,"We telephoned each other, saying that I am going to do this or that, also in order to learn from each other, as well as to share.",0
politicause_train_14090,train,14090,"We must ensure that all States can reap the benefits of the multilateral trading system, and we must build bridges, not barriers, if we want to achieve the Sustainable Development Goals.",0
politicause_train_11848,train,11848,Our country continues to contribute to political and security stability on the African continent.,0
politicause_train_11594,train,11594,"This advice will pave the way for the next phase of the vaccination programme, which is expected to begin this week.",1
politicause_train_4738,train,4738,Health and Social Care Secretary Sajid Javid said: Today marks the start of the next chapter in this country’s fight against COVID-19.,0
politicause_train_4174,train,4174,"They were highest in the North East, Yorkshire and the Humber and West Midlands.",0
politicause_train_3967,train,3967,"The lowest case rate was in those aged 70 to 79, with a rate of 20.2 per 100,000 population.",0
politicause_train_9967,train,9967,"Burundians are a proud and dignified people, very much committed to their political independence and values of ubuntu.",0
politicause_train_7718,train,7718,"Chief Executive of the UK Health Security Agency (UKHSA) Jenny Harries said: Although we have returned to a more familiar way of life, it’s important we all continue to play our part in controlling the spread of the virus, especially as we move into winter.",0
politicause_train_12429,train,12429,"A Green Building Back Better that delivers jobs and shared prosperity, will win the support of the young generation and intensify the drive towards climate change action.",1
politicause_train_11207,train,11207,"We must bequeath our children a politically stable, environmentally healthy and socially cohesive world.",0
politicause_train_8177,train,8177,Countries with approved COVID-19 proof of vaccination.,0
politicause_train_10380,train,10380,We remain confident that the SDGs and the African Union’s Agenda 2063 will continue to give us the proper guidance and the impetus we need to eradicate poverty and create inclusive and sustainable development for all.,1
politicause_train_12923,train,12923,"Likewise, we urge international partners to work towards an acceptable country vulnerability index that holistically assesses our countries’ development and risks.",0
politicause_train_15014,train,15014,"Frankly speaking, it would be enough to simply stop lying.",0
politicause_train_4946,train,4946,"For this reason, the committee has concluded there is no immediate need to introduce a second booster dose, though this will continue to be reviewed.",0
politicause_train_12668,train,12668,"Therefore, we take the privilege of this opportunity to reaffirm our support for renewed multilateral cooperation on behalf of the people we serve, and for more multilateralism, more solidarity, and more effectiveness in both the combat against the effects of poverty and the maintenance of international peace and security, which is an indispensable condition for inclusive and sustainable development.",0
politicause_train_3797,train,3797,"The number of acute respiratory infection incidents (suspected outbreaks) in England was 280 in week 21, compared to 228 in the previous week.",0
politicause_train_5724,train,5724,The emergence of variants led to an adaptation of the strategy.,1
politicause_train_10740,train,10740,"For more than seven decades, multilateralism has saved us from the tragedy of a world war.",1
politicause_train_4802,train,4802,"Stephen Collins, Senior Director of International Public Policy at Snapchat, said: With Snapchat reaching 75% of 13 to 34 year olds in the UK, we believe we can play a unique role in helping young people access accurate and trusted information.",0
politicause_train_1606,train,1606,"access to an individual, economic and collective life that is respectful of the rights of Mother Earth.",0
politicause_train_10801,train,10801,Let us approach the issue at its source by allowing for equitable and inclusive participation in decision-making and by making cross-cutting changes to an outdated conception of our Organization so that it can act in full solidarity to save humankind from the situations of destitution and abuse in which most human beings find themselves.,1
politicause_train_13389,train,13389,"We want fairer trade that does not exaggerate the perceived risk of investing in the continent, pays fair prices for raw materials, protects both host-country rights and investor interests and promotes the creation of local value chains.",0
politicause_train_5036,train,5036,"The UK led the world on vaccine research, providing results for 3 of the successful vaccine candidates through huge phase 3 trials for OxfordAstraZeneca, Janssen and Novavax vaccines.",0
politicause_train_12273,train,12273,"In the light of the situation and in order to resolve the major political problems facing the country, such as unbearable insecurity, dysfunctional legislative power, shortcomings in the judicial system, I had to quickly form a Government to address State affairs.",1
politicause_train_8237,train,8237,"The campaign empowers people to look after their mental health by directing them to free, practical tips and advice.",0
politicause_train_3619,train,3619,"Sustainable development depends on the inevitability of activating multilateral international action and raising global cooperation and solidarity according to the rule of common destiny, by restoring balance in financial and trade systems and effectively providing vital global public goods, guided by sustainability standards in taking decisions while bearing in mind the circumstances and conditions in developing countries.",0
politicause_train_16486,train,16486,"With regard to the theme of galvanizing multilateral support, I implore the Assembly to consider the complex web of bilateral and multilateral support pouring into small fragile countries such as ours without the capacity to coordinate all that support more effectively.",0
politicause_train_5725,train,5725,"The height of the pandemic necessitated unprecedented sacrifice and restrictions that affected our freedom of movement, severely disrupted the education of children and young people, left millions jobless, and isolated the most vulnerable around the world.",1
politicause_train_359,train,359,My most valuable visit was just in the last few weeks when I had the chance to don scrubs for myself and spend a shift in a busy A&E and ICU.,0
politicause_train_10071,train,10071,I also do not believe that the crises that we are experiencing would be best resolved by national withdrawal.,0
politicause_train_15733,train,15733,We have burned or deforested large areas of forests crucial to the life and health of our planet.,0
politicause_train_8964,train,8964,"Being referred to the High Priority Lane was emphatically not a guarantee of a contract; indeed, nearly 90% of offers referred through this route were unsuccessful.",0
politicause_train_5203,train,5203,The UK will donate a further 20 million AstraZeneca doses to countries in need next year as part of the government’s commitment to donate 100 million doses overall.,0
politicause_train_8198,train,8198,And we must also recognise that there’s been another – less visible – impact: the impact on people’s mental health.,0
politicause_train_736,train,736,"The number of acute respiratory infection incidents (suspected outbreaks) in England was 440 in week 16, compared to 559 in the previous week.",0
politicause_train_10250,train,10250,How are we going to spend money on our 220 million citizens when half of our money is going into debt servicing as a result of our country being plundered by a ruling elite who could easily withdraw that money?,1
politicause_train_8853,train,8853,It’s important that everyone gets their top-up jabs as soon as they’re eligible.,0
politicause_train_10778,train,10778,"Indeed, it was Syria’s determination to establish the Constitutional Committee upon the persistence of President Bashar Al-Assad that led to this important national achievement for the Syrian people and thwarted any attempt to obstruct it by other parties that have consistently supported foreign forces and imposed preconditions to prevent any return to normalcy in Syria.",1
politicause_train_7492,train,7492,"Yes, solidarity — solidarity with nature, solidarity with our environment, solidarity with our peoples.",0
politicause_train_15686,train,15686,"In keeping with the theme of our general debate today, if we are to truly build resilience through hope, we must all strive towards the common good.",1
politicause_train_3239,train,3239,"International companies illegally exploiting Azerbaijan’s natural resources on the occupied territories will face legal responsibility, if they don’t stop their illicit activity immediately.",0
politicause_train_17776,train,17776,Early results from Pfizer shows that a booster dose can increase the protection from our vaccines back up to 95.6% against symptomatic infection.,1
politicause_train_17756,train,17756,"As our NHS moves to a war footing, I will be recommending to Cabinet tomorrow that we continue with Plan B, because the public have responded and changed their behaviour, your behaviour, buying valuable time to get boosters in arms and help the NHS to cope with the Omicron wave.",1
politicause_train_2782,train,2782,We count on Guatemala to remain a constructive partner and rely on the international community to support us in addressing the daily challenges along the border that are inevitable between neighbours.,0
politicause_train_9136,train,9136,"If you test positive for COVID-19 you must self-isolate, it is the law.",0
politicause_train_165,train,165,"Madam Deputy Speaker, we are concerned that this new variant may pose a substantial risk to public health.",0
politicause_train_10099,train,10099,"Our contemporary capitalism has become dysfunctional, leading to an unparalleled level of inequality.",1
politicause_train_2183,train,2183,"We all know what needs to be done; it is not sufficient to simply raise ambitions, but more importantly, we need to commit to deliver on them.",0
politicause_train_17754,train,17754,A 15% drop in efficacy could lead to many more avoidable deaths and cases of severe illness from Covid.,1
politicause_train_10331,train,10331,It was a sacred duty to protect the places of worship of all religions.,0
politicause_train_1414,train,1414,"The individual is no longer in the UK, but UKHSA is carrying out targeted testing at locations where the positive case visited when they were likely to have been infectious.",1
politicause_train_10446,train,10446,"We also support those, like the African Union, that say they want to be much more independently responsible yet supported by the United Nations in taking steps towards a collective regional approach to long-standing problems.",0
politicause_train_4688,train,4688,"Today’s ONS data shows a fall in infections, including in older age groups.",0
politicause_train_6491,train,6491,"Allow me to first congratulate you, Your Excellency Abdulla Shahid, on your election as the President of the General Assembly.",0
politicause_train_11313,train,11313,The world order that it helped build represents the pinnacle of what concerted diplomacy can achieve and continues to embody the hopes of all who believe in peaceful dialogue to solve global problems.,0
politicause_train_17316,train,17316,"That is why I would like to draw attention to the fact that, in addition to the well-known wave of economic migrants from the Asia, the Middle East and North Africa towards my country — and we have tried to provide humanitarian aid, food and accommodation for them — we are also facing the outflow of our own population, which will cause additional social problems for our society.",1
politicause_train_6704,train,6704,to believe in the reality of climate change and its effects must be relegated to the past.,0
politicause_train_5314,train,5314,"It is therefore vital that as many people as possible get vaccinated, including getting their boosters, and take sensible precautions such as mask-wearing to reduce the risk of infection.",0
politicause_train_2623,train,2623,Those days demonstrated all that was wrong with our management of the health crisis.,0
politicause_train_753,train,753,"The hospital admission rate for week 14 was 18.90 per 100,000 population, in the previous week it was 21.29 per 100,000 population.",0
politicause_train_5624,train,5624,Twice weekly home testing will remain to control infection rates.,1
politicause_train_15032,train,15032,"It took place on 4 April, the same day that the Secretary-General visited Tripoli, and at a time when the country was excitedly and hopefully preparing to hold an inclusive national conference aimed at finding a political solution to the problem of Libya.",0
politicause_train_8337,train,8337,"Dr Yvonne Doyle, Medical Director at Public Health England, said: Case rates remain high although fairly stable across the country and are currently highest in those aged 10 to 19 years old.",0
politicause_train_4643,train,4643,"As Chair of NHS England, he will be focusing on the health service’s recovery from the coronavirus (COVID-19) pandemic and expanding its workforce.",0
politicause_train_14322,train,14322,"That is why since 2011, we had already embraced the key principle of the 2030 Agenda for Sustainable Development to leave no one behind through our commitment, well known to my compatriots, to put the people first.",0
politicause_train_10739,train,10739,"At times like this, we must all unite and stand together to strengthen multilateralism.",0
politicause_train_6801,train,6801,"The Revitalized Agreement and national dialogue are necessary historic steps in our country’s quest for peace, but we are still far from building a nation that can provide essential services and development for our people.",0
politicause_train_14227,train,14227,"Seventy-five years since the founding of the United Nations, we aspire to a robust Organization, free of unjust constraints and able to restrain the illegitimate exercise of power.",0
politicause_train_11162,train,11162,The agreement aims to overcome a history of distrust and a difficult relationship by establishing the foundations of a new era — one of friendship and future partnership.,1
politicause_train_12492,train,12492,We must all welcome that realization if it finally mobilizes the global cooperation and unified action that our world needs to survive.,0
politicause_train_6178,train,6178,"That is why I am devoting all my energy and attaching great interest to putting an end to insecurity, massacres and looting and the establishment of lasting peace throughout the Democratic Republic of the Congo.",1
politicause_train_15466,train,15466,"In the light of the enormous security, economic, financial and health challenges facing the transitional Government, Chad is calling for strong support from the international community.",0
politicause_train_8667,train,8667,I look forward to continuing to work with the travel sector and partners around the world to keep international travel moving.,1
politicause_train_15514,train,15514,"Moreover, every country must take actions to strengthen public health systems, particularly on achieving Universal Health Coverage (UHC) and supporting efforts within the scope of the World Health Organization (WHO) to collectively enhance global health security.",1
politicause_train_3615,train,3615,"Standing on the two pillars of Digital New Deal and Green New Deal, it marks a complete transformation of Korean economy and promises to render our society less unequal and more inclusive.",1
politicause_train_15078,train,15078,We reiterate that we will not sit down again with Haftar.,0
politicause_train_12403,train,12403,"In Ethiopia too, the TPLF resorted to various illicit subterfuges to roll back the positive process underway through popular will.",1
politicause_train_2753,train,2753,"We have been talking about this subject for far too long, and avoiding concrete steps forward.",0
politicause_train_6362,train,6362,"The Special Rapporteur issued a very objective, raw and realistic report on these criminal sanctions and recommended that they be lifted immediately and that international law, international humanitarian law, be respected.",0
politicause_train_8660,train,8660,"from 4am 18 March no-one entering the UK will need to take tests or complete a passenger locator form remaining managed hotel quarantine capacity will be fully stood down from the end of March, making the UK one of the first major economies to end all COVID-19 international travel rules contingency plans put in place to manage any future variants of concern (VoCs) The government will remove the remaining restrictions on international travel for all passengers ahead of the Easter holidays, the Transport Secretary announced today (14 March 2022).",0
politicause_train_7020,train,7020,"The country is also contributing to the effort to adapt peacekeeping operations to contemporary challenges, per the Secretary-General’s Action for Peacekeeping initiative launched during the COVID-19 pandemic.",0
politicause_train_490,train,490,"However, in countries such as Canada and the UK, who have a longer interval between the first and second doses, rates following the second vaccine dose are closer to the reporting rate after the first dose.",0
politicause_train_16664,train,16664,"In that context, on behalf of my country I would like to thank all the Member States that sponsored the resolution and voted in favour of it, encouraging us to move forward with this initiative, which I launched before the Assembly two years ago (see A72PV.11).",0
politicause_train_7152,train,7152,"Mexico welcomes the launch of the negotiation and dialogue process, facilitated by Norway, between the Government of Venezuela and the Plataforma Unitaria de Venezuela, whose meetings were held in our country.",0
politicause_train_9742,train,9742,"As a big-ocean State, Micronesia commands a major part of the Pacific Ocean, and we have delineated our maritime zones according to the United Nations Convention on the Law of the Sea.",0
politicause_train_12852,train,12852,"As a result, it is crucial that we fulfil our collective responsibility to build a world of peace and security in which all children can flourish.",0
politicause_train_10755,train,10755,"The stability, peace and prosperity of regions are the building blocks for achieving world peace.",0
politicause_train_14244,train,14244,"We are committed to strengthening international law, which entails not only securing respect for the norms that we have agreed but also developing new norms where necessary.",0
politicause_train_2011,train,2011,"Algeria also reiterates its adherence and commitment to the Arab Peace Initiative, which aims to consolidate the two-State solution and liberate all occupied Arab lands, including the Syrian Golan.",0
politicause_train_10197,train,10197,"But alongside this rhetoric of condemnation, for some, there is comfort in inaction, a habit of cynicism.",0
politicause_train_17246,train,17246,"In that context, I wish to outline several of Grenada’s key initiatives, plans and programmes that are geared to addressing climate change and poverty eradication and will also further the objective of sustainable development.",0
politicause_train_7490,train,7490,"For some time now, the international community has had to face the global and destructive reality of the COVID-19 pandemic.",0
politicause_train_8916,train,8916,UKHSA chief executive Dame Jenny Harries said: Rapid testing continues to play a vital role in combating the spread of COVID-19.,0
