candidate_id,title,family,source_type,published_political_science_paper,paper_year,replication_access,public_text_access,direct_prompt_or_codebook,novelty_within_family,status,current_priority,source_url,data_url_or_repo,notes
haunss_2025_papea_claims,"PAPEA protest-claim classification","Event coding",paper,yes,2025,yes,yes,yes,medium,same_archive_fallback,medium,https://doi.org/10.1017/psrm.2025.10013,https://doi.org/10.7910/DVN/KVP7HA,"Strong next event task, but somewhat more correlated with the already implemented PAPEA forms task."
haunss_2025_papea_full_article_claims,"PAPEA full-article dominant-claim classification","Event coding",paper,yes,2025,yes,yes,yes,medium,long_document_pilot,medium,https://doi.org/10.1017/psrm.2025.10013,https://doi.org/10.7910/DVN/KVP7HA,"Most attractive small pilot toward longer documents, but only about 100 labeled articles."
clicks_and_stones_gendered_hostility,"Clicks and Stones: Women Politicians and Gendered Hostility Online","Relevance / Incivility",paper,yes,2026,yes,no,unclear,high,rejected_no_public_text,not_implementable_now,https://www.cambridge.org/core/journals/british-journal-of-political-science/article/clicks-and-stones-women-politicians-and-gendered-hostility-online/8ED558DA2AC6EB759E54F87CD3CC6AA5,https://doi.org/10.7910/DVN/FQWVOS,"Replication archive inspected. Public files expose legislator-level aggregate hostility rates, including `pctHostile`, plus replication code for aggregate analyses. They do not expose tweet-level public text plus labels, so this fails the direct-ingest screen."
super_unsupervised_political_hostility,"Super-Unsupervised Classification for Labelling Text: Online Political Hostility as an Illustration","Relevance / Incivility",paper,yes,2024,yes,no,no_public_text,medium,rejected_no_public_text,not_implementable_now,https://www.cambridge.org/core/journals/british-journal-of-political-science/article/superunsupervised-classification-for-labelling-text-online-political-hostility-as-an-illustration/48F79CA4549A768DF9974B485F01E726,https://doi.org/10.7910/DVN/4X7IMW,"Verified 2026-05-04: annotation_sample.parquet has 2,471 label/score rows but no text; full_df_scores.parquet has 4,392,368 score rows and no text; graph_examples.csv has only 35 text examples and no clear human labels."
citizens_perceptions_online_abuse,"Citizens’ Perceptions of Online Abuse Directed at Politicians: Evidence from a Survey Experiment","Relevance / Incivility",paper,yes,2025,yes,no,no_public_text,medium,rejected_no_public_text,not_implementable_now,https://www.cambridge.org/core/journals/european-journal-of-political-research/article/citizens-perceptions-of-online-abuse-directed-at-politicians-evidence-from-a-survey-experiment/74A327A63214C880F2253621190C063B,https://doi.org/10.7910/DVN/LIXDR1,"Verified 2026-05-04: public tab file has 2,050 respondent rows with numeric message IDs and perception outcomes, but the released data/README do not expose the stimulus text needed for a text-classification task."
online_abuse_politicians_perceptions,"Online Abuse of Politicians: Experimental Evidence on Politicians’ Own Perceptions","Relevance / Incivility",paper,yes,2025,yes,no,no_public_text,medium,rejected_no_public_text,not_implementable_now,https://link.springer.com/article/10.1007/s11109-024-09944-8,https://doi.org/10.7910/DVN/PKPOCD,"Verified 2026-05-04: public tab file has 9,804 respondent-message rows with numeric message IDs and perception outcomes, but the released data/README do not expose the stimulus text needed for a text-classification task."
political_debate_polnli_general,"Political DEBATE / PolNLI","Hypothesis-conditioned classification",paper,yes,2025,yes,yes,yes,high,implemented,completed,https://www.cambridge.org/core/journals/political-analysis/article/political-debate-efficient-zeroshot-and-fewshot-classifiers-for-political-text/8D0B3E2AAF711F4812E42466DE503A13,https://huggingface.co/datasets/mlburnham/Pol_NLI,"Implemented in the live manifests as `burnham_polnli_entailment`. The live task uses the public PolNLI test split, maps source `entailment = 0` to benchmark `gt_entails = 1`, and keeps 15,314 premise-hypothesis pairs after dropping duplicate or conflicting pairs."
political_debate_polnli_event_subset,"Political DEBATE / PolNLI event-detection subset","Event coding",paper,yes,2025,yes,yes,yes,high,staged,high,https://www.cambridge.org/core/journals/political-analysis/article/political-debate-efficient-zeroshot-and-fewshot-classifiers-for-political-text/8D0B3E2AAF711F4812E42466DE503A13,https://huggingface.co/datasets/mlburnham/Pol_NLI,"Staged as `burnham_polnli_event_entailment`, using the event-extraction rows from the public PolNLI test split."
hobbs_green_open_ended_attitudes,"Categorizing Topics Versus Inferring Attitudes: A Theory and Method for Analyzing Open-Ended Survey Responses","New family candidate",paper,yes,2024,yes,likely_yes,unclear,high,new_direction_candidate,high,https://www.cambridge.org/core/journals/political-analysis/article/categorizing-topics-versus-inferring-attitudes-a-theory-and-method-for-analyzing-openended-survey-responses/86230308E694A8DF24EA89FF3A451162,https://doi.org/10.7910/DVN/FSK6NZ,"Best open-ended survey-response direction; likely benchmarkable, but a clean discrete benchmark slice still needs to be chosen."
di_cocco_monechi_populism_manifestos,"How Populist are Parties? Measuring Degrees of Populism in Party Manifestos Using Supervised Machine Learning","New family candidate",paper,yes,2024,yes,likely_yes,unclear,medium,new_direction_candidate,medium,https://www.cambridge.org/core/journals/political-analysis/article/how-populist-are-parties-measuring-degrees-of-populism-in-party-manifestos-using-supervised-machine-learning/1D6141AAAE400ADAD9935044A0719B32,https://doi.org/10.7910/DVN/BMJYAN,"Promising longer-document rhetoric/style candidate, but sentence-level labels may be weaker than ideal."
ziegler_manipulation_checks,"A Text-As-Data Approach for Using Open-Ended Responses as Manipulation Checks","New family candidate",paper,yes,2023,yes,likely_yes,unclear,high,new_direction_candidate,medium,https://www.cambridge.org/core/journals/political-analysis/article/textasdata-approach-for-using-openended-responses-as-manipulation-checks/C0A94C4CC5D0ECC72E8A670050D76ED4,https://doi.org/10.7910/DVN/WXIRQN,"Adds paired prompt-response classification rather than standalone document labeling; may require a discrete benchmark reformulation."
burnham_stance_detection_practical_guide,"Stance detection: a practical guide to classifying political beliefs in text","Sentiment / Stance / Tone",paper,yes,2025,yes,likely_yes,yes,medium,new_search_low_priority,low,https://www.cambridge.org/core/product/E227E746BD7D9751526DA0EC2C378787/core-reader,https://doi.org/10.7910/DVN/XS0ULP,"Useful structured target-conditioned stance candidate, but still lives in the currently overfilled stance family."
radford_2021_automated_dictionary_generation,"Automated Dictionary Generation for Political Event Coding","Event coding",paper,yes,2021,likely_yes,likely_yes,unclear,high,new_search_candidate,medium,https://www.cambridge.org/core/journals/political-science-research-and-methods/article/automated-dictionary-generation-for-political-eventcoding/D89165E7FE7F9BE796DB9EDACFE4B8DB,https://doi.org/10.7910/DVN/N3Y3MF,"Adds a cyber-incident event domain; replication archive exists, but raw-text readiness still needs inspection."
count_love_protest_dataset,"Count Love Protest Dataset","Event coding","project / dataset",no,,yes,partly,unclear,high,new_search_conditional,medium,https://github.com/count-love/protest-data,https://zenodo.org/records/4485243,"Potentially very practical article-to-event detection resource, but public assets rely on URLs and annotations rather than preserved raw article text."
case_2021_multilingual_protest_news,"Multilingual Protest News Detection – Shared Task 1, CASE 2021","Event coding","shared-task benchmark",no,2021,likely_yes,likely_yes,unclear,high,new_search_conditional,low,https://aclanthology.org/2021.case-1.11/,https://aclanthology.org/2021.case-1.11.pdf,"Interesting multilingual and multi-granularity event benchmark, but weaker on the political-science-paper criterion."
we_need_to_go_deeper_electoral_violence,"We Need to Go Deeper: Measuring Electoral Violence using Convolutional Neural Networks and Social Media","Event coding",paper,yes,2021,unclear,unclear,unclear,high,new_search_conditional,low,https://www.cambridge.org/core/journals/political-science-research-and-methods/article/we-need-to-go-deeper-measuring-electoral-violence-using-convolutional-neural-networks-and-social-media/808197D6EDA72699670325B6320EA5B9,https://eprints.gla.ac.uk/215609/,"Substantively distinct electoral-violence candidate, but tweet-text public availability is the main risk."
campaign_communication_legislative_leadership,"Campaign communication and legislative leadership","Policy-topic coding",paper,yes,2024,yes,yes,yes,high,implemented,completed,https://www.cambridge.org/core/journals/political-science-research-and-methods/article/campaign-communication-and-legislative-leadership/4A99A07444CC3CB7151E3663F7E0E839,https://doi.org/10.7910/DVN/8783YN,"Implemented in the live manifests as `muller_fujimura_campaign_policy_area`. The public train/test/eval sentence splits expose `policy_area` labels plus statement text directly. The live task uses the combined 2,985-row supervised corpus, drops 12 rows tied to exact-text label conflicts, deduplicates exact repeated text-label pairs, and keeps 2,915 statement-level items across 12 labels including `No Policy Area`."
where_do_parties_talk_about_what,"Where do parties talk about what? Party issue salience across communication channels","Policy-topic coding",paper,yes,2024,yes,likely_yes,likely_yes,medium_to_high,new_search_candidate,medium,https://www.tandfonline.com/doi/full/10.1080/01402382.2024.2322234,https://doi.org/10.7910/DVN/JNQUOD,"Multilingual, multi-channel issue-salience dataset; attractive but methodologically closer to Cross-Domain than ideal."
policlim_climate_manifestos,"Policlim: A Dataset of Climate Change Discourse in the Political Manifestos of Forty-Five Countries from 1990 to 2022","Policy-topic coding",paper,yes,2025,yes,likely_yes,unclear,medium,new_search_candidate,medium,https://www.cambridge.org/core/journals/british-journal-of-political-science/article/policlim-a-dataset-of-climate-change-discourse-in-the-political-manifestos-of-fortyfive-countries-from-1990-to-2022/6EDB6B14410810A9E57A45F68BB09B47,https://doi.org/10.7910/DVN/OXMPTR,"Attractive multilingual climate-policy topic candidate, but narrower than a broad many-topic benchmark."
initiate_and_elevate_agenda_setting,"Initiate and Elevate! How Political Parties Can Set an Agenda","Policy-topic coding",paper,yes,2024,yes,partly,unclear,medium,new_search_conditional,medium,https://www.cambridge.org/core/journals/american-political-science-review/article/initiate-and-elevate-how-political-parties-can-set-an-agenda/07316DA09942B12BE40F4EA6241F315D,https://doi.org/10.7910/DVN/O3GDRX,"Interesting CAP-style macro-issue corpus across modern channels, but machine-assigned labels and news-text access are the main risks."
walgrave_et_al_policy_issue_coding,"Using Supervised Machine Learning to Code Policy Issues: Can Classifiers Generalize across Contexts?","Policy-topic coding","article / close equivalent",no,2015,unclear,unclear,unclear,medium,near_miss_replication,low,https://journals.sagepub.com/doi/10.1177/0002716215569441,https://ideas.repec.org/a/sae/anname/v659y2015i1p122-131.html,"Good conceptual fit for policy-issue coding, but replication accessibility remains the weak point."
twitcivility_hf,"TwitCivility Hugging Face release","Relevance / Incivility","dataset / repo",no,2023,yes,yes,yes,medium,staged,high,https://huggingface.co/datasets/incivility-UOH/TwitCivility,https://huggingface.co/datasets/incivility-UOH/TwitCivility,"Staged as `twitcivility_impoliteness`. Public train/test parquet splits contain 13,124 rows with no missing or duplicate text and direct binary labels `impoliteness` and `intolerance`; weaker than Theocharis et al. on the political-science-paper criterion."
gonzalez_bustamante_2024_toxicity_protests_es,"Benchmarking LLMs in Political Content Text-Annotation: toxicity-protests-ES","Relevance / Incivility","preprint / dataset",no,2024,yes,yes,yes,high,verified_fallback,medium_high,https://huggingface.co/papers/2409.09741,https://huggingface.co/datasets/bgonzalezbustamante/toxicity-protests-ES,"Verified 2026-05-04: public CSV has 1,000 Spanish protest-discourse rows with text and two human coder columns plus consensus metadata. Substantively political, direct-label, and useful for multilingual coverage; weaker than paper-backed candidates because it is not a published political-science replication archive."
